"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050804","modulation of chemical synaptic transmission",0.105485232067511,"493/18888",0.101419878296146,4.04138958071225,10.9784798456329,3.56942504268558e-17,7.72737823330533e-14,6.71199711693915e-14,"SYN1/SYT7/CACNG5/ACHE/JPH4/NEFH/SLC8A3/CELF4/SYP/CALB1/GRIK5/STX1A/SLC1A1/CUX2/CSPG5/OTOF/DLGAP3/PLPPR4/SLC8A2/GRIA3/PRKCG/VGF/UNC13A/AKAP12/MAP1B/CPLX2/CACNA1B/INA/DRD2/JPH3/LRFN2/CLSTN2/S100B/CHRNB2/SHANK1/SHANK2/CAMKV/GRM2/CACNG2/MAP1A/CHRM1/CPLX1/GRIN1/CHRM2/ADGRB1/SYN3/MAPT/ERC2/SLC18A3/ARC",50
"GO:0099177","regulation of trans-synaptic signaling",0.105485232067511,"494/18888",0.101214574898785,4.03320863014401,10.9603458392956,3.88212923049753e-17,7.72737823330533e-14,6.71199711693915e-14,"SYN1/SYT7/CACNG5/ACHE/JPH4/NEFH/SLC8A3/CELF4/SYP/CALB1/GRIK5/STX1A/SLC1A1/CUX2/CSPG5/OTOF/DLGAP3/PLPPR4/SLC8A2/GRIA3/PRKCG/VGF/UNC13A/AKAP12/MAP1B/CPLX2/CACNA1B/INA/DRD2/JPH3/LRFN2/CLSTN2/S100B/CHRNB2/SHANK1/SHANK2/CAMKV/GRM2/CACNG2/MAP1A/CHRM1/CPLX1/GRIN1/CHRM2/ADGRB1/SYN3/MAPT/ERC2/SLC18A3/ARC",50
"GO:0050808","synapse organization",0.10126582278481,"493/18888",0.0973630831643002,3.87973399748376,10.3949529690819,7.99704726344743e-16,1.06120817185947e-12,9.21764921418414e-13,"SYN1/SEZ6/CTNNA2/SNCB/ACHE/NRCAM/SEZ6L/NEFH/SLC8A3/ZDHHC15/DRP2/ICAM5/SLC1A1/SPOCK2/NRXN2/CUX2/NEDD9/DLGAP3/SLC8A2/FILIP1/C3/KIF1A/UNC13A/MAP1B/BCAN/HMCN2/INA/DRD2/LRFN2/LHFPL4/CLSTN2/SPTBN4/CHRNB2/SHANK1/SHANK2/BSN/CAMKV/CACNG2/GAP43/ADGRB1/CNTN2/MAPT/ERC2/SLC18A3/DNER/ARC/L1CAM/PLXNA4",48
"GO:0099003","vesicle-mediated transport in synapse",0.0590717299578059,"221/18888",0.126696832579186,5.04862821467438,9.71322305587849,1.93819246654519e-12,1.9289860523291e-09,1.67551638226341e-09,"SYN1/SYT7/SLC18A1/SNAP91/SNCB/PLD1/RPH3A/SYP/AP3B2/GRIK5/STX1A/CSPG5/OTOF/HPCA/NAPB/PRKCG/SYT5/UNC13A/STON2/GRIP2/CPLX2/BSN/CPLX1/RAB3B/BRSK2/SYN3/ERC2/ARC",28
"GO:0006836","neurotransmitter transport",0.0548523206751055,"206/18888",0.12621359223301,5.02937200442424,9.32944658636696,1.32428415443641e-11,1.05439504376227e-08,9.15847041541811e-09,"SYN1/SYT7/SLC18A1/CHAT/RPH3A/HRH3/SYP/GRIK5/STX1A/SLC1A1/NRXN2/CSPG5/OTOF/NAPB/PRKCG/SYT5/UNC13A/CPLX2/DRD2/PTPRN2/CPLX1/RAB3B/CLN8/SYN3/ERC2/SLC18A3",26
"GO:0099504","synaptic vesicle cycle",0.0527426160337553,"199/18888",0.125628140703518,5.0060428725908,9.11476950324061,3.6536960440939e-11,2.09179278808946e-08,1.81693023674927e-08,"SYN1/SYT7/SLC18A1/SNAP91/SNCB/PLD1/RPH3A/SYP/AP3B2/GRIK5/STX1A/CSPG5/OTOF/NAPB/PRKCG/SYT5/UNC13A/STON2/CPLX2/BSN/CPLX1/RAB3B/BRSK2/SYN3/ERC2",25
"GO:0050890","cognition",0.0675105485232067,"322/18888",0.0993788819875776,3.96005975312525,8.5953948610309,3.67810839402819e-11,2.09179278808946e-08,1.81693023674927e-08,"JPH4/SLC8A3/HRH3/CALB1/SLC1A1/B3GAT1/NRXN2/CUX2/NEDD9/SLC8A2/SGK1/PRKCG/CHL1/SCN2A/PAK6/TTBK1/VIP/DRD2/JPH3/CLSTN2/S100B/CHRNB2/SHANK1/SHANK2/ELAVL4/MAP1A/CHRM1/FOS/GRIN1/CLN8/MAPT/ARC",32
"GO:0007409","axonogenesis",0.080168776371308,"455/18888",0.0835164835164835,3.32797329253025,8.06458961037041,9.48737762935073e-11,4.31826578995004e-08,3.75084364414809e-08,"CYFIP2/CTNNA2/MAP2/NRCAM/NEFH/BMP7/CXCL12/UNC5A/PLPPR4/NDP/OLFM1/MAP1B/CHL1/KIAA0319/HMCN2/NCAM1/DRD2/KIF5A/DPYSL5/S100B/SPTBN4/CHRNB2/NFASC/MAP1A/ISLR2/KIF5C/CDK5R2/MAP6/GAP43/BRSK2/ADGRB1/EPHA10/CNTN2/NELL2/MAPT/S100A6/L1CAM/PLXNA4",38
"GO:0007611","learning or memory",0.0611814345991561,"278/18888",0.10431654676259,4.15681631909662,8.50736597547195,9.76246975874161e-11,4.31826578995004e-08,3.75084364414809e-08,"JPH4/SLC8A3/CALB1/SLC1A1/B3GAT1/NRXN2/CUX2/NEDD9/SLC8A2/SGK1/PRKCG/SCN2A/PAK6/TTBK1/VIP/DRD2/JPH3/CLSTN2/S100B/CHRNB2/SHANK1/SHANK2/ELAVL4/MAP1A/FOS/GRIN1/CLN8/MAPT/ARC",29
"GO:0023061","signal release",0.0822784810126582,"487/18888",0.080082135523614,3.19112104592831,7.85971375872874,1.84368041053112e-10,7.33969171432441e-08,6.37525278799447e-08,"SYN1/SYT7/NNAT/PTPRN/MAOB/RPH3A/HRH3/SYP/SMPD3/GRIK5/STX1A/CXCL12/NRXN2/OPRM1/CSPG5/OTOF/GPR68/NAPB/PRKCG/VGF/SYT5/UNC13A/CHRM3/CPLX2/VIP/DRD2/GJA1/PTPRN2/CHRNB2/GRM2/F2RL2/F2RL1/SYK/CPLX1/BRSK2/SYN3/ERC2/SLC18A3/SYT3",39
