"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005216","monoatomic ion channel activity",0.0676532769556025,"441/18522",0.072562358276644,2.84143763213531,6.33579766732554,1.2544029584782e-07,5.28165012677417e-05,4.61732125266609e-05,"CACNA1G/CLCN4/CACNG5/TRPM3/KCNH4/GRIK5/SLC1A1/KCNT1/OPRM1/GRIA3/KCNC1/NALF2/KCNC3/ANO3/SCN2A/UNC80/CACNA1B/CACNA1C/CACNA2D3/PKD1L1/CHRNB2/KCNJ9/TMEM63C/SCN3B/HTR3A/CACNG2/TMC4/KCNK9/KCNK3/KCNH6/GRIN1/GABRD",32
"GO:0030594","neurotransmitter receptor activity",0.0295983086680761,"98/18522",0.142857142857143,5.59408033826638,7.38169122416694,1.90430159948669e-07,5.28165012677417e-05,4.61732125266609e-05,"HRH3/GRIK5/GRIA3/CHRM3/HTR2B/DRD2/CHRNB2/HTR3A/CHRM1/GRIN1/HTR1D/CHRM4/CHRM2/GABRD",14
"GO:0022836","gated channel activity",0.0528541226215645,"301/18522",0.0830564784053156,3.25237228968976,6.37783872594636,2.54760706050717e-07,5.28165012677417e-05,4.61732125266609e-05,"CACNA1G/CLCN4/CACNG5/KCNH4/GRIK5/KCNT1/OPRM1/GRIA3/KCNC1/NALF2/KCNC3/CACNA1B/CACNA1C/CACNA2D3/CHRNB2/KCNJ9/TMEM63C/HTR3A/CACNG2/TMC4/KCNK9/KCNK3/KCNH6/GRIN1/GABRD",25
"GO:0046873","metal ion transmembrane transporter activity",0.06553911205074,"437/18522",0.0709382151029748,2.77783852037484,6.08849547378473,3.25525431542322e-07,5.28165012677417e-05,4.61732125266609e-05,"CACNA1G/SLC18A1/SLC9A7/SLC12A3/CACNG5/TRPM3/KCNH4/SLC8A3/ATP1A3/GRIK5/SLC1A1/KCNT1/OPRM1/SLC8A2/KCNC1/NALF2/KCNC3/SLC41A2/SCN2A/CACNA1B/CACNA1C/ATP2B2/CACNA2D3/PKD1L1/KCNJ9/SCN3B/CACNG2/KCNK9/KCNK3/KCNH6/GRIN1",31
"GO:0005261","monoatomic cation channel activity",0.0549682875264271,"330/18522",0.0787878787878788,3.08522006534692,6.18735244922394,4.09290966685113e-07,5.31259674757276e-05,4.64437539038475e-05,"CACNA1G/CACNG5/TRPM3/KCNH4/GRIK5/KCNT1/OPRM1/KCNC1/NALF2/KCNC3/SCN2A/UNC80/CACNA1B/CACNA1C/CACNA2D3/PKD1L1/CHRNB2/KCNJ9/TMEM63C/SCN3B/HTR3A/CACNG2/KCNK9/KCNK3/KCNH6/GRIN1",26
"GO:0004993","G protein-coupled serotonin receptor activity",0.0147991543340381,"22/18522",0.318181818181818,12.4595425715933,8.7062066695059,8.28757412699973e-07,8.79952698128348e-05,7.6927176107563e-05,"HRH3/CHRM3/HTR2B/CHRM1/HTR1D/CHRM4/CHRM2",7
"GO:0098960","postsynaptic neurotransmitter receptor activity",0.0232558139534884,"67/18522",0.164179104477612,6.42901770218674,7.20672330541895,9.49101523404998e-07,8.79952698128348e-05,7.6927176107563e-05,"HRH3/GRIK5/GRIA3/CHRM3/DRD2/CHRNB2/HTR3A/CHRM1/CHRM4/CHRM2/GABRD",11
"GO:0005244","voltage-gated monoatomic ion channel activity",0.0359408033826638,"172/18522",0.0988372093023256,3.87032302473081,6.12227985480981,2.06876785430049e-06,0.000161611292852526,0.000141283735053948,"CACNA1G/CLCN4/CACNG5/KCNH4/KCNT1/OPRM1/KCNC1/KCNC3/CACNA1B/CACNA1C/CACNA2D3/KCNJ9/CACNG2/KCNK9/KCNK3/KCNH6/GRIN1",17
"GO:0022832","voltage-gated channel activity",0.0359408033826638,"173/18522",0.0982658959537572,3.84795121533931,6.09236073814207,2.24114273601346e-06,0.000161611292852526,0.000141283735053948,"CACNA1G/CLCN4/CACNG5/KCNH4/KCNT1/OPRM1/KCNC1/KCNC3/CACNA1B/CACNA1C/CACNA2D3/KCNJ9/CACNG2/KCNK9/KCNK3/KCNH6/GRIN1",17
"GO:0022843","voltage-gated monoatomic cation channel activity",0.0317124735729387,"143/18522",0.104895104895105,4.10754150711867,6.03893328534837,3.94069460599142e-06,0.000255751079928843,0.000223582567645197,"CACNA1G/CACNG5/KCNH4/KCNT1/OPRM1/KCNC1/KCNC3/CACNA1B/CACNA1C/CACNA2D3/KCNJ9/CACNG2/KCNK9/KCNK3/KCNH6",15
"GO:0015085","calcium ion transmembrane transporter activity",0.0295983086680761,"132/18522",0.106060606060606,4.15318085719777,5.88547062007661,7.25036528610803e-06,0.00039271556398061,0.000343319583140944,"CACNA1G/CACNG5/TRPM3/SLC8A3/OPRM1/SLC8A2/NALF2/CACNA1B/CACNA1C/ATP2B2/CACNA2D3/PKD1L1/CACNG2/GRIN1",14
"GO:0099528","G protein-coupled neurotransmitter receptor activity",0.0105708245243129,"12/18522",0.416666666666667,16.316067653277,8.591537765307,7.26130472691421e-06,0.00039271556398061,0.000343319583140944,"HRH3/CHRM3/CHRM1/CHRM4/CHRM2",5
"GO:0015464","acetylcholine receptor activity",0.0126849894291755,"22/18522",0.272727272727273,10.6796079185086,7.35392939917358,1.41579017019945e-05,0.000706806015738031,0.00061790356415992,"HRH3/CHRM3/CHRNB2/CHRM1/CHRM4/CHRM2",6
"GO:0098918","structural constituent of synapse",0.0126849894291755,"27/18522",0.222222222222222,8.70190274841438,6.48319312086548,5.03969340328323e-05,0.00233625787052201,0.00204240206343584,"NEFH/INA/SHANK1/SHANK2/BSN/ERC2",6
"GO:0001540","amyloid-beta binding",0.0211416490486258,"85/18522",0.117647058823529,4.60688969033702,5.39552127401001,6.053683168859e-05,0.00246897783040254,0.00215842843335816,"CD74/ACHE/ATP1A3/DLGAP3/LRP1/GRIA3/CACNA1B/CLSTN2/ITGA2/GRIN1",10
"GO:0008227","G protein-coupled amine receptor activity",0.0147991543340381,"40/18522",0.175,6.85274841437632,5.99862319470418,6.08684827217884e-05,0.00246897783040254,0.00215842843335816,"HRH3/CHRM3/HTR2B/CHRM1/HTR1D/CHRM4/CHRM2",7
"GO:0005245","voltage-gated calcium channel activity",0.0147991543340381,"42/18522",0.166666666666667,6.52642706131078,5.80435969889356,8.42859810408061e-05,0.00321774127620489,0.00281301199882319,"CACNA1G/CACNG5/OPRM1/CACNA1B/CACNA1C/CACNA2D3/CACNG2",7
"GO:0005200","structural constituent of cytoskeleton",0.0232558139534884,"112/18522",0.0982142857142857,3.84593023255814,4.89037970064686,0.000138347015837427,0.00498817851547166,0.00436076266294578,"ANK1/CTNNA2/ACTL6B/NEFH/NEFM/TUBB4A/PPL/TUBA4A/TUBB2A/INA/SPTBN4",11
