"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","3/76","28/8535",0.107142857142857,12.0324248120301,5.54224063901929,0.00189402150424822,0.269677495467728,0.269677495467728,"8707/8708/6489",3
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","3/76","38/8535",0.0789473684210526,8.8659972299169,4.60613201758338,0.00457622579900228,0.269677495467728,0.269677495467728,"952/4907/54981",3
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","9/76","370/8535",0.0243243243243243,2.73168563300142,3.22786545668116,0.00535783103578268,0.269677495467728,0.269677495467728,"23566/5443/84109/3274/4852/8862/1910/2562/53637",9
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","4/76","98/8535",0.0408163265306122,4.58378088077336,3.38208146560897,0.0111621275862828,0.421370316382174,0.421370316382174,"4881/5443/814/5587",4
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","3/76","86/8535",0.0348837209302326,3.91753365973072,2.57742507136315,0.0410263950147199,0.6330545266338,0.6330545266338,"1756/5318/22801",3
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","2/76","38/8535",0.0526315789473684,5.9106648199446,2.87556298249626,0.044756674914026,0.6330545266338,0.6330545266338,"7535/695",2
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","4/76","155/8535",0.0258064516129032,2.8981324278438,2.26044503637931,0.0490865154680167,0.6330545266338,0.6330545266338,"4881/952/814/3768",4
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","5/76","226/8535",0.0221238938053097,2.48457149510946,2.143900178955,0.0505438945982033,0.6330545266338,0.6330545266338,"4881/5443/814/4852/627",5
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","2/76","41/8535",0.0487804878048781,5.47817715019255,2.72433602068064,0.0513270962032845,0.6330545266338,0.6330545266338,"4128/2628",2
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/76","42/8535",0.0476190476190476,5.34774436090226,2.67720536447768,0.0535898919472936,0.6330545266338,0.6330545266338,"7018/2512",2
