"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","26/225","370/8535",0.0702702702702703,2.66558558558559,5.38960314298801,4.36137913914344e-06,0.000742311723848394,0.000675379495790256,"1131/2563/1141/3352/3357/2912/2151/2150/4988/7432/1129/7425/117/2892/2902/5031/1128/1132/1813/2834/57105/283869/11255/2901/718/84634",26
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","14/225","132/8535",0.106060606060606,4.02323232323232,5.75981285140582,9.0973403079652e-06,0.000742311723848394,0.000675379495790256,"3765/3800/5522/5521/4129/2892/6570/774/1813/3798/775/2353/5582/84699",14
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","13/225","116/8535",0.112068965517241,4.25114942528736,5.80099828050519,1.04667347873954e-05,0.000742311723848394,0.000675379495790256,"1131/1141/43/1129/774/1128/1132/1103/6572/775/2353/5582/84699",13
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","10/225","69/8535",0.144927536231884,5.4975845410628,6.17208381830674,1.15605104788646e-05,0.000742311723848394,0.000675379495790256,"6804/4129/2892/6570/23237/2902/775/2353/5582/84699",10
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","11/225","86/8535",0.127906976744186,4.85193798449612,5.90735300119069,1.43858861210929e-05,0.000742311723848394,0.000675379495790256,"1496/55799/51176/3673/2697/3679/775/6547/27091/6543/10369",11
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","10/225","115/8535",0.0869565217391304,3.29855072463768,4.08332580324787,0.00088138181135667,0.0277717501527277,0.0252676470177817,"3352/3765/3357/4129/6570/774/3359/121278/775/5582",10
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","12/225","157/8535",0.0764331210191083,2.89936305732484,3.95234367323029,0.000881503073469749,0.0277717501527277,0.0252676470177817,"23418/656/1496/25937/5522/51176/2246/5521/5054/1741/50855/655",12
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","10/225","116/8535",0.0862068965517241,3.27011494252874,4.05054679299903,0.000942724851038392,0.0277717501527277,0.0252676470177817,"5337/2912/2892/2902/6505/22941/775/5582/50944/2901",10
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","8/225","79/8535",0.10126582278481,3.84135021097046,4.17467711297194,0.00107368556791157,0.0277717501527277,0.0252676470177817,"10815/10814/6804/6570/6505/774/6572/23025",8
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","9/225","98/8535",0.0918367346938776,3.48367346938776,4.06893336728196,0.00107642442452433,0.0277717501527277,0.0252676470177817,"3777/491/51305/5138/775/8913/5582/84699/478",9
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","6/225","49/8535",0.122448979591837,4.64489795918367,4.21016355268045,0.0017020868101806,0.0399216724569633,0.0363220438918923,"2912/4129/6570/2902/1813/84699",6
"hsa04260","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","8/225","87/8535",0.0919540229885057,3.48812260536398,3.83814623122377,0.00200904675261777,0.0431945051812822,0.0392997741959442,"55799/84679/775/6547/27091/6543/478/10369",8
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","11/225","154/8535",0.0714285714285714,2.70952380952381,3.52252967433042,0.00246490429622896,0.0442333404200059,0.0402449404882143,"491/55799/5522/5521/775/6547/27091/84699/6543/478/10369",11
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","6/225","53/8535",0.113207547169811,4.29433962264151,3.95844155331459,0.0025606217096267,0.0442333404200059,0.0402449404882143,"491/793/6547/5582/6543/478",6
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","14/225","226/8535",0.0619469026548673,2.34985250737463,3.38402236085638,0.00257170583837244,0.0442333404200059,0.0402449404882143,"3352/5337/491/7432/1129/117/2892/2902/1128/1813/775/2353/84699/478",14
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","15/225","254/8535",0.0590551181102362,2.24015748031496,3.30156133319042,0.00289627019039217,0.0467023568200738,0.0424913323985167,"1131/3357/7852/491/2246/1129/2902/774/1128/775/57105/6547/8913/5582/6543",15
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","8/225","97/8535",0.0824742268041237,3.12852233676976,3.46905659491052,0.00397105603949365,0.0602666151876096,0.0548325385019867,"3765/117/2892/2902/775/2353/8913/5582",8
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","5/225","41/8535",0.121951219512195,4.6260162601626,3.82941658385635,0.00421089749664973,0.0603561974519795,0.054914043377362,"2563/1141/2892/2902/774",5
