"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","8/174","63/8546",0.126984126984127,6.23681809888706,6.01421677962068,3.74863592116541e-05,0.00820951266735224,0.00797078374816223,"650/2535/8322/7855/2735/6608/6932/7481",8
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","12/174","157/8546",0.0764331210191083,3.7540083461454,5.02083591968155,8.15312743890289e-05,0.00892767454559867,0.00866806180346518,"84962/268/650/2535/8322/7855/392255/84552/6657/6932/8463/7481",12
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","10/174","144/8546",0.0694444444444444,3.41075989782886,4.20590940519578,0.000691258812526764,0.0504618933144538,0.0489944842562829,"1749/2261/2535/8322/7855/8820/4211/6657/6932/7481",10
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","12/174","232/8546",0.0517241379310345,2.54042806183115,3.42922871532468,0.00272374567847059,0.129459864268897,0.125695229907797,"255631/1634/1756/2273/22801/3696/4634/27295/5318/6383/6385/7139",12
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","11/174","204/8546",0.053921568627451,2.64835474419653,3.4351580314698,0.00295570466367344,0.129459864268897,0.125695229907797,"1634/2535/8322/7855/2719/27250/6383/6385/6608/7023/7481",11
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","4/174","38/8546",0.105263157894737,5.16999395039322,3.71389422469309,0.00714363235264646,0.260742580871596,0.25316030442712,"952/93100/54981/4907",4
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","4/174","41/8546",0.0975609756097561,4.79170171012055,3.50836671174666,0.0093498450413949,0.292516580580783,0.284010330580717,"501/2628/4128/1757",4
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","6/174","101/8546",0.0594059405940594,2.91771935814271,2.79487223926775,0.0168601411437555,0.455192363261629,0.441955575000476,"1910/2535/8322/7855/6932/7481",6
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","3/174","28/8546",0.107142857142857,5.26231527093596,3.25665546874268,0.0187065354765053,0.455192363261629,0.441955575000476,"8708/8707/6489",3
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","6/174","108/8546",0.0555555555555556,2.72860791826309,2.60618153293363,0.0226869497890116,0.467711443565571,0.454110606105481,"268/650/1634/392255/7018/60436",6
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","2/174","12/8546",0.166666666666667,8.18582375478927,3.59092978074456,0.0237912224640052,0.467711443565571,0.454110606105481,"4685/4804",2
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","8/174","174/8546",0.0459770114942529,2.25815827718325,2.41719307425597,0.0256280243049628,0.467711443565571,0.454110606105481,"164284/22943/2535/8322/7855/79718/6932/7481",8
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","5/174","86/8546",0.0581395348837209,2.85551991446137,2.49313451845768,0.0306502118472945,0.51633818419673,0.501323303089351,"1756/22801/3696/5318/6932",5
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","8/174","184/8546",0.0434782608695652,2.13543228385807,2.24455946760967,0.0341608186479112,0.532060358838396,0.516588283995943,"1948/2049/2050/57689/84552/6405/54437/6608",8
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","7/174","155/8546",0.0451612903225806,2.21809417871709,2.2062560013404,0.0387987348091394,0.532060358838396,0.516588283995943,"814/952/3768/3761/91807/340156/4881",7
"hsa00250","Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","3/174","37/8546",0.0810810810810811,3.98229263746505,2.62076393929022,0.0388719896868234,0.532060358838396,0.516588283995943,"1373/9945/2752",3
"hsa00910","Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","2/174","17/8546",0.117647058823529,5.77822853279243,2.84287895553733,0.0458831965048299,0.591083531444573,0.573895089410256,"1373/2752",2
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","5/174","99/8546",0.0505050505050505,2.48055265296645,2.1360246238337,0.0511601304340886,0.610943546891131,0.59317758458067,"1756/22801/3696/4634/7139",5
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","5/174","100/8546",0.05,2.45574712643678,2.11094272886808,0.0530042346617876,0.610943546891131,0.59317758458067,"100133941/952/3589/3566/3574",5
"hsa00541","Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","2/174","20/8546",0.1,4.91149425287356,2.52464941253348,0.0616215576890753,0.625151205008927,0.606972090419627,"51700/7358",2
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","5/174","105/8546",0.0476190476190476,2.33880678708265,1.98990183536063,0.0628005776721297,0.625151205008927,0.606972090419627,"1303/91522/255631/1357/7512",5
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","5/174","105/8546",0.0476190476190476,2.33880678708265,1.98990183536063,0.0628005776721297,0.625151205008927,0.606972090419627,"1756/22801/3696/4634/7139",5
"hsa00340","Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","2/174","22/8546",0.0909090909090909,4.4649947753396,2.34589328345035,0.0729822729957483,0.658555129377432,0.639404643759872,"501/4128",2
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","11/174","333/8546",0.033033033033033,1.62241551896724,1.67019687109506,0.0774273619344762,0.658555129377432,0.639404643759872,"1027/2535/8322/7855/22801/3696/10319/3955/84552/6932/7481",11
"hsa00220","Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","2/174","23/8546",0.0869565217391304,4.27086456771614,2.26436422023219,0.0788958601224747,0.658555129377432,0.639404643759872,"1373/2752",2
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","2/174","23/8546",0.0869565217391304,4.27086456771614,2.26436422023219,0.0788958601224747,0.658555129377432,0.639404643759872,"358/10991",2
