"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","10/160","157/8546",0.0636942675159236,3.40207006369427,4.19584074121687,0.000706151583020089,0.123798964058188,0.119213817241218,"1741/2246/51176/4609/5521/5522/5054/4086/6591/25937",10
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","16/160","362/8546",0.0441988950276243,2.36077348066298,3.65423024407052,0.00119280639952347,0.123798964058188,0.119213817241218,"1129/1277/2246/2250/2264/3679/3914/4609/56034/5521/5522/5618/5649/6446/6696/6850",16
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","8/160","115/8546",0.0695652173913043,3.71565217391304,4.04969312917029,0.00137554404509098,0.123798964058188,0.119213817241218,"2770/1839/64386/5337/5744/6257/6446/6559",8
"hsa04082",NA,NA,"hsa04082","Neuroactive ligand signaling","10/160","199/8546",0.050251256281407,2.68404522613065,3.3201192129371,0.00412245883777829,0.260902104702567,0.251239063787657,"43/1129/2563/2770/2901/2902/2917/3352/3357/6572",10
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","4/160","37/8546",0.108108108108108,5.77432432432432,4.01987097395469,0.00483152045745494,0.260902104702567,0.251239063787657,"51176/4609/5468/6257",4
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","6/160","92/8546",0.0652173913043478,3.48342391304348,3.30789904282069,0.00743826775863051,0.283990069473841,0.273471918752587,"2697/2770/3357/56034/7277/10382",6
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","11/160","254/8546",0.0433070866141732,2.31313976377953,2.93451788006718,0.00807721623866651,0.283990069473841,0.273471918752587,"8913/1129/7852/57105/2246/2250/2264/2902/3357/5136/56034",11
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","14/160","370/8546",0.0378378378378378,2.02101351351351,2.77332333997842,0.00942707869213307,0.283990069473841,0.273471918752587,"718/1129/57105/2563/2901/2902/2917/3352/3357/84634/5618/7425/7432/7434",14
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","5/160","71/8546",0.0704225352112676,3.76144366197183,3.22726110636645,0.0104243510169212,0.283990069473841,0.273471918752587,"3098/3939/4609/5214/9123",5
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","4/160","47/8546",0.0851063829787234,4.54574468085106,3.3667515615926,0.0112977886621422,0.283990069473841,0.273471918752587,"8913/3098/5602/9021",4
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","10/160","232/8546",0.0431034482758621,2.30226293103448,2.77764191243009,0.0117130039949985,0.283990069473841,0.273471918752587,"1129/6387/7852/2246/2250/2264/2934/10788/3679/56034",10
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","6/160","103/8546",0.058252427184466,3.11140776699029,2.9776999137478,0.012621780865504,0.283990069473841,0.273471918752587,"718/2770/5602/5521/5522/5054",6
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","6/160","108/8546",0.0555555555555556,2.96736111111111,2.84193928510391,0.0156606608510268,0.325259879213635,0.313213217020537,"1634/64388/3400/3547/4609/4086",6
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","6/160","116/8546",0.0517241379310345,2.76271551724138,2.6401951611298,0.0215209563368632,0.368984251305271,0.355318167923595,"2770/2901/2902/2917/5337/50944",6
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","5/160","86/8546",0.0581395348837209,3.10537790697674,2.71039570985621,0.022335190919793,0.368984251305271,0.355318167923595,"10369/59285/2697/3679/51176",5
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","11/160","300/8546",0.0366666666666667,1.95845833333333,2.33426842593523,0.0251106203869872,0.368984251305271,0.355318167923595,"8913/10369/59285/2246/2250/2264/5602/7867/4609/56034/10235",11
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","3/160","34/8546",0.0882352941176471,4.71286764705882,2.9962063150349,0.0252133289019262,0.368984251305271,0.355318167923595,"8553/79365/4783",3
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","5/160","89/8546",0.0561797752808989,3.00070224719101,2.62064318742195,0.0254696647371933,0.368984251305271,0.355318167923595,"1277/3679/3914/5649/6696",5
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","9/160","226/8546",0.0398230088495575,2.12704646017699,2.37177218502359,0.0259655584251858,0.368984251305271,0.355318167923595,"478/1129/2770/2902/3352/5602/5337/7432/7434",9
"hsa00730","Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","2/160","15/8546",0.133333333333333,7.12166666666667,3.27758476567246,0.0311763186873601,0.420880302279362,0.405292142935682,"205/249",2
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","9/160","238/8546",0.0378151260504202,2.01980042016807,2.20391081963884,0.0345840783527821,0.444652435964341,0.428183827224921,"2114/2246/2250/2264/2902/5602/56034/5337/10235",9
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/160","41/8546",0.0731707317073171,3.90823170731707,2.5782342315139,0.0408782980144475,0.501688202904583,0.483107158352561,"1029/1839/4609",3
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","4/160","73/8546",0.0547945205479452,2.92671232876712,2.28348571480191,0.0476138508050205,0.547642736680946,0.52735967235943,"1029/2246/2250/56034",4
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","3/160","45/8546",0.0666666666666667,3.56083333333333,2.37898201515262,0.0515789763795191,0.547642736680946,0.52735967235943,"5243/5244/8714",3
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","4/160","75/8546",0.0533333333333333,2.84866666666667,2.22106105544506,0.0516920888532342,0.547642736680946,0.52735967235943,"1029/3486/5054/25946",4
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/160","110/8546",0.0454545454545455,2.42784090909091,2.0818358052599,0.0552291250497632,0.547642736680946,0.52735967235943,"112399/3098/3939/5214/5054",5
