"","Control1_Count","Control2_Count","Control3_Count","FIH22KO1_Count","FIH22KO2_Count","FIH22KO3_Count","FIH23KO1_Count","FIH23KO2_Count","FIH23KO3_Count"
"A1BG",9.55982226021418,9.05309427541929,9.06722844744247,9.51091047975399,9.13187239337494,9.32259277550457,9.16754740063417,9.00727923207088,9.41551194137228
"A1BG-AS1",5.82256313206964,5.82997856403651,5.91969314782014,5.87789374301532,5.86757760672041,5.82478063221693,5.89998807901592,5.82993281408429,5.64469736998562
"A2M",5.05112406645237,4.95610148238913,4.95228840395809,4.89022410050917,4.95830542536583,4.87364423328982,4.88487356792881,4.75876180306809,4.76239843303793
"A4GALT",5.0114934645681,4.92082734690734,4.86289985602671,5.33320342769011,5.02149993470207,5.23882479094762,5.289878743167,5.09871016677091,5.12043322550972
"AAAS",6.95580950869947,6.97258274357702,7.57955008577264,8.36424363620789,6.92423524352462,7.81720462769323,6.64027016283155,8.69387700003374,7.06347839448486
"AACS",9.97139245650023,10.0340297694077,10.1653592138542,10.0841347446243,9.8907029772031,9.91752727236192,10.1389596836737,10.0275446988492,9.90830434479704
"AADAT",9.75879553741673,9.74798083962859,9.85243668746988,9.7111587732392,9.80005302337697,9.68303393320828,9.43460603383443,9.72878330593272,9.66852360189218
"AAGAB",11.3618144165688,11.3324095599117,11.3188785018361,11.4063787032643,11.3991134898805,11.3453220610511,11.3564229559078,11.4077071208337,11.4087763997226
"AAK1",10.5798949452823,10.9319168687422,10.8714510171136,10.7588557042502,11.1602713998649,10.7518453638734,11.2087657295305,11.30899419001,10.7138907711918
"AAMDC",8.45727208381934,8.27423164551594,8.41334625201152,8.53880207696023,8.32355673675792,8.54010609696641,8.12403165409061,8.53405494221732,8.64856391570407
"AAMP",12.5331010334466,12.3425593516948,12.329616425153,12.4469042443881,12.2196528388647,12.4119490340127,12.5212347841126,12.3520674389516,12.4672461085879
"AANAT",4.03165367667142,3.97431265651346,4.03241469293236,4.22556626259533,4.14124940839448,3.8786631875553,3.93316013715506,4.0576281061759,3.97674475977068
"AAR2",11.067678670468,11.032001759219,11.0885686127108,10.9939125723219,10.9448074368233,11.0625186003014,11.0985792225767,11.1036804665728,11.0562585649684
"AARD",5.33388439386024,5.43093878598661,5.35800348263553,5.48324116287911,5.36694919557834,5.33870750579629,5.28085411358188,5.27675102848366,5.5412533536992
"AARS1",12.4245964299164,12.3106721209994,12.3293445711033,12.3932124515212,12.2879580783578,12.394624686095,12.7627096627626,12.5276147948941,12.592132751198
"AARS2",10.9032460271904,10.9827326955768,10.9747682484821,10.8980368629815,10.8507375176302,10.8609587110151,11.0069906955672,10.9040254014916,10.7976964343318
"AASDH",9.01917008139196,9.08092393455583,9.13451483889335,9.01096636806209,9.24617947308571,9.00769459319698,8.93905837071252,9.16267612094834,9.10505644391181
"AASDHPPT",11.3597180898432,11.5463893060537,11.4705655545607,11.2858154075835,11.4811932923495,11.308930469957,10.9007425851685,11.3984450910674,11.443310109452
"AASS",7.09880765295464,7.18531046955828,7.15704825800733,6.74642427002123,6.83307465921651,6.63672875825692,6.22058072739575,6.32921062059733,6.27925492017254
"AATF",7.32683982947767,9.062369052299,7.25927313811423,8.67033683418362,8.38157618298887,7.14476022529942,9.20284139334336,7.19340046691622,9.2229498279584
"AATK",9.59821473740652,9.51463073462209,9.68605164007925,9.54161781856632,9.57133717822579,9.59805886136396,10.1078034323943,9.8054489713934,9.59317044956506
"ABALON",5.81934573665804,5.85287386582586,6.07757356480737,5.72150936934452,6.08105071002913,5.56464717711182,5.99130332284836,5.89814105457699,5.80729713127271
"ABAT",10.7277157504289,11.060185948182,11.0144868420367,10.5529973299287,10.9846380667751,10.7340876447654,11.2557265390622,11.2351081620191,10.9073588666088
"ABCA1",4.71501138615744,4.90270041696735,4.83325913471135,5.05314290590326,4.96810203698446,4.84286369553263,5.06167082836495,5.14258704356448,4.79639915252184
"ABCA10",6.98852043219969,6.7775193451814,6.68224475304355,6.87549175144825,6.8514717139593,6.70294802678523,6.48650801067739,6.91617077576929,6.98546976735236
"ABCA11P",8.31394050346352,8.30978168283508,8.28865806142871,8.09119552785718,8.16387725412266,8.21368068485583,8.12453326509099,8.09846037219379,8.347389269167
"ABCA12",7.9044027303875,8.32777872363789,8.23675234960852,7.77112527147152,8.36059150469866,7.72520948551234,7.99940120277569,8.26808581090788,7.56060705516
"ABCA2",12.2913957858516,12.6601826864431,12.7290272760943,12.3841433398678,12.6127617356415,12.4029836535477,13.1799931868544,12.9552911393134,12.5000814487219
"ABCA3",12.1792887670528,12.3904295163815,12.4133063421687,12.2070243414741,12.3260936519135,12.2613197745606,12.9980432012094,12.8102092764567,12.5256306669533
"ABCA5",7.14136832430839,7.48011318180372,7.2121158858507,7.18987112458958,7.19924498794183,7.21371117945809,7.09724980962171,7.29030072182086,7.02184602419895
"ABCA7",9.20726853340244,9.31673964380511,9.37095279461919,9.29003106554019,9.34757921317387,9.15050798600496,9.76128049006291,9.45974140944566,9.27751612611969
"ABCB1",11.9120324315045,12.0446450049742,12.0514683491584,12.3428390573989,12.5884672602183,12.3983531548371,12.4345809961685,12.5679263894124,12.4084247461845
"ABCB10",10.2164437993625,10.3054295246213,10.1858432393519,10.0065262737232,10.2575085706737,10.0787704245348,10.1498817936858,10.1079289949888,10.2983870809287
"ABCB4",8.78034587326901,8.88525154608942,8.83652832760836,9.13345554229023,9.31762471553709,9.25073026642337,9.007100882793,9.21557649464096,8.96661943187241
"ABCB6",11.3101011916572,11.1884720247133,11.3157298850467,11.4015219100376,11.2016189861978,11.3222316137636,11.6007384105278,11.4494308472888,11.3843164034028
"ABCB7",9.78993132904719,9.81151757014309,9.74429259931855,9.8117313119756,9.84436344890254,9.74645617805223,9.38707951848911,9.46481443616983,9.58846319221446
"ABCB8",11.9117184465114,11.7529134121854,11.8549684472412,11.8979482981952,11.6718553837864,11.8171951363322,12.051717447209,11.9004847815215,11.9048270000664
"ABCB9",7.6522114921033,7.69220714257177,7.77450051039445,7.64167960615594,7.5879884529308,7.78912248565414,7.78609212950601,7.61059770712273,7.55526767867606
"ABCC1",10.3834373123817,10.4328982745676,10.5497386516341,10.3752705048977,10.6594305219491,10.4194008543789,10.564205010853,10.6757416060261,10.5207579056551
"ABCC10",10.1958917795021,10.3983678919721,10.4448085931467,10.3204089643279,10.4100233456302,10.3330861286874,10.8042767779697,10.6489881110235,10.2808429636402
"ABCC2",3.71361062187718,3.97053579313803,3.92398103758592,3.89780402608772,4.0099285482324,3.9989125977018,3.81325388567514,3.74800506374995,3.69248371816709
"ABCC3",9.43059423456161,9.50175612405287,9.48283776663158,10.0618079215943,9.9789638671016,9.82452405416513,9.92247843979581,9.71835579118572,9.66037605192835
"ABCC4",9.75431329222587,10.1234972916721,10.1213850925232,9.79505721743927,10.0910636956108,9.73677909883399,9.9970916530398,10.1775208922115,9.81710203784174
"ABCC5",11.0634983684598,11.4561149891923,11.516656897015,11.2438154161732,11.5454889177058,11.3478583213597,11.5639508867059,11.5104450256958,11.1520404144599
"ABCC6",4.28909281602208,4.35349846915294,4.48013676366629,4.48604991461778,4.29630999860839,4.56681503139499,4.50116839227038,4.5332720835536,4.32825933529615
"ABCC6P1",3.83323655738499,3.85377710314407,3.83302888541027,3.82991030278353,3.86074867783215,3.74811753198467,3.62175642683451,3.78498129123184,3.71346504287689
"ABCC8",7.19949280985324,7.28020891792492,7.3583803306789,7.61142995151815,7.59495917646332,7.759789518477,7.4667068203721,7.31419357631817,6.78004707769356
"ABCC9",7.29043684162775,7.7611131997389,7.8005407536172,7.39072505088086,7.55155575963742,7.18101779117113,7.14947732541618,7.3989927159748,7.09447660616883
"ABCD1",10.1799274104578,10.1676385540831,10.2271902973064,10.1473082394559,10.1538583715562,10.2038024893885,10.5326463827089,10.2380175632356,10.2683610722909
"ABCD2",10.6055986623777,10.9144635122439,10.7045282431419,10.7417031952883,11.1024054012381,10.7633710491737,10.5749998344596,10.9500454146717,10.7089161192579
"ABCD3",11.1403545704948,11.3043461804658,11.1833058893954,11.1321582946231,11.2229533283202,11.1905707271625,10.8954926405632,11.2133698005032,11.295960801091
"ABCD4",10.7361331644043,10.4715574088814,10.5861773413927,10.6386082341688,10.4076229095126,10.6317440280991,10.614504607262,10.540588335205,10.4872088901908
