"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"A1BG",622.256302388138,0.138444125366715,0.310888051295866,0.445318257776848,0.656089775356995,0.99956753357574,"A1BG"
"A1BG-AS1",57.3851792871059,-0.00702322194316969,0.351810021077815,-0.0199631094124413,0.984072801121,0.99956753357574,"A1BG-AS1"
"A2M",30.2718788243156,-0.350407632664565,0.431323633314418,-0.812400725580303,0.416561730032636,0.99956753357574,"A2M"
"A4GALT",35.560485562571,1.31951643748156,0.495641616001498,2.6622389946319,0.00776227429170479,0.185393276270362,"A4GALT"
"AAAS",242.625466597189,1.29729756199908,1.14330552237598,1.13469019138741,0.256505148478483,0.99956753357574,"AAAS"
"AACS",1039.09671102628,-0.16313430161272,0.19912933834926,-0.819237903189299,0.412650693505611,0.99956753357574,"AACS"
"AADAT",842.071030878227,-0.0968866194604361,0.199887051715019,-0.484706831328765,0.627884319985615,0.99956753357574,"AADAT"
"AAGAB",2646.45105231734,0.076875527090792,0.139031823466361,0.552934753886704,0.580308088501124,0.99956753357574,"AAGAB"
"AAK1",2002.4225584824,0.181101426764821,0.307636985093499,0.58868548172054,0.556072278846144,0.99956753357574,"AAK1"
"AAMDC",349.333113119934,0.168445281736364,0.28717567423197,0.586558322486255,0.557500380675922,0.99956753357574,"AAMDC"
"AAMP",5435.21986081588,-0.0712127938322111,0.189825559001463,-0.375148605945431,0.707549949978806,0.99956753357574,"AAMP"
"AANAT",16.7780858341294,0.545516837106953,0.708683778231648,0.769760581324664,0.441441926422373,0.99956753357574,"AANAT"
"AAR2",2120.06818212425,-0.105830530066512,0.146285504924713,-0.723451924515544,0.469402280126375,0.99956753357574,"AAR2"
"AARD",42.0355347664315,0.0894724206004802,0.423919721175488,0.211059821308577,0.832840591917285,0.99956753357574,"AARD"
"AARS1",5646.53914846087,0.00516734555468036,0.171727834219376,0.0300903204082762,0.975995020432245,0.99956753357574,"AARS1"
"AARS2",1924.63201329142,-0.144302277000884,0.163607759477663,-0.882001425003227,0.377776036665076,0.99956753357574,"AARS2"
