"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"PSMB9",51.6698130358111,6.64553332370528,0.996493851026477,6.66891553506305,2.57700503159938e-11,2.81327570344391e-09,"PSMB9"
"LOC107985664",6.64554010229975,6.40747707706129,1.5199178852739,4.21567318809898,2.49034187868867e-05,0.000940517245588692,"LOC107985664"
"TMC4",8.86549631390937,6.40361957558959,1.64897444060305,3.88339528977037,0.000103007902587014,0.00320101998721539,"TMC4"
"NLRP1",14.8862104910767,5.94382261550483,1.21832576639107,4.87868087458387,1.06797698590482e-06,5.53799466040944e-05,"NLRP1"
"ARMC3",4.06006795608002,5.85600561010895,1.84158270986451,3.17987651531534,0.001473378232563,0.0304087674625093,"ARMC3"
"LOC101927692",13.3562208603254,5.82960967709828,1.22867600431807,4.744627270827,2.08890610382828e-06,0.000100997879733348,"LOC101927692"
"CCL7",5.13569536552887,5.79491999871509,1.57340019502237,3.68305534539019,0.000230455100081141,0.00649470066016716,"CCL7"
"CXCL11",5.28954199321084,5.58622795046297,1.6678852973778,3.34928784326204,0.000810195773865526,0.0185486542400869,"CXCL11"
"C3",1408.77946540314,5.56957164386274,0.213278640726241,26.1140619843489,2.52419180534788e-150,5.23567864265257e-146,"C3"
"TREM1",3.62008789252503,5.44934938204476,1.77471956982605,3.07054110108161,0.00213671275367154,0.0407421291466352,"TREM1"
"LOC105370670",10.3235347361194,5.41928846443924,1.33300960726385,4.06545341827127,4.79391689929702e-05,0.00167118360210452,"LOC105370670"
"SLFN5",4.74681891186599,5.14522402851177,1.54945819980524,3.32066010503446,0.000898048333026419,0.0201812768403402,"SLFN5"
"CREB3L3",4.31057377266066,5.01948296537274,1.67238757493521,3.00138738208887,0.00268752428916169,0.049200908036886,"CREB3L3"
"TPH2",9.3814689698477,4.95596082185201,1.27011422498242,3.90198040803817,9.54088815606695e-05,0.00300299092766526,"TPH2"
"LCN2",8.57611878866224,4.73755047189479,1.3321988153583,3.55618877398612,0.000376273754736773,0.00987932939335461,"LCN2"
"HOXA13",28.9825841226046,4.54135391709496,0.712753697435223,6.37156135904535,1.87113402723727e-10,1.82211558652373e-08,"HOXA13"
"LOC646548",10.2731222827463,4.43012344875016,1.16518109159119,3.80209006198367,0.000143480547837423,0.0042759677058101,"LOC646548"
"BGN",389.610615424118,4.41913399921219,0.282615362972899,15.6365667907302,4.10258442166621e-55,1.41826343457001e-51,"BGN"
"ABLIM3",51.8916060773972,4.28462806707944,0.559711894403082,7.65505987977777,1.93222188385202e-14,3.13110518084833e-12,"ABLIM3"
"SOHLH1",15.190852096107,4.18854106684567,0.867154297843687,4.83021427358559,1.36386199241075e-06,6.98499393742811e-05,"SOHLH1"
"HSD11B1",70.2220067870102,4.14121458097033,1.33435429569485,3.10353449179989,0.00191223943761084,0.0369996925512351,"HSD11B1"
"F2RL2",10.9780054892117,4.04862003828903,0.96844095607343,4.18055433622332,2.90799310869984e-05,0.00107351056147236,"F2RL2"
"CASP1",10.0652198163755,3.88613544483618,1.21955786995965,3.18651171917306,0.00143999653818165,0.0298983065014653,"CASP1"
"INKILN",28.2762387354153,3.83912500244304,0.666471425721875,5.76037449510272,8.39275156325317e-09,6.23951444175617e-07,"INKILN"
"ZDHHC15",158.830243889148,3.82949939632754,0.375153361520118,10.2078237572241,1.82921437270488e-24,1.05393234774013e-21,"ZDHHC15"
"GRAMD2A",10.493112636956,3.82900078006655,0.964329641175642,3.97063474622485,7.16814013212078e-05,0.00237890500192719,"GRAMD2A"
"COL9A1",34.1327263909909,3.79178805033921,0.620845414641481,6.10745921757165,1.01229666987458e-09,8.46655545424938e-08,"COL9A1"
"LINC01404",49.7518337162504,3.76786384162134,0.554252815703669,6.79809598592248,1.06010820143672e-11,1.19504153881525e-09,"LINC01404"
"TRPM3",23.5423076746231,3.74084127422112,0.826022288006544,4.5287413288193,5.93360850237842e-06,0.000256941351892136,"TRPM3"
"BHLHE41",22.2918065734172,3.7136750956321,0.780222493332684,4.759764204912,1.9381925851676e-06,9.43708699566816e-05,"BHLHE41"
"SYN3",14.4064287494443,3.70463317216816,0.8131000520761,4.55618366117314,5.20913931858207e-06,0.000227949299042256,"SYN3"
"LOC130890646",426.281414216442,3.63526581079475,0.206359069321848,17.6162153800229,1.84973297401909e-69,1.9183580673552e-65,"LOC130890646"
"LOC124903676",15.1244999692139,3.60051917154578,1.00185122951449,3.5938661005493,0.000325807317234027,0.00874242609840645,"LOC124903676"
"NNAT",918.710043011498,3.56353782265331,0.317520331470263,11.2230224948195,3.14339870731209e-29,2.6080150394827e-26,"NNAT"
"GPS2",342.790625617485,3.54065985840238,1.06277112565527,3.33153561752945,0.000863682469646608,0.0196430940629495,"GPS2"
"PTPRN2-AS1",12.0519433706505,3.5134972600102,0.999648390609713,3.51473307316308,0.000440196202822154,0.0112862171062264,"PTPRN2-AS1"
"ZFPM2-AS1",38.509918203812,3.47458874802286,0.560182636428713,6.20259987023897,5.55379178272149e-10,4.94406648743387e-08,"ZFPM2-AS1"
"HTR1D",24.2979313963112,3.44976122135742,0.889487316446619,3.87837033487869,0.000105158551239804,0.00325552040271047,"HTR1D"
"CDR1",27.175372891659,3.44487672313555,0.667236077996558,5.16290535949305,2.43146088475376e-07,1.41666746268434e-05,"CDR1"
"LINC01735",8.6701600959708,3.44318666754235,1.07436932947889,3.20484452884784,0.00135135452577831,0.0283339109570161,"LINC01735"
"TINF2",128.013451311335,3.35396564111905,0.899013139556687,3.73071926709873,0.000190933887092923,0.00549285809442635,"TINF2"
"LHFPL5",14.4691638636266,3.35395631020763,0.771609046853895,4.34670423303461,1.38198370544759e-05,0.000559865351921755,"LHFPL5"
"SHANK1",260.225447422075,3.33457029620678,0.489852641729232,6.80729266751607,9.94524848584358e-12,1.12723685296922e-09,"SHANK1"
"LTF",270.616128519048,3.32103818109191,0.315548003853457,10.5246686416505,6.64949928838446e-26,4.3101223199897e-23,"LTF"
"SLCO2B1",88.9424639898422,3.31968222704148,0.501740467250719,6.61633343077078,3.68217338311996e-11,3.91669950321406e-09,"SLCO2B1"
