"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043025","neuronal cell body",0.115853658536585,"488/19894",0.116803278688525,4.72293582566973,13.2597974531806,1.05080996276777e-22,4.44492614250768e-20,3.35153072335406e-20,"GABRD/SEZ6/PTPRN/ATP1A3/OPRM1/SEZ6L/BRINP2/SHANK2/CPLX2/SLC8A2/ATP2B2/S100B/GAP43/SNCB/CPLX1/HPCA/CACNA1B/DRD2/VGF/ASS1/NRSN1/SYT5/SLC8A3/MAP2/ASTN1/MAOB/TUBB4A/SLC1A1/ARC/HMCN2/DPYSL5/L1CAM/UNC5A/KCNC1/DNER/CHRM2/DRP2/GRIP2/GFRA1/ELAVL4/ENC1/ENO2/CD200/SPTBN4/TTBK1/ADAM21/OLFM1/AKAP12/MAP1A/KCNC3/KIF5C/MYO1D/MAP1B/RTN1/KIF5A/PRPH/SNAP25",57
"GO:0097060","synaptic membrane",0.0934959349593496,"397/19894",0.115869017632242,4.68515901783703,11.8107379272615,2.40724516612888e-18,5.09132352636259e-16,3.83892255440554e-16,"SHANK1/GABRD/CACNG5/RPH3A/CACNG2/SHANK2/CNTN2/NRXN2/SLC6A11/ATP2B2/UNC13A/DRD2/IQSEC3/GRIN1/SYT7/PLPPR4/CHRM1/ANK1/PDE2A/NRCAM/CHRM4/GRM2/SNAP91/GRIK5/CSPG5/ARC/DLG3/KCNC1/HTR3A/LHFPL4/STX1A/CHRM2/RGS9/LRFN2/PRKCG/SYP/GRIP2/CLSTN2/OTOF/CHRNB2/SCN2A/CHRM3/KCNC3/GRIA3/ERC2/SNAP25",46
"GO:0150034","distal axon",0.0711382113821138,"272/19894",0.128676470588235,5.20302785748446,11.1143617325083,1.27106282650234e-15,1.7921985853683e-13,1.35134047870249e-13,"PTPRN/SHANK2/CPLX2/STMN4/SLC8A2/UNC13A/GAP43/SNCB/CPLX1/DRD2/NRSN1/KIF21B/BASP1/GRIN1/SLC8A3/SLC18A3/MAP2/CHRM1/SLC1A1/SEPTIN6/L1CAM/ITGA2/KCNC1/CHRM2/PRKCG/SYP/CDK5R2/ELAVL4/SLC18A1/OLFM1/KCNC3/KIF5C/MAP1B/ERC2/SNAP25",35
"GO:0098984","neuron to neuron synapse",0.0813008130081301,"360/19894",0.111111111111111,4.49277326106594,10.649653922269,1.8341895396055e-15,1.93965543813282e-13,1.46252481710649e-13,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/ATP1A3/CACNG2/SHANK2/NEFH/TNIK/SLC8A2/ATP2B2/SYN1/GAP43/IQSEC3/GRIN1/SYT7/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/SLC1A1/ARC/DLG3/CHRM2/GNG3/RGS9/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/MAP1B/RTN1/GRIA3/PSD",40
"GO:0032279","asymmetric synapse",0.0772357723577236,"329/19894",0.115501519756839,4.67029925618405,10.6897842775944,2.69347177663034e-15,2.27867712302927e-13,1.71815147014525e-13,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/CACNG2/SHANK2/NEFH/TNIK/SLC8A2/ATP2B2/SYN1/GAP43/IQSEC3/GRIN1/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/SLC1A1/ARC/DLG3/CHRM2/GNG3/RGS9/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/MAP1B/RTN1/GRIA3/PSD",38
"GO:0099572","postsynaptic specialization",0.0772357723577236,"341/19894",0.111436950146628,4.50594854922156,10.3988537508522,8.67640326176192e-15,6.11686429954215e-13,4.61219331283134e-13,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/CACNG2/SHANK2/NEFH/TNIK/SLC8A2/ATP2B2/SYN1/GAP43/IQSEC3/GRIN1/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/ARC/DLG3/LHFPL4/GNG3/RGS9/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/CHRNB2/MAP1B/RTN1/GRIA3/PSD",38
"GO:0014069","postsynaptic density",0.0731707317073171,"313/19894",0.115015974440895,4.65066625107146,10.3665992170245,1.70076054885218e-14,1.0277453030921e-12,7.7493300195821e-13,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/CACNG2/SHANK2/NEFH/TNIK/SLC8A2/ATP2B2/SYN1/GAP43/IQSEC3/GRIN1/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/ARC/DLG3/GNG3/RGS9/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/MAP1B/RTN1/GRIA3/PSD",36
"GO:0045211","postsynaptic membrane",0.0670731707317073,"276/19894",0.119565217391304,4.8346147048427,10.2154699795124,7.17301292389631e-14,3.79273058351018e-12,2.85976699465866e-12,"SHANK1/GABRD/CACNG5/RPH3A/CACNG2/SHANK2/CNTN2/SLC6A11/ATP2B2/DRD2/IQSEC3/GRIN1/PLPPR4/CHRM1/ANK1/NRCAM/CHRM4/GRIK5/CSPG5/ARC/DLG3/KCNC1/HTR3A/LHFPL4/CHRM2/RGS9/LRFN2/GRIP2/CLSTN2/CHRNB2/CHRM3/KCNC3/GRIA3",33
"GO:0043679","axon terminus",0.040650406504065,"112/19894",0.178571428571429,7.22052845528455,10.5126120112993,3.97956841854542e-12,1.87039715671635e-10,1.41030319394066e-10,"PTPRN/CPLX2/SLC8A2/UNC13A/SNCB/CPLX1/DRD2/GRIN1/SLC8A3/SLC18A3/CHRM1/SLC1A1/SEPTIN6/ITGA2/KCNC1/CHRM2/PRKCG/SYP/SLC18A1/KCNC3",20
"GO:0044306","neuron projection terminus",0.0426829268292683,"128/19894",0.1640625,6.63386051829268,10.1826571779421,6.31926752928204e-12,2.6730501648863e-10,2.01551374881311e-10,"PTPRN/CPLX2/SLC8A2/UNC13A/SNCB/CPLX1/DRD2/GRIN1/SLC8A3/SLC18A3/CHRM1/SLC1A1/SEPTIN6/ITGA2/KCNC1/CHRM2/BSN/PRKCG/SYP/SLC18A1/KCNC3",21
"GO:0098978","glutamatergic synapse",0.0752032520325203,"409/19894",0.0904645476772616,3.65793030790944,8.64897179577649,1.15119496348927e-11,4.42686790505421e-10,3.33791458313158e-10,"ABLIM3/SYN3/SHANK1/CACNG5/CACNG2/SHANK2/CPLX2/NRXN2/TNIK/ATP2B2/CPLX1/HPCA/DRD2/VGF/FILIP1/PLPPR4/CHRM1/NRCAM/GRM2/DLGAP3/CSPG5/ARC/DLG3/CHRM2/RGS9/BSN/DRP2/GRIP2/BCAN/ELAVL4/ICAM5/CLSTN2/SCN2A/NAPB/CAMKV/ERC2/SNAP25",37
"GO:0070382","exocytic vesicle",0.0548780487804878,"235/19894",0.114893617021277,4.64571873378308,8.95253076830883,3.56063302277098e-11,1.25512314052677e-09,9.46378777104919e-10,"SYN3/UNC13D/SVOP/RPH3A/UNC13A/SYN1/DRD2/SYT5/KCNK9/GRIN1/SYT7/SLC18A3/LGI3/SNAP91/SEPTIN6/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/STON2/SYT3/TRIM9/RAB3B/CLCN4/SNAP25",27
"GO:0043204","perikaryon",0.0426829268292683,"151/19894",0.139072847682119,5.6234049426587,9.08140985620316,1.58472623118275e-10,4.77971135149199e-09,3.60396301978866e-09,"PTPRN/OPRM1/CPLX2/SLC8A2/GAP43/CPLX1/HPCA/DRD2/ASS1/SLC8A3/ASTN1/SLC1A1/DRP2/ELAVL4/ENO2/OLFM1/KCNC3/MYO1D/MAP1B/KIF5A/PRPH",21
"GO:0008021","synaptic vesicle",0.0508130081300813,"216/19894",0.115740740740741,4.67997214694369,8.65945125003748,1.63543178331399e-10,4.77971135149199e-09,3.60396301978866e-09,"SYN3/SVOP/RPH3A/UNC13A/SYN1/DRD2/SYT5/KCNK9/GRIN1/SYT7/SLC18A3/LGI3/SNAP91/SEPTIN6/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/STON2/TRIM9/RAB3B/CLCN4/SNAP25",25
"GO:0042734","presynaptic membrane",0.0447154471544715,"167/19894",0.131736526946108,5.3267611119225,8.94128778947874,1.69493310336595e-10,4.77971135149199e-09,3.60396301978866e-09,"NRXN2/SLC6A11/ATP2B2/UNC13A/DRD2/SYT7/CHRM1/PDE2A/GRM2/SNAP91/GRIK5/KCNC1/STX1A/CHRM2/RGS9/SYP/OTOF/CHRNB2/SCN2A/KCNC3/ERC2/SNAP25",22
"GO:0030133","transport vesicle",0.0711382113821138,"434/19894",0.0806451612903226,3.2608838185156,7.5833505962898,9.58996962509298e-10,2.53534821963396e-08,1.91168473447577e-08,"BGN/SYN3/UNC13D/CD74/SVOP/RPH3A/PTPRN/UNC13A/SYN1/DRD2/VGF/NRSN1/SYT5/KCNK9/GRIN1/HLA-B/SYT7/SLC18A3/LGI3/SNAP91/SEPTIN6/STX1A/BSN/MAP6/SYP/PTPRN2/SLC18A1/SCG3/OTOF/STON2/SYT3/TRIM9/RAB3B/CLCN4/SNAP25",35
"GO:0044304","main axon",0.0264227642276423,"68/19894",0.191176470588235,7.73021281683405,8.85268773309327,1.00366515836752e-08,2.49735507052623e-07,1.88303741786599e-07,"NFASC/CNTN2/MAP2/ANK1/NRCAM/LGI3/TUBB4A/KCNC1/SPTBN4/SCN2A/MAP1A/MYO1D/MAP1B",13
"GO:0030672","synaptic vesicle membrane",0.032520325203252,"128/19894",0.125,5.05436991869919,7.32788091232081,1.12531794186766e-07,2.50531310215801e-06,1.88903787471414e-06,"SYN3/SVOP/RPH3A/UNC13A/SYN1/DRD2/SYT5/SYT7/SLC18A3/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/RAB3B",16
"GO:0099501","exocytic vesicle membrane",0.032520325203252,"128/19894",0.125,5.05436991869919,7.32788091232081,1.12531794186766e-07,2.50531310215801e-06,1.88903787471414e-06,"SYN3/SVOP/RPH3A/UNC13A/SYN1/DRD2/SYT5/SYT7/SLC18A3/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/RAB3B",16
"GO:0030658","transport vesicle membrane",0.0447154471544715,"238/19894",0.092436974789916,3.73768531802965,6.76602933281147,1.26650214460346e-07,2.67865203583631e-06,2.01973763060446e-06,"SYN3/CD74/SVOP/RPH3A/PTPRN/UNC13A/SYN1/DRD2/SYT5/HLA-B/SYT7/SLC18A3/STX1A/BSN/MAP6/SYP/PTPRN2/SLC18A1/SCG3/OTOF/SYT3/RAB3B",22
"GO:0044309","neuron spine",0.0365853658536585,"173/19894",0.104046242774566,4.20710559706753,6.74654291586288,3.09372149538703e-07,6.23163901213673e-06,4.69873490276827e-06,"SHANK1/SEZ6/RPH3A/SHANK2/SLC8A2/ATP2B2/HPCA/DRD2/GRIN1/SLC8A3/SLC1A1/ARC/GRIP2/ADGRB1/KCNC3/MAP1B/GRIA3/PSD",18
"GO:0043197","dendritic spine",0.0345528455284553,"171/19894",0.0994152046783626,4.01984975990111,6.31547975629012,1.2493444620293e-06,2.40214867017452e-05,1.81125058370755e-05,"SHANK1/SEZ6/RPH3A/SHANK2/SLC8A2/ATP2B2/HPCA/DRD2/GRIN1/SLC8A3/SLC1A1/ARC/ADGRB1/KCNC3/MAP1B/GRIA3/PSD",17
"GO:0098981","cholinergic synapse",0.0101626016260163,"10/19894",0.5,20.2174796747967,9.67952388353898,2.06187735736092e-06,3.79206140071161e-05,2.85926242233574e-05,"PLD1/CHRM1/DLGAP3/CHRM2/CHRNB2",5
"GO:0097440","apical dendrite",0.0121951219512195,"17/19894",0.352941176470588,14.2711621233859,8.71700788935358,2.17849918499932e-06,3.8396048135613e-05,2.89511075901225e-05,"SEZ6/MAP2/SLC1A1/ELAVL4/MYO1D/MAP1B",6
"GO:0098685","Schaffer collateral - CA1 synapse",0.024390243902439,"93/19894",0.129032258064516,5.21741410962497,6.49162765355193,3.10275347140637e-06,5.24985887361958e-05,3.95846021825739e-05,"SHANK1/CACNG2/NEFH/SYN1/CPLX1/CHRM1/SLC1A1/INA/LRFN2/BSN/SYP/AKAP12",12
"GO:0030427","site of polarized growth",0.032520325203252,"169/19894",0.0946745562130177,3.82816183191418,5.8796103509476,4.84396819820611e-06,7.88076364554302e-05,5.94219580589656e-05,"SHANK2/STMN4/GAP43/NRSN1/KIF21B/BASP1/MAP2/L1CAM/FRY/CDK5R2/ELAVL4/OLFM1/KIF5C/MAP1B/ERC2/SNAP25",16
"GO:0098839","postsynaptic density membrane",0.024390243902439,"99/19894",0.121212121212121,4.90120719389012,6.19652638420948,6.02146608338816e-06,9.43363019730811e-05,7.11307689382695e-05,"CACNG5/CACNG2/ATP2B2/PLPPR4/CHRM1/NRCAM/GRIK5/ARC/DLG3/RGS9/CLSTN2/GRIA3",12
