"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","4/84","38/8544",0.105263157894737,10.7067669172932,5.9753503631267,0.00049750561442406,0.0791033926934255,0.0780298279465105,"4907/54981/93100/952",4
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","3/84","28/8544",0.107142857142857,10.8979591836735,5.22716865121881,0.00251505618382351,0.199946966613969,0.197233353363001,"6489/8708/8707",3
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","7/84","232/8544",0.0301724137931034,3.06896551724138,3.18349478193464,0.00764727919094401,0.312008331800547,0.307773859240526,"5318/1756/6383/22801/4634/7139/255631",7
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","9/84","370/8544",0.0243243243243243,2.47413127413127,2.88854654510734,0.0101710817814423,0.312008331800547,0.307773859240526,"4852/8862/53637/1910/23566/2562/3274/5443/84109",9
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","4/84","98/8544",0.0408163265306122,4.15160349854227,3.12664617896567,0.0156104040734236,0.312008331800547,0.307773859240526,"814/4881/5587/5443",4
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","4/84","99/8544",0.0404040404040404,4.10966810966811,3.10092651763128,0.0161486213774991,0.312008331800547,0.307773859240526,"1756/22801/4634/7139",4
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","4/84","100/8544",0.04,4.06857142857143,3.07554290083726,0.0166984000768165,0.312008331800547,0.307773859240526,"3566/3589/3574/952",4
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","5/84","155/8544",0.032258064516129,3.28110599078341,2.85572170002931,0.0180472144557615,0.312008331800547,0.307773859240526,"814/3768/4881/3761/952",5
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","4/84","105/8544",0.0380952380952381,3.87482993197279,2.95339121525115,0.019623165522047,0.312008331800547,0.307773859240526,"91522/1357/255631/1303",4
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","4/84","105/8544",0.0380952380952381,3.87482993197279,2.95339121525115,0.019623165522047,0.312008331800547,0.307773859240526,"1756/22801/4634/7139",4
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","3/84","86/8544",0.0348837209302326,3.54817275747508,2.36648588401652,0.0524113679650582,0.685838063617072,0.676530099165467,"5318/1756/22801",3
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","2/84","41/8544",0.0487804878048781,4.9616724738676,2.53363512634046,0.0611895129348222,0.685838063617072,0.676530099165467,"2628/4128",2
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/84","42/8544",0.0476190476190476,4.84353741496599,2.48802576056296,0.0638497224978086,0.685838063617072,0.676530099165467,"2512/7018",2
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","5/84","226/8544",0.0221238938053097,2.25031605562579,1.89812248730029,0.0712890623432758,0.685838063617072,0.676530099165467,"4852/814/627/4881/5443",5
