"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","13/231","116/8544",0.112068965517241,4.14509628302732,5.6850328609792,1.37397894963123e-05,0.00275403921095999,0.00257203503674934,"84699/1103/774/6572/1128/1132/43/1129/2785/5582/2353/1141/1131",13
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","25/231","370/8544",0.0675675675675676,2.4991224991225,4.91420161608546,2.07070617365413e-05,0.00275403921095999,0.00257203503674934,"718/2151/3352/2563/4988/5031/1813/7425/2902/11255/1128/7432/3357/1132/2912/2150/2901/1129/84634/2834/57105/1141/117/1131/2892",25
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","10/231","79/8544",0.126582278481013,4.68190037810291,5.48030085501332,4.82417852528719e-05,0.00364915557093028,0.00340799649679282,"10814/6538/23025/10815/774/6572/6505/6804/6570/6616",10
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","13/231","132/8544",0.0984848484848485,3.6426603699331,5.1004792892057,5.48745198636132e-05,0.00364915557093028,0.00340799649679282,"84699/5522/774/1813/4129/2785/5582/6570/2353/3800/3798/2892/5521",13
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","9/231","69/8544",0.130434782608696,4.82439299830604,5.31679002600807,9.1170551001769e-05,0.00445582715831651,0.00416135816922318,"84699/2902/4129/23237/6804/5582/6570/2353/2892",9
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","10/231","86/8544",0.116279069767442,4.30081546360616,5.12824698423612,0.000100507379510899,0.00445582715831651,0.00416135816922318,"27091/10369/6543/6547/55799/3673/1496/2697/51176/3679",10
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","7/231","49/8544",0.142857142857143,5.28385899814471,5.0128397231043,0.000314610724544938,0.0105851901876596,0.00988565446888672,"84699/1813/2902/2912/4129/8787/6570",7
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","13/231","157/8544",0.0828025477707006,3.06261890975267,4.34808276832608,0.000318351584591267,0.0105851901876596,0.00988565446888672,"5522/25937/5054/1741/23418/656/1496/655/2246/51176/50855/5521/151449",13
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","10/231","116/8544",0.0862068965517241,3.18853560232871,3.95596690753315,0.00114295881431753,0.0337807827342735,0.0315483368630334,"50944/22941/5337/2902/2912/2901/6505/2785/5582/2892",10
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","14/231","226/8544",0.0619469026548673,2.2912308930008,3.27929866736988,0.0032377818883515,0.0857553454013306,0.0800880946367789,"84699/3352/478/491/5337/1813/2902/1128/7432/5143/1129/2353/117/2892",14
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","9/231","115/8544",0.0782608695652174,2.89463579898363,3.40972171277223,0.00386866219855627,0.0857553454013306,0.0800880946367789,"121278/3352/774/3357/4129/3359/2785/5582/6570",9
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","9/231","115/8544",0.0782608695652174,2.89463579898363,3.40972171277223,0.00386866219855627,0.0857553454013306,0.0800880946367789,"84699/10893/5337/6559/6446/64386/5143/5582/2353",9
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","5/231","41/8544",0.121951219512195,4.51061133987963,3.75595943392442,0.00468760410257304,0.0934879944446455,0.0873097217607295,"2563/774/2902/1141/2892",5
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","8/231","98/8544",0.0816326530612245,3.01934799893984,3.35143630988,0.0049204207602445,0.0934879944446455,0.0873097217607295,"84699/478/491/3777/51305/8913/5138/5582",8
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","7/231","86/8544",0.0813953488372093,3.01057082452431,3.1236837930332,0.00847549327586408,0.133165890642319,0.124365453864611,"84699/478/6804/5582/117/1131/6616",7
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","10/231","154/8544",0.0649350649350649,2.40175409006578,2.92606193762393,0.0088446702061025,0.133165890642319,0.124365453864611,"84699/5522/27091/478/10369/6543/491/6547/55799/5521",10
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","14/231","254/8544",0.0551181102362205,2.0386542591267,2.80119216041511,0.00894576198800683,0.133165890642319,0.124365453864611,"6543/491/774/2902/6547/1128/8913/3357/1129/5582/57105/7852/2246/1131",14
"hsa04260","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","7/231","87/8544",0.0804597701149425,2.97596656217346,3.08790090628137,0.00901122568256293,0.133165890642319,0.124365453864611,"27091/478/10369/6543/6547/55799/84679",7
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","7/231","91/8544",0.0769230769230769,2.84515484515485,2.94971721297722,0.0114047727314967,0.159666818240953,0.149115034051701,"2563/4988/774/5138/5143/2785/5582",7
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","7/231","92/8544",0.0760869565217391,2.81422924901186,2.91634323752354,0.0120688880880666,0.160516211571286,0.149908294146512,"7277/1813/3357/10382/5582/2697/7280",7
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","5/231","53/8544",0.0943396226415094,3.48934084783141,3.03022713431914,0.0138303856769744,0.175184885241675,0.16360756991308,"478/6543/491/6547/5582",5
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","7/231","97/8544",0.0721649484536082,2.66916588566073,2.75591883505387,0.015813873866098,0.191204111290094,0.178568145090867,"2902/8913/2785/5582/2353/117/2892",7
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","7/231","99/8544",0.0707070707070707,2.61524334251607,2.69456108212607,0.0175207659349434,0.20263146689978,0.189240309411745,"27091/10369/6543/6547/55799/3673/3679",7
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","17/231","362/8544",0.0469613259668508,1.73695917342326,2.38836269848691,0.0187494185680641,0.207806055796044,0.194072929037857,"84699/1297/5522/3914/3910/1128/6446/4254/6850/3673/1129/2785/118788/54541/2246/3679/5521",17
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","7/231","105/8544",0.0666666666666667,2.46580086580087,2.51916395036361,0.0234148947710404,0.246717548428378,0.230412906328046,"27091/10369/6543/6547/55799/3673/3679",7
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","4/231","41/8544",0.0975609756097561,3.60848907190371,2.79079003323717,0.0241152490945032,0.246717548428378,0.230412906328046,"29958/4129/51268/6472",4
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","9/231","160/8544",0.05625,2.08051948051948,2.2998486706045,0.0293845398368621,0.289492133207605,0.270360678421032,"23114/6900/9379/3106/4897/3897/5010/29126/4684",9
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","6/231","88/8544",0.0681818181818182,2.52184179456907,2.39199715527736,0.0315659772375455,0.299876783756682,0.280059046167697,"718/2151/716/629/5054/3426",6
"hsa00790","Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","3/231","28/8544",0.107142857142857,3.96289424860853,2.61763834035123,0.0388706015543343,0.356317980795869,0.332770255116047,"121278/8644/249",3
