"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"TSPAN6",1624.84664642988,-0.420398523560548,0.191155424968029,-2.1992497656337,0.0278601674907921,0.198451096945853,"TSPAN6"
"DPM1",1624.13443615454,-0.408031182670099,0.4116378284269,-0.991238303412045,0.321569231213401,0.739780966496315,"DPM1"
"SCYL3",478.292723468715,0.0435103595829626,0.21657769112104,0.200899544905785,0.840777123571112,0.96982547626627,"SCYL3"
"FIRRM",726.581452617713,-0.142415216931622,0.239116618913262,-0.595588953954232,0.551449857712188,0.876052087243002,"FIRRM"
"FUCA2",832.74902369157,-0.169221993814569,0.170544942701275,-0.992242813737236,0.321079092008673,0.739241862133578,"FUCA2"
"GCLC",1661.7886497846,-0.209526215645829,0.187554350344412,-1.11714932370841,0.263930484084762,0.682673308887736,"GCLC"
"NFYA",3628.48325792865,-0.0404998529086267,0.231125628176955,-0.175228741304358,0.860899901411925,0.973209462184119,"NFYA"
"STPG1",571.195125680539,0.397380242285013,0.179890442962122,2.20901252863492,0.0271737694827215,0.194899791810635,"STPG1"
"NIPAL3",606.711077674638,0.434014256445006,0.242151568812248,1.79232477647716,0.073080956695919,0.35983296742021,"NIPAL3"
"LAS1L",3019.79433881618,-0.0871309954109396,0.149167010938137,-0.584117056867721,0.559141559829528,0.879749215243305,"LAS1L"
"SEMA3F",2512.64751534472,-0.470553480281226,0.166974603468556,-2.81811407547279,0.00483066438312674,0.0531714713288434,"SEMA3F"
"ANKIB1",3812.82043078272,0.0434001247794345,0.319255706227029,0.13594157890657,0.89186746534409,0.98009351800662,"ANKIB1"
"CYP51A1",95.751855113198,0.14005809533481,0.533581417150373,0.262486831124666,0.792946136775672,0.958510492319415,"CYP51A1"
"KRIT1",452.167911438036,-0.541200143840526,0.282928564116623,-1.91285084816478,0.0557671494589426,0.307896386725428,"KRIT1"
"RAD52",316.666324678846,-0.184498755929103,0.16954931369516,-1.08817164698656,0.276519338989115,0.696427994518059,"RAD52"
"BAD",798.891934332074,0.0799591000338271,0.323047774013649,0.247514784084068,0.804509851339038,0.961113856788516,"BAD"
"LAP3",2319.88426450801,-0.0351910392127662,0.130897128982872,-0.268845004365,0.788048959359559,0.956847281871636,"LAP3"
"CD99",5019.00153819192,-0.283096692968009,0.264779144070998,-1.06918048232719,0.284988351639651,0.705633642506153,"CD99"
"MAD1L1",13.0744391871971,0.99330994145578,0.569293531725342,1.74481157101045,0.0810176739907509,0.382108811512742,"MAD1L1"
"LASP1",4461.57563652268,-0.00756338654352023,0.200839032537939,-0.0376589473069259,0.969959608064329,0.992664883589173,"LASP1"
"SNX11",1934.99350100966,0.352484130923908,0.128881719721,2.73494279628606,0.00623911175273661,0.0645911903710148,"SNX11"
"M6PR",3145.12623642285,0.14498546765011,0.247800838640124,0.585088688342453,0.558488084387325,0.879218558663047,"M6PR"
"KLHL13",13355.2975837271,0.24065033254784,0.194579602553479,1.23677060385453,0.21617225834828,0.625140287798706,"KLHL13"
"ICA1",2215.5389172941,-0.184246888587759,0.180737203091966,-1.01941872196621,0.308004221661322,0.72729806394868,"ICA1"
"DBNDD1",2480.05855571964,0.176018028606453,0.165353393755643,1.06449601431568,0.287104059003191,0.707878415420513,"DBNDD1"
"ALS2",1972.18544346188,0.174373432749229,0.290855694642076,0.599518716536773,0.548827032785687,0.875670090287951,"ALS2"
"CFLAR",915.09693617591,-0.144283225727861,0.186503290260552,-0.773622950706617,0.439153795874,0.818397640376071,"CFLAR"
"TFPI",477.887647458273,-2.64566956392636,0.285228135465634,-9.27562619167044,1.76578739914595e-20,3.52342501029583e-18,"TFPI"
"NDUFAF7",564.34619044352,-0.278207928464161,0.200017009225426,-1.39092134984686,0.164249277901865,0.552451915599773,"NDUFAF7"
