"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"C3",1412.15526357478,5.5893520216034,0.201105819943626,27.7930893455505,5.25767522815285e-170,8.1830457250971e-166,"C3"
"TWIST2",48.0517564190897,5.47191927675135,0.57722020892946,9.4797777210535,2.54825306581447e-21,5.66585867376235e-19,"TWIST2"
"HOXA13",25.9005097904273,5.2722465757816,0.792697403319478,6.6510203688112,2.91067993145569e-11,1.97824552197276e-09,"HOXA13"
"BCAN-AS2",23.7534724213029,4.90467033649811,1.01904605704567,4.81300163283815,1.48680074017001e-06,4.86146359663994e-05,"BCAN-AS2"
"BGN",390.070420777197,4.42034864442291,0.273372727038422,16.1696768083293,8.25301513366864e-59,1.28449927540419e-55,"BGN"
"ABLIM3",49.1064379760031,4.27489509172266,0.566361464182511,7.54799781071451,4.42000353719587e-14,4.29955844080729e-12,"ABLIM3"
"HSD11B1",70.3137510613457,4.14497456886716,1.33365763365472,3.10797498868459,0.00188374009395529,0.0252745955364828,"HSD11B1"
"NLRP1",16.7805041043526,4.02785819484563,0.797906540720444,5.04803255680647,4.46383091289405e-07,1.59712791559271e-05,"NLRP1"
"CASP1",10.0833973120379,3.88719142528414,1.19772492440184,3.24547927999866,0.00117253096961229,0.0170553944028464,"CASP1"
"ZDHHC15",148.866025339814,3.82488398326106,0.379058265503142,10.0904909122193,6.0864363356714e-24,1.85743715938019e-21,"ZDHHC15"
"INKILN",27.6940037676817,3.79032751061702,0.641406573174021,5.90939923153651,3.433576384982e-09,1.6648032042324e-07,"INKILN"
"COL9A1",32.9819471599411,3.74603829247097,0.581641939750158,6.44045423216914,1.19116471786652e-10,7.21373061045699e-09,"COL9A1"
"SOHLH1",15.9572356148512,3.74426059673053,0.882130215647176,4.24456676612482,2.19016151134916e-05,0.000543663058415284,"SOHLH1"
"ENSG00000236453",204.418266238929,3.71656055868262,0.250889338825254,14.8135451912177,1.1975399546217e-49,1.43373168105631e-46,"ENSG00000236453"
"BHLHE41",22.1271368369446,3.69036917985729,0.746205758688251,4.94551152532588,7.59441768431855e-07,2.59209466751609e-05,"BHLHE41"
"ZFPM2-AS1",44.7447960916457,3.66953924913457,0.528916449507062,6.93784292879244,3.98132008545103e-12,2.99349110193042e-10,"ZFPM2-AS1"
"LINC01735",10.8555785502727,3.66448200552602,0.996333225693225,3.67796828513509,0.000235099183163005,0.00428689565188172,"LINC01735"
"PRDM6-AS1",12.5705330439915,3.63178768449091,1.01295749367789,3.58533078353018,0.000336651231383863,0.00584781223801165,"PRDM6-AS1"
"LINC01404",29.4139702714598,3.60505790301778,0.675223881491734,5.33905568483941,9.34319466133073e-08,3.75208440530645e-06,"LINC01404"
"SYN3",15.4968236795219,3.59589082694541,0.767915051363964,4.68266746505153,2.83165680021922e-06,8.74442588067697e-05,"SYN3"
"NNAT",919.043206431638,3.56443875489579,0.331803011513806,10.7426353324327,6.41855963623006e-27,2.69995843725094e-24,"NNAT"
"HTR1D",24.3309632543053,3.45037073258215,0.896589796709843,3.84832701113012,0.000118927232532862,0.00241823076746557,"HTR1D"
"SHANK1",263.216531914984,3.34242036998056,0.502593387805234,6.6503468829475,2.92403052533112e-11,1.97867874331537e-09,"SHANK1"
"LTF",271.015201051596,3.3238660358497,0.311248018976606,10.6791556353633,1.27425363264201e-26,5.21907461537903e-24,"LTF"
"CHAT",21.2703546318003,3.25188157717166,0.690312698168359,4.71073701208168,2.46822570293957e-06,7.72946978683128e-05,"CHAT"
"SLCO2B1",96.1312976778006,3.21985205634553,0.493750603515865,6.52121138367799,6.97418145918847e-11,4.43045551962487e-09,"SLCO2B1"
"CD74",10.403601985764,3.21416517382217,0.855727353440027,3.75606220941894,0.00017260780486941,0.00327618033535061,"CD74"
"UNC13D",2672.84448021931,3.2121152323633,0.18912680001085,16.9839241830297,1.08016066571142e-64,2.80193676685542e-61,"UNC13D"
"MIR124-1HG",40.3373074703333,3.19644156646463,0.45754241976317,6.98610976468402,2.82612998783764e-12,2.1456530307661e-10,"MIR124-1HG"
"ENSG00000236938",29.4272770217199,3.19434546197325,0.544821504233845,5.86310458957616,4.54291864660587e-09,2.1755687943315e-07,"ENSG00000236938"
"SEZ6",453.383964897847,3.1930242815293,0.262667970138266,12.156123488709,5.32250079406132e-34,3.76542737994411e-31,"SEZ6"
"MMP19",25.6607579326259,3.18346993962668,0.601035593399365,5.2966412881165,1.17952080596589e-07,4.64761058836789e-06,"MMP19"
"GRAMD2A",14.5657877875576,3.15201487678377,0.947975854059469,3.32499489653249,0.000884201535232927,0.0134260611652344,"GRAMD2A"
"GABRD",56.2841463315637,3.13583429099173,0.35964206316833,8.71932015784263,2.79877146828427e-18,4.44490603391596e-16,"GABRD"
"PPP2R2C",329.893142704237,3.12624995682807,0.294077233455025,10.630710579322,2.14472084441304e-26,8.55908595447297e-24,"PPP2R2C"
"NFASC",500.977213207312,3.12519606715282,0.327300912340493,9.54838788809017,1.31730103060535e-21,3.12161310952494e-19,"NFASC"
"KCNT1",734.202089261562,3.09639745457526,0.266136025061367,11.6346422994079,2.74739456036376e-31,1.58372033101858e-28,"KCNT1"
"EPHA10",35.1975876130782,3.05945766895463,0.420616648245157,7.27374363739265,3.49659278830995e-13,3.04027766241654e-11,"EPHA10"
"SVOP",204.434184685812,3.05045566077507,0.274582523151835,11.1094312404154,1.12876156078188e-28,5.66711126839003e-26,"SVOP"
"CACNG5",15.1539706743381,3.04277087422156,0.82898292917851,3.67048677013992,0.000242089000522765,0.00437615935439759,"CACNG5"
"MARCHF4",535.774521762222,3.04170873693496,0.211473841062032,14.3833805716081,6.58003229765766e-47,7.31511590576742e-44,"MARCHF4"
"RPH3A",596.694106428826,3.01982945892831,0.319287709553016,9.45801973760875,3.13830052621375e-21,6.78395963749871e-19,"RPH3A"
"ENSG00000237954",18.5388833152058,3.01229921834841,0.797221429944976,3.77849754811072,0.000157777405624641,0.00305049383992784,"ENSG00000237954"
"MPV17L",37.7209496565056,3.00779196896559,0.650977163966586,4.62042623836184,3.82952477064117e-06,0.000115063172838338,"MPV17L"
"KIF1A",5148.44844398297,2.97352836465305,0.284264051195793,10.4604446188131,1.31238374073085e-25,4.86331917636547e-23,"KIF1A"
"TRIM67",951.019561034518,2.93557449993073,0.309994034571481,9.46977739100273,2.80440703497472e-21,6.14757621018965e-19,"TRIM67"
"PTPRN",3506.21655166166,2.93470258920572,0.152629272921384,19.2276522912962,2.17242414954618e-82,1.69058047317684e-78,"PTPRN"
"BMPER",57.4209056902149,2.92953422187631,0.455158342380668,6.43629688638382,1.22423468807379e-10,7.38526693224046e-09,"BMPER"
"DMGDH",11.7539939999809,2.88069182734827,0.804860828020001,3.57911793823401,0.000344755867364072,0.00594875866923993,"DMGDH"
"GOLGA7B",424.200738867975,2.84541914695007,0.173557404518787,16.3946859820784,2.08716418298805e-60,3.60940259378066e-57,"GOLGA7B"
"PTPRN2-AS1",12.9603385660621,2.82710439924836,0.706816226830267,3.99977291399572,6.34032932219763e-05,0.00140311315609719,"PTPRN2-AS1"
"GLIPR1",13.8725838562117,2.81984941114155,0.806942471588021,3.49448629911899,0.000474974987673051,0.00783935387926125,"GLIPR1"
"INSYN2B",104.085920521084,2.80706313835837,0.545453812779526,5.14628933301267,2.65689528486817e-07,9.82230836429649e-06,"INSYN2B"
"BRINP2",22.0640104241137,2.80598018405879,0.508922685745452,5.51356868666346,3.51629714679221e-08,1.49121658835624e-06,"BRINP2"
"ULBP2",13.8949683178251,2.79713861138312,0.762195264614562,3.66984517123394,0.00024269742230695,0.00438206807515704,"ULBP2"
"OPRM1",867.064517228875,2.7843952727565,0.364351588181546,7.64205608833278,2.13780006290973e-14,2.16056624539786e-12,"OPRM1"
"MARCHF11",1013.7061416723,2.77842752234934,0.274985508759736,10.1039052380646,5.30851421445945e-24,1.65243430467694e-21,"MARCHF11"
"SEZ6L",484.211031230544,2.77211003418435,0.319469851883828,8.67721951801702,4.05561842323384e-18,6.24966783556549e-16,"SEZ6L"
"ATP1A3",488.854378042243,2.77174245528193,0.296210744981081,9.35733258244553,8.17750500684232e-21,1.71992821522289e-18,"ATP1A3"
"NSG2",3477.54342704013,2.76469047695939,0.150687525396885,18.3471755188605,3.47724825373028e-75,1.80399639403527e-71,"NSG2"
"BCAN-AS1",90.4756931524482,2.75088399804493,0.437591953075761,6.28641358395516,3.24883724280491e-10,1.84543441047502e-08,"BCAN-AS1"
"CNTN2",359.361422450252,2.74423386139023,0.297339465656603,9.22929573217012,2.72417102014849e-20,5.23444416760384e-18,"CNTN2"
"ANO3",36.8316171272367,2.74209294022862,0.507634119914779,5.40171125748789,6.60081404952475e-08,2.70022494026179e-06,"ANO3"
"BET1-AS1",44.6177372618281,2.74126457003296,0.43890322081438,6.24571531953348,4.21864929906415e-10,2.34496634609408e-08,"BET1-AS1"
"LINC00589",59.6900373610386,2.74007238737721,0.408580177373105,6.70632727459768,1.99583833196987e-11,1.3684241321048e-09,"LINC00589"
"SHANK2",130.583656942657,2.733003170905,0.404695165057181,6.75323899784878,1.44580480899698e-11,1.00908098866498e-09,"SHANK2"
"SCRT2",144.362163745964,2.7274063530984,0.262019067527156,10.4091903648032,2.25128112034135e-25,7.96339530840745e-23,"SCRT2"
"CPLX2",1185.73972504034,2.72102640103062,0.194358233974439,14.0000572416627,1.55745243509023e-44,1.42589351174966e-41,"CPLX2"
"PAX5",345.384619729445,2.705910127984,0.386240653560265,7.00576208910592,2.45645026475035e-12,1.88335920791007e-10,"PAX5"
"NKX2-5",210.649459659765,2.70050380183292,0.215847040259914,12.5111921784106,6.48436514586987e-36,4.80584091096755e-33,"NKX2-5"
"NELL2",875.414344186916,2.6947120917789,0.169483558493821,15.8995486979767,6.38228661408225e-57,9.03035535105238e-54,"NELL2"
"XKR7",657.49487778432,2.69413499971698,0.361543229374262,7.45176449405465,9.21000255192409e-14,8.58350177952973e-12,"XKR7"
"ENSG00000279673",46.5637773382962,2.67572756177099,0.462645383151541,5.78353888142995,7.31452716974034e-09,3.3781394916866e-07,"ENSG00000279673"
"PPP1R3G",36.8364710270511,2.67432068791537,0.464932810597948,5.75205841995952,8.81633204301827e-09,3.97731570775468e-07,"PPP1R3G"
"NMNAT2",1240.29151068864,2.65985262707792,0.307250404168378,8.65695403811503,4.84537962573697e-18,7.39347926421276e-16,"NMNAT2"
"NEFH",795.944426985466,2.65762261463593,0.150784848837295,17.6252629831771,1.57633987826675e-69,4.90683077306873e-66,"NEFH"
"SLC7A14",314.228080110535,2.64944231101316,0.356339136380667,7.43517071384164,1.04433003668499e-13,9.6177234857782e-12,"SLC7A14"
"LRP1B",257.883815817804,2.64287434326514,0.451764212986359,5.85011886132942,4.91221849800137e-09,2.34520762892311e-07,"LRP1B"
"LINC01234",19.5408305458545,2.63608476808309,0.572441349903612,4.60498663928969,4.12492342941708e-06,0.000122753935478867,"LINC01234"
"MMP24",693.815838985903,2.60646502828172,0.297200343916939,8.77006060602059,1.78570143330807e-18,2.89506844875071e-16,"MMP24"
"TNIK",377.493472009714,2.59960089665555,0.344019615552408,7.55654846157901,4.13905730780135e-14,4.05159043639121e-12,"TNIK"
"UNC79",505.817446335847,2.59149900824668,0.360885033144798,7.18095451524833,6.92263828044446e-13,5.64104409407526e-11,"UNC79"
"STMN4",542.83710400295,2.59093906075927,0.32387054174728,7.99992196505789,1.24498086839237e-15,1.38406301683277e-13,"STMN4"
"RFPL1S",66.9697699531024,2.58401723780539,0.319981564253152,8.07551911259819,6.71901818889127e-16,7.80408948447043e-14,"RFPL1S"
"AMER3",170.653179893922,2.56558759005365,0.266206590482305,9.63758104337461,5.54798940946578e-22,1.41555585522828e-19,"AMER3"
"NRXN2",680.430251634773,2.56303983084912,0.248251005204684,10.324388530616,5.46659966329852e-25,1.89071460354618e-22,"NRXN2"
"SLC8A2",351.010249082725,2.54789240662185,0.278808857158568,9.13849162680213,6.33294364120593e-20,1.15959923331446e-17,"SLC8A2"
"IQSEC3",109.642395297406,2.54643361114271,0.378233494769514,6.73243815356554,1.66843314096011e-11,1.15411081804014e-09,"IQSEC3"
"LINC02735",117.026089638588,2.54265706680706,0.273673519238029,9.29084068450033,1.53074431651826e-20,3.10553726488724e-18,"LINC02735"
"CACNG2",18.2058527439366,2.53789295736342,0.821652330388667,3.08876743057848,0.00200988709418408,0.0266567208175613,"CACNG2"
"ATP2B2",59.7995327396384,2.53481521559136,0.487653884836166,5.19798015439365,2.01465630864241e-07,7.68532127149765e-06,"ATP2B2"
"GDAP1L1",342.155827578152,2.52366565810026,0.363289792499083,6.94670125670163,3.73926358189345e-12,2.82514069847523e-10,"GDAP1L1"
"LYPD1",500.554495219909,2.50996357160091,0.182545310184818,13.7498113156657,5.10625224945828e-43,4.41520611169826e-40,"LYPD1"
"TUBA4A",58.2917627108803,2.50069372589965,0.508559341388761,4.91721127188584,8.77857945867088e-07,2.96377029706624e-05,"TUBA4A"
"LRRC15",19.1191539792392,2.49174384440052,0.820507360676201,3.03683301798416,0.00239077856611786,0.0305250841698593,"LRRC15"
"UNC13A",1554.21459300282,2.47664695540597,0.320456827273557,7.72848865938433,1.08830876966509e-14,1.13680789872936e-12,"UNC13A"
"NCAN",467.396906833302,2.46847872754097,0.285928325791491,8.63320806257254,5.96547821696392e-18,8.92756759315639e-16,"NCAN"
"NALF2",72.0272866908867,2.45171759160145,0.401991999800614,6.09892135370228,1.06786589777431e-09,5.5772700781743e-08,"NALF2"
"CDC42BPG",214.407456620682,2.44820989880793,0.276465632349702,8.85538603116929,8.33946891088185e-19,1.4421721569885e-16,"CDC42BPG"
