"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","11/104","298/9397",0.0369127516778524,3.33528007227672,4.33371630508258,0.000438689494696349,0.0675082002478453,0.0623462028108204,"53832/4804/3566/655/650/94/392255/7293/8718/4050/7124",11
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","5/104","63/9397",0.0793650793650794,7.1710927960928,5.19886641806314,0.000636869813658918,0.0675082002478453,0.0623462028108204,"6932/650/80326/8324/7855",5
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","7/104","157/9397",0.0445859872611465,4.02860117589417,4.04823888704227,0.0017419778638037,0.123099769042128,0.113686976374557,"6932/655/650/80326/8324/392255/7855",7
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","7/104","184/9397",0.0380434782608696,3.43744774247492,3.53227001358408,0.00423713737288602,0.157902566215617,0.145828586475197,"9423/25791/54437/655/1948/10500/57689",7
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","6/104","144/9397",0.0416666666666667,3.76482371794872,3.53685794014223,0.00517524719618787,0.157902566215617,0.145828586475197,"6932/9421/80326/8324/7855/5600",6
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","5/104","105/9397",0.0476190476190476,4.30265567765568,3.60009161033623,0.00607272833309113,0.157902566215617,0.145828586475197,"1357/1303/1294/1293/255631",5
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","3/104","36/9397",0.0833333333333333,7.52964743589744,4.15231283073403,0.00721406960812754,0.157902566215617,0.145828586475197,"1621/1644/4128",3
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","5/104","110/9397",0.0454545454545455,4.10708041958042,3.46753871801799,0.00737145003929679,0.157902566215617,0.145828586475197,"7018/655/650/392255/7124",5
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","7/104","204/9397",0.0343137254901961,3.10044306184012,3.20854084371959,0.00737985482213143,0.157902566215617,0.145828586475197,"80326/8324/7855/3481/5600/7124/117581",7
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","2/104","12/9397",0.166666666666667,15.0592948717949,5.15522030546316,0.00744823425545361,0.157902566215617,0.145828586475197,"4804/4685",2
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/104","333/9397",0.027027027027027,2.44204781704782,2.83434058108008,0.0113335557120397,0.218428528268402,0.201726446166449,"6932/3955/7143/63923/80326/8324/7855/1293/7124",9
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","2/104","16/9397",0.125,11.2944711538462,4.35963037187968,0.0131581193579902,0.232460108657826,0.214685105314576,"1644/4128",2
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","4/104","88/9397",0.0454545454545455,4.10708041958042,3.09779389938626,0.0162398647593888,0.264834717614649,0.244584197995654,"7035/5327/5270/5104",4
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","5/104","144/9397",0.0347222222222222,3.1373530982906,2.73417586354665,0.021618613108261,0.327367569925096,0.302335491589215,"6720/6932/5600/4217/7124",5
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","4/104","99/9397",0.0404040404040404,3.65073815073815,2.80478683457448,0.0239234868072982,0.338118613543148,0.312264459379472,"55515/8989/41/5600",4
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","4/104","101/9397",0.0396039603960396,3.57844630616908,2.75601087251777,0.0255207692754759,0.338150192900056,0.31229362402885,"6932/80326/8324/7855",4
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","3/104","66/9397",0.0454545454545455,4.10708041958042,2.67960372157962,0.0364692335689337,0.391387525428221,0.361460177406401,"3566/6097/7124",3
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/104","28/9397",0.0714285714285714,6.45398351648352,3.0574292941513,0.0380429766871457,0.391387525428221,0.361460177406401,"6489/79369",2
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","5/104","170/9397",0.0294117647058824,2.65752262443439,2.30708646093121,0.0401318990434572,0.391387525428221,0.361460177406401,"6932/80326/8324/7855/3481",5
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","3/104","69/9397",0.0434782608695652,3.92851170568562,2.58278018642365,0.0407858078987347,0.391387525428221,0.361460177406401,"1644/814/4128",3
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","4/104","119/9397",0.0336134453781513,3.0371687136393,2.36582980887019,0.0427702221468166,0.391387525428221,0.361460177406401,"7424/5600/4217/7124",4
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","5/104","174/9397",0.028735632183908,2.59643015030946,2.24852979258446,0.0436322332719027,0.391387525428221,0.361460177406401,"6932/80326/8324/7855/164284",5
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","4/104","120/9397",0.0333333333333333,3.01185897435897,2.34635966591534,0.0438819980693386,0.391387525428221,0.361460177406401,"4804/814/5600/4217",4
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","4/104","122/9397",0.0327868852459016,2.9624842370744,2.30801878083221,0.0461541893193657,0.391387525428221,0.361460177406401,"4985/5600/4217/7124",4
