"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","12/179","157/9397",0.0764331210191083,4.01252535316514,5.30425285519654,4.355767415335e-05,0.0119348027180179,0.0110040439966358,"25937/6591/5522/1741/5054/2246/23418/4609/51176/5521/4086/7004",12
"hsa04082",NA,NA,"hsa04082","Neuroactive ligand signaling","12/179","199/9397",0.0603015075376884,3.16566070576345,4.30278771413023,0.000411088365003965,0.0485000368082699,0.0447176674375136,"1103/43/2901/2770/3357/5031/2902/3352/1129/6572/2563/2917",12
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","17/179","362/9397",0.0469613259668508,2.46533843637149,3.96193928547067,0.000531022300820474,0.0485000368082699,0.0447176674375136,"5522/1277/5618/2246/6446/6696/3679/4609/2250/1944/56034/5521/2264/6850/1129/5649/3914",17
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","16/179","370/9397",0.0432432432432432,2.27014947908803,3.4734707247794,0.00183841746786477,0.10430863569136,0.0961739245713652,"2901/7434/5618/84634/718/7425/3357/7432/57105/5031/2902/3352/1129/283869/2563/2917",16
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","5/179","47/9397",0.106382978723404,5.58480922382028,4.39080409280557,0.0019034422571416,0.10430863569136,0.0961739245713652,"8913/5602/3098/9021/3767",5
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","5/179","67/9397",0.0746268656716418,3.91770199282915,3.33977476681412,0.00883616843304718,0.332757592561766,0.306806846772278,"5214/2821/2026/3939/3098",5
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","11/179","254/9397",0.0433070866141732,2.27350107772841,2.86715705398923,0.00924356089607838,0.332757592561766,0.306806846772278,"8913/2246/5136/7852/3357/2250/56034/57105/2264/2902/1129",11
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","5/179","71/9397",0.0704225352112676,3.69698638759934,3.17862936287408,0.0112119445746854,0.332757592561766,0.306806846772278,"5214/3939/4609/9123/3098",5
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","10/179","232/9397",0.0431034482758621,2.26281063378925,2.71391134028383,0.0132250831562099,0.332757592561766,0.306806846772278,"6387/2246/7852/3679/2250/56034/10788/2934/2264/1129",10
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","6/179","103/9397",0.058252427184466,3.05808971090741,2.92658570813991,0.0137084735501806,0.332757592561766,0.306806846772278,"5522/5054/5602/718/2770/5521",6
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","10/179","238/9397",0.0420168067226891,2.20576498755927,2.62546833973187,0.0155738900468362,0.332757592561766,0.306806846772278,"10235/5337/5602/2246/2250/1944/56034/2114/2264/2902",10
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","5/179","78/9397",0.0641025641025641,3.36520555794299,2.92288146989256,0.0163549134879721,0.332757592561766,0.306806846772278,"5602/718/2770/715/716",5
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/179","110/9397",0.0545454545454545,2.86348400203149,2.73945364579975,0.0184326343417706,0.332757592561766,0.306806846772278,"5214/5054/2026/112399/3939/3098",6
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","6/179","115/9397",0.0521739130434783,2.73898469759534,2.61458982163243,0.0224210967541374,0.332757592561766,0.306806846772278,"64386/6559/5337/1839/6446/2770",6
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","6/179","116/9397",0.0517241379310345,2.7153727605471,2.59041761885367,0.0232833517785114,0.332757592561766,0.306806846772278,"5337/2901/2770/50944/2902/2917",6
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","8/179","184/9397",0.0434782608695652,2.28248724799611,2.4481673355763,0.0243510574936523,0.332757592561766,0.306806846772278,"10512/6387/90249/7852/2770/1944/137970/22885",8
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","5/179","88/9397",0.0568181818181818,2.98279583544947,2.60403901427435,0.0261104488818575,0.332757592561766,0.306806846772278,"5054/718/715/716/3426",5
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","3/179","34/9397",0.0882352941176471,4.63210647387447,2.95644759807732,0.0263921221409641,0.332757592561766,0.306806846772278,"5214/3098/4351",3
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","3/179","34/9397",0.0882352941176471,4.63210647387447,2.95644759807732,0.0263921221409641,0.332757592561766,0.306806846772278,"79365/8553/4783",3
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","5/179","89/9397",0.0561797752808989,2.9492812755006,2.57466657370728,0.0272527067851954,0.332757592561766,0.306806846772278,"1277/6696/3679/5649/3914",5
