ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007409,axonogenesis,18/137,455/18888,0.03956043956043956,5.454142937354616,8.220559809231062,5.379074444534641e-9,1.6416935204719723e-5,1.1567841147562389e-5,NTN1/APOE/NGFR/NEFH/LGI1/LMO4/MAP2/SPP1/CXCL12/DRAXIN/B4GALT6/DSCAML1/NDN/GAP43/UNC5D/SEMA5B/RELN/CRABP2,18
GO:0048638,regulation of developmental growth,15/137,330/18888,0.045454545454545456,6.266755142667552,8.250192264353897,1.7840539812097136e-8,2.722466375326023e-5,1.918327517690234e-5,SYT4/NTN1/APOE/AKAP6/BASP1/MAP2/SPP1/CXCL12/CXCR4/IGF2/DRAXIN/NKX2-5/SEMA5B/DIO3/CRABP2,15
GO:0050767,regulation of neurogenesis,16/137,393/18888,0.04071246819338423,5.612971527274754,7.8991332177848275,2.7221260665326704e-8,2.7693095850192367e-5,1.951334580324999e-5,SYT4/LEF1/NTN1/BHLHE41/ASCL1/MAP2/SPP1/CXCL12/IL33/CXCR4/TNF/DRAXIN/SEMA5B/RELN/VEGFC/CRABP2,16
GO:0051960,regulation of nervous system development,17/137,468/18888,0.03632478632478633,5.0080479131574025,7.504825091765852,5.132413301019239e-8,3.8978348327894366e-5,2.7465256823442157e-5,SYT4/LEF1/NTN1/BHLHE41/ASCL1/MAP2/SPP1/CXCL12/IL33/CXCR4/TNF/DRAXIN/TPPP/SEMA5B/RELN/VEGFC/CRABP2,17
GO:0001558,regulation of cell growth,16/137,418/18888,0.03827751196172249,5.277267488562148,7.558761819034012,6.385705820428304e-8,3.8978348327894366e-5,2.7465256823442157e-5,SYT4/NTN1/APOE/GJA1/AKAP6/LGI1/MAP2/SPP1/CXCL12/IGFBP3/CXCR4/NPR1/DRAXIN/SEMA5B/CDKN2A/CRABP2,16
GO:0016049,cell growth,17/137,496/18888,0.034274193548387094,4.725335530963033,7.186564214828066,1.1814193380691824e-7,6.009486366311908e-5,4.234455627500596e-5,SYT4/NTN1/APOE/GJA1/AKAP6/LGI1/MAP2/SPP1/CXCL12/IGFBP3/CXCR4/NPR1/DRAXIN/NDN/SEMA5B/CDKN2A/CRABP2,17
GO:0048588,developmental cell growth,12/137,238/18888,0.05042016806722689,6.95135864564804,7.897592843636545,1.6837407795539055e-7,7.341109798855028e-5,5.172755507712225e-5,SYT4/NTN1/APOE/AKAP6/MAP2/SPP1/CXCL12/CXCR4/DRAXIN/NDN/SEMA5B/CRABP2,12
GO:0060560,developmental growth involved in morphogenesis,12/137,243/18888,0.04938271604938271,6.808326574749931,7.789373459644057,2.1078847733525083e-7,8.041580410339819e-5,5.666327094683124e-5,SYT4/NTN1/APOE/MAP2/SPP1/CXCL12/CXCR4/DRAXIN/NDN/SEMA5B/FGF1/CRABP2,12
GO:0002275,myeloid cell activation involved in immune response,8/137,97/18888,0.08247422680412371,11.370607269169989,8.752752853175233,5.239400157252216e-7,1.7357239682105422e-4,1.2230406522225763e-4,CHGA/PTGDS/SYK/IL33/TNF/S100A13/CD177/NR4A3,8
GO:0048660,regulation of smooth muscle cell proliferation,10/137,174/18888,0.05747126436781609,7.923483513717593,7.842337541292912,5.687168965303219e-7,1.7357239682105422e-4,1.2230406522225763e-4,APOE/GJA1/VIPR2/IGFBP3/MAP3K5/TNF/NPR1/VIP/PDE1A/NR4A3,10
GO:0048659,smooth muscle cell proliferation,10/137,178/18888,0.056179775280898875,7.745427704420568,7.728801550675361,7.007749274509297e-7,1.9443318896183973e-4,1.370031748116985e-4,APOE/GJA1/VIPR2/IGFBP3/MAP3K5/TNF/NPR1/VIP/PDE1A/NR4A3,10
GO:0007411,axon guidance,11/137,234/18888,0.04700854700854701,6.481003181733109,7.211266630025019,1.122491553743641e-6,2.6352647861735325e-4,1.8568827889054725e-4,NTN1/NGFR/LGI1/LMO4/CXCL12/DRAXIN/DSCAML1/GAP43/UNC5D/SEMA5B/RELN,11
GO:0097485,neuron projection guidance,11/137,234/18888,0.04700854700854701,6.481003181733109,7.211266630025019,1.122491553743641e-6,2.6352647861735325e-4,1.8568827889054725e-4,NTN1/NGFR/LGI1/LMO4/CXCL12/DRAXIN/DSCAML1/GAP43/UNC5D/SEMA5B/RELN,11
GO:0061387,regulation of extent of cell growth,8/137,109/18888,0.07339449541284404,10.11879729458247,8.161014256678403,1.2805117793559884e-6,2.791515678996055e-4,1.9669816279881838e-4,NTN1/APOE/MAP2/SPP1/CXCL12/DRAXIN/SEMA5B/CRABP2,8
GO:0033002,muscle cell proliferation,11/137,251/18888,0.043824701195219126,6.042050775002181,6.873621753634009,2.2234215370617274e-6,4.5239216874082614e-4,3.18768435102955e-4,APOE/GJA1/VIPR2/IGFBP3/MAP3K5/TNF/NPR1/NKX2-5/VIP/PDE1A/NR4A3,11
GO:0023061,signal release,15/137,487/18888,0.030800821355236138,4.2464665237788335,6.2041780622797855,2.5957015241699614e-6,4.951300657354201e-4,3.4888277722889676e-4,SYT4/VGF/PTPRN/GJA1/CHGA/GRIK5/SYK/FOXO1/SPP1/CXCL12/TNF/VIP/RIMS3/SLC18A3/MAOB,15
GO:0001649,osteoblast differentiation,11/137,257/18888,0.042801556420233464,5.900991223834815,6.761794384203146,2.793615370498951e-6,5.015361241625175e-4,3.5339666885011496e-4,LEF1/GJA1/ACHE/FAM20C/SPP1/IGFBP3/TNF/IGF2/CEBPD/WWTR1/VEGFC,11
GO:0050966,detection of mechanical stimulus involved in sensory perception of pain,4/137,15/18888,0.26666666666666666,36.76496350364964,11.844384645012067,3.398270150929705e-6,5.761955833687478e-4,4.060038548742332e-4,TRPA1/CXCL12/CXCR4/TNF,4
GO:0048639,positive regulation of developmental growth,9/137,169/18888,0.05325443786982249,7.342115492592753,7.078899284802144,3.994706225434202e-6,6.416759684223781e-4,4.521432032444362e-4,SYT4/NTN1/AKAP6/BASP1/CXCL12/CXCR4/IGF2/DIO3/CRABP2,9
GO:0050679,positive regulation of epithelial cell proliferation,10/137,219/18888,0.045662100456621,6.295370462953704,6.737324028516738,4.549848512753882e-6,6.943068830462424e-4,4.892284479766411e-4,PTPRN/CXCL12/TNF/IGF2/NKX2-5/VIP/ODAM/VEGFC/FGF1/NR4A3,10
