ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007409,axonogenesis,12/72,455/18888,0.026373626373626374,6.918681318681319,7.905270402527993,1.3715334681481517e-7,3.417861402625194e-4,2.1670228796740796e-4,NTN1/NGFR/LMO4/APOE/CXCL12/DRAXIN/B4GALT6/NDN/SPP1/UNC5D/SEMA5B/RELN,12
GO:0060560,developmental growth involved in morphogenesis,9/72,243/18888,0.037037037037037035,9.716049382716049,8.459130234662748,3.501447013331708e-7,3.490657237472915e-4,2.21317754221798e-4,NTN1/APOE/CXCL12/CXCR4/DRAXIN/NDN/SPP1/SEMA5B/FGF1,9
GO:0001764,neuron migration,8/72,183/18888,0.04371584699453552,11.468123861566484,8.802370155170156,4.698135404115819e-7,3.490657237472915e-4,2.21317754221798e-4,NTN1/CXCL12/CXCR4/ASCL1/GJA1/NDN/UNC5D/RELN,8
GO:0001649,osteoblast differentiation,9/72,257/18888,0.03501945525291829,9.186770428015565,8.174198448855977,5.60298111953919e-7,3.490657237472915e-4,2.21317754221798e-4,LEF1/ACHE/IGFBP3/TNF/GJA1/SPP1/CEBPD/IGF2/WWTR1,9
GO:0048732,gland development,11/72,449/18888,0.024498886414253896,6.426874536005939,7.1992682460122515,9.932332429523085e-7,4.950274482874305e-4,3.1386170477292955e-4,LEF1/NTN1/LMO4/TNF/ASS1/CDKN1C/ASCL1/GJA1/IGF2/CPS1/FGF1,11
GO:0051960,regulation of nervous system development,11/72,468/18888,0.023504273504273504,6.165954415954416,7.000237414509064,1.4875702557601684e-6,6.178375128923899e-4,3.9172683401684437e-4,LEF1/NTN1/CXCL12/TNF/CXCR4/ASCL1/DRAXIN/TPPP/SPP1/SEMA5B/RELN,11
GO:0031960,response to corticosteroid,7/72,156/18888,0.04487179487179487,11.771367521367521,8.35651419351032,2.151861391743818e-6,6.18467380016292e-4,3.921261879718064e-4,TRIM63/PTGDS/AKR1C3/TNF/ASS1/CPS1/PTPRC,7
GO:0050767,regulation of neurogenesis,10/72,393/18888,0.02544529262086514,6.675148430873621,7.032834837052234,2.3059853616256793e-6,6.18467380016292e-4,3.921261879718064e-4,LEF1/NTN1/CXCL12/TNF/CXCR4/ASCL1/DRAXIN/SPP1/SEMA5B/RELN,10
GO:0070542,response to fatty acid,5/72,57/18888,0.08771929824561403,23.011695906432745,10.295283890125454,2.5087460472029263e-6,6.18467380016292e-4,3.921261879718064e-4,AKR1C3/FOXO1/ASS1/AKR1C1/CPS1,5
GO:0016049,cell growth,11/72,496/18888,0.02217741935483871,5.817876344086022,6.726142971322598,2.6090646529114704e-6,6.18467380016292e-4,3.921261879718064e-4,NTN1/APOE/CXCL12/IGFBP3/CXCR4/GJA1/DRAXIN/NDN/SPP1/SEMA5B/CDKN2A,11
GO:0007411,axon guidance,8/72,234/18888,0.03418803418803419,8.96866096866097,7.5873720181089706,2.9781735795327063e-6,6.18467380016292e-4,3.921261879718064e-4,NTN1/NGFR/LMO4/CXCL12/DRAXIN/UNC5D/SEMA5B/RELN,8
GO:0097485,neuron projection guidance,8/72,234/18888,0.03418803418803419,8.96866096866097,7.5873720181089706,2.9781735795327063e-6,6.18467380016292e-4,3.921261879718064e-4,NTN1/NGFR/LMO4/CXCL12/DRAXIN/UNC5D/SEMA5B/RELN,8
