ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),10/112,125/11091,4.938176067795715e-7,2.483902562101245e-4,2.2403725107578455e-4,7425/348/718/56975/6696/3486/3481/8542/1114/7018,10
R-HSA-8957275,Post-translational protein phosphorylation,9/112,108/11091,1.341760534326249e-6,3.3745277438305163e-4,3.0436778436558593e-4,7425/348/718/56975/6696/3486/8542/1114/7018,9
R-HSA-5578768,Physiological factors,3/112,14/11091,3.364834874048269e-4,0.04680035398491699,0.04221189194830851,4881/1482/25937,3
R-HSA-112315,Transmission across Chemical Synapses,10/112,270/11091,3.944883033957963e-4,0.04680035398491699,0.04221189194830851,7277/43/1103/57576/2901/2571/2902/4128/6572/1741,10
R-HSA-5083635,Defective B3GALTL causes PpS,4/112,37/11091,5.033798096193465e-4,0.04680035398491699,0.04221189194830851,170691/81794/170690/54437,4
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,4/112,38/11091,5.58254719501992e-4,0.04680035398491699,0.04221189194830851,170691/81794/170690/54437,4
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,4/112,41/11091,7.482901254832488e-4,0.048373015784279855,0.04363036476514517,7277/57576/2902/1741,4
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,6/112,108/11091,7.693521397102163e-4,0.048373015784279855,0.04363036476514517,4128/6097/2308/7124/4692/1052,6
R-HSA-373752,Netrin-1 signaling,4/112,44/11091,9.800363007029175e-4,0.054773139917063056,0.04940299948572602,9423/57453/137970/22885,4
R-HSA-112310,Neurotransmitter release cycle,4/112,51/11091,0.0017090519421136552,0.08596531268831685,0.07753698811063003,1103/2571/4128/6572,4
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",3/112,27/11091,0.0024576264195585915,0.10170252414107882,0.09173127112023641,5054/79365/56938,3
R-HSA-2022854,Keratan sulfate biosynthesis,3/112,28/11091,0.0027324592003360043,0.10170252414107882,0.09173127112023641,4060/8534/9331,3
R-HSA-8878159,Transcriptional regulation by RUNX3,5/112,96/11091,0.002830132996603362,0.10170252414107882,0.09173127112023641,51176/6097/6696/1029/25937,5
R-HSA-112316,Neuronal System,11/112,410/11091,0.0028306865566105435,0.10170252414107882,0.09173127112023641,7277/43/1103/57576/2901/50944/2571/2902/4128/6572/1741,11
R-HSA-1474244,Extracellular matrix organization,9/112,300/11091,0.0033055709300363286,0.11084681185388488,0.09997902251548474,5054/4060/1756/4327/6696/170690/1293/3914/3679,9
R-HSA-112311,Neurotransmitter clearance,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,43/4128,2
R-HSA-1855167,Synthesis of pyrophosphates in the cytosol,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,55190/170685,2
R-HSA-193697,p75NTR regulates axonogenesis,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,4804/84894,2
R-HSA-70635,Urea cycle,2/112,10/11091,0.004313805979606169,0.11420233724957385,0.10300556106428027,445/1373,2
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,4/112,69/11091,0.005146591348514178,0.12284534108424079,0.11080117611658004,170691/81794/170690/54437,4
R-HSA-400253,Circadian Clock,4/112,70/11091,0.005416726282380895,0.12284534108424079,0.11080117611658004,5054/79365/56938/8204,4
R-HSA-5173105,O-linked glycosylation,5/112,112/11091,0.005471040249072632,0.12284534108424079,0.11080117611658004,170691/81794/170690/9331/54437,5
R-HSA-1638074,Keratan sulfate/keratin metabolism,3/112,36/11091,0.005617182594309221,0.12284534108424079,0.11080117611658004,4060/8534/9331,3
R-HSA-451306,Ionotropic activity of kainate receptors,2/112,12/11091,0.006244054295904937,0.12563037243360733,0.11331315374884325,2901/1741,2
R-HSA-451308,Activation of Ca-permeable Kainate Receptor,2/112,12/11091,0.006244054295904937,0.12563037243360733,0.11331315374884325,2901/1741,2
R-HSA-3000178,ECM proteoglycans,4/112,76/11091,0.007238281430286466,0.1400329061320805,0.12630361524103104,5054/4060/1293/3679,4
R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,2/112,14/11091,0.008496650465619008,0.14126802864998542,0.12741764224786797,8644/1645,2
R-HSA-418885,DCC mediated attractive signaling,2/112,14/11091,0.008496650465619008,0.14126802864998542,0.12741764224786797,9423/22885,2
R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,2/112,14/11091,0.008496650465619008,0.14126802864998542,0.12741764224786797,51176/1029,2
R-HSA-1630316,Glycosaminoglycan metabolism,5/112,126/11091,0.008915994691095186,0.14126802864998542,0.12741764224786797,4060/8534/166012/9331/51363,5
