from,to,combined_score
9606.ENSP00000235628,9606.ENSP00000259727,906
9606.ENSP00000235628,9606.ENSP00000259727,906
9606.ENSP00000223095,9606.ENSP00000266503,927
9606.ENSP00000223095,9606.ENSP00000266503,927
9606.ENSP00000249330,9606.ENSP00000266744,908
9606.ENSP00000249330,9606.ENSP00000266744,908
9606.ENSP00000268070,9606.ENSP00000270328,919
9606.ENSP00000268070,9606.ENSP00000270328,919
9606.ENSP00000268070,9606.ENSP00000274181,916
9606.ENSP00000268070,9606.ENSP00000274181,916
9606.ENSP00000270328,9606.ENSP00000274181,910
9606.ENSP00000270328,9606.ENSP00000274181,910
9606.ENSP00000265165,9606.ENSP00000282561,925
9606.ENSP00000265165,9606.ENSP00000282561,925
9606.ENSP00000173229,9606.ENSP00000294485,980
9606.ENSP00000173229,9606.ENSP00000294485,980
9606.ENSP00000266718,9606.ENSP00000306459,901
9606.ENSP00000266718,9606.ENSP00000306459,901
9606.ENSP00000266718,9606.ENSP00000309270,975
9606.ENSP00000266718,9606.ENSP00000309270,975
9606.ENSP00000309270,9606.ENSP00000317404,918
9606.ENSP00000309270,9606.ENSP00000317404,918
9606.ENSP00000172229,9606.ENSP00000332643,987
9606.ENSP00000172229,9606.ENSP00000332643,987
9606.ENSP00000303211,9606.ENSP00000337103,927
9606.ENSP00000303211,9606.ENSP00000337103,927
9606.ENSP00000172229,9606.ENSP00000347451,999
9606.ENSP00000172229,9606.ENSP00000347451,999
9606.ENSP00000248437,9606.ENSP00000353785,942
9606.ENSP00000248437,9606.ENSP00000353785,942
9606.ENSP00000262178,9606.ENSP00000356213,998
9606.ENSP00000262178,9606.ENSP00000356213,998
9606.ENSP00000354923,9606.ENSP00000356515,939
9606.ENSP00000354923,9606.ENSP00000356515,939
9606.ENSP00000359783,9606.ENSP00000360869,968
9606.ENSP00000359783,9606.ENSP00000360869,968
9606.ENSP00000359787,9606.ENSP00000360869,962
9606.ENSP00000359787,9606.ENSP00000360869,962
9606.ENSP00000337103,9606.ENSP00000363229,957
9606.ENSP00000337103,9606.ENSP00000363229,957
9606.ENSP00000360608,9606.ENSP00000363480,945
9606.ENSP00000360608,9606.ENSP00000363480,945
9606.ENSP00000216492,9606.ENSP00000368244,982
9606.ENSP00000216492,9606.ENSP00000368244,982
9606.ENSP00000327025,9606.ENSP00000368880,930
9606.ENSP00000327025,9606.ENSP00000368880,930
9606.ENSP00000359575,9606.ENSP00000368880,905
9606.ENSP00000359575,9606.ENSP00000368880,905
9606.ENSP00000363390,9606.ENSP00000368880,967
9606.ENSP00000363390,9606.ENSP00000368880,967
9606.ENSP00000360687,9606.ENSP00000369927,943
9606.ENSP00000360687,9606.ENSP00000369927,943
9606.ENSP00000369927,9606.ENSP00000370254,989
9606.ENSP00000369927,9606.ENSP00000370254,989
9606.ENSP00000223095,9606.ENSP00000371532,991
9606.ENSP00000223095,9606.ENSP00000371532,991
9606.ENSP00000252486,9606.ENSP00000371532,997
9606.ENSP00000252486,9606.ENSP00000371532,997
9606.ENSP00000313437,9606.ENSP00000375778,903
9606.ENSP00000313437,9606.ENSP00000375778,903
9606.ENSP00000354923,9606.ENSP00000375778,901
9606.ENSP00000354923,9606.ENSP00000375778,901
9606.ENSP00000356515,9606.ENSP00000375778,902
9606.ENSP00000356515,9606.ENSP00000375778,902
9606.ENSP00000335083,9606.ENSP00000377936,940
9606.ENSP00000335083,9606.ENSP00000377936,940
9606.ENSP00000245907,9606.ENSP00000378130,999
9606.ENSP00000245907,9606.ENSP00000378130,999
9606.ENSP00000364907,9606.ENSP00000378517,920
9606.ENSP00000364907,9606.ENSP00000378517,920
9606.ENSP00000173229,9606.ENSP00000385143,956
9606.ENSP00000173229,9606.ENSP00000385143,956
9606.ENSP00000327025,9606.ENSP00000386165,908
9606.ENSP00000327025,9606.ENSP00000386165,908
9606.ENSP00000368880,9606.ENSP00000386165,932
9606.ENSP00000368880,9606.ENSP00000386165,932
9606.ENSP00000368538,9606.ENSP00000386884,957
9606.ENSP00000368538,9606.ENSP00000386884,957
9606.ENSP00000379140,9606.ENSP00000386884,999
9606.ENSP00000379140,9606.ENSP00000386884,999
9606.ENSP00000268070,9606.ENSP00000389588,902
9606.ENSP00000268070,9606.ENSP00000389588,902
9606.ENSP00000270328,9606.ENSP00000389588,902
9606.ENSP00000270328,9606.ENSP00000389588,902
9606.ENSP00000274181,9606.ENSP00000389588,902
9606.ENSP00000274181,9606.ENSP00000389588,902
9606.ENSP00000370473,9606.ENSP00000391826,999
9606.ENSP00000370473,9606.ENSP00000391826,999
9606.ENSP00000252486,9606.ENSP00000392423,988
9606.ENSP00000252486,9606.ENSP00000392423,988
9606.ENSP00000371532,9606.ENSP00000392423,999
9606.ENSP00000371532,9606.ENSP00000392423,999
9606.ENSP00000351908,9606.ENSP00000398698,970
9606.ENSP00000351908,9606.ENSP00000398698,970
9606.ENSP00000351908,9606.ENSP00000399511,910
9606.ENSP00000351908,9606.ENSP00000399511,910
9606.ENSP00000398698,9606.ENSP00000399511,908
9606.ENSP00000398698,9606.ENSP00000399511,908
9606.ENSP00000317404,9606.ENSP00000402394,967
9606.ENSP00000317404,9606.ENSP00000402394,967
9606.ENSP00000361471,9606.ENSP00000402608,995
9606.ENSP00000361471,9606.ENSP00000402608,995
9606.ENSP00000379140,9606.ENSP00000411355,969
9606.ENSP00000379140,9606.ENSP00000411355,969
9606.ENSP00000386884,9606.ENSP00000411355,996
9606.ENSP00000386884,9606.ENSP00000411355,996
9606.ENSP00000413720,9606.ENSP00000418915,913
9606.ENSP00000413720,9606.ENSP00000418915,913
9606.ENSP00000223095,9606.ENSP00000419465,927
9606.ENSP00000223095,9606.ENSP00000419465,927
9606.ENSP00000357688,9606.ENSP00000480791,997
9606.ENSP00000357688,9606.ENSP00000480791,997
