ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046643,regulation of gamma-delta T cell activation,3/65,11/18888,0.2727272727272727,79.25034965034965,15.254918397641273,6.293137244892856e-6,0.007420873971451378,0.005281540927490805,LEF1/SYK/PTPRC,3
GO:0042492,gamma-delta T cell differentiation,3/65,13/18888,0.23076923076923078,67.05798816568048,14.000620578276177,1.0854509137875345e-5,0.007420873971451378,0.005281540927490805,LEF1/SYK/PTPRC,3
GO:0001558,regulation of cell growth,9/65,418/18888,0.0215311004784689,6.256606551343394,6.386367593416489,1.2476457438744485e-5,0.007420873971451378,0.005281540927490805,APOE/SYT4/AKAP6/MAP2/SPP1/CXCL12/CXCR4/GJA1/CDKN2A,9
GO:0048638,regulation of developmental growth,8/65,330/18888,0.024242424242424242,7.044475524475525,6.509441906105423,1.693145855963308e-5,0.007420873971451378,0.005281540927490805,APOE/SYT4/AKAP6/BASP1/MAP2/SPP1/CXCL12/CXCR4,8
GO:0048588,developmental cell growth,7/65,238/18888,0.029411764705882353,8.546606334841629,6.884850331282652,1.7265877085740758e-5,0.007420873971451378,0.005281540927490805,APOE/SYT4/AKAP6/MAP2/SPP1/CXCL12/CXCR4,7
GO:0007409,axonogenesis,9/65,455/18888,0.01978021978021978,5.747827557058327,6.024158236786685,2.4400831362148523e-5,0.00856204145743521,0.006093725961966819,APOE/NEFH/LMO4/MAP2/SPP1/CXCL12/B4GALT6/GAP43/RELN,9
GO:0002455,humoral immune response mediated by circulating immunoglobulin,4/65,56/18888,0.07142857142857142,20.756043956043957,8.700406053379579,4.101009086281095e-5,0.00856204145743521,0.006093725961966819,C3/PTPRC/CFI/C1S,4
GO:0023061,signal release,9/65,487/18888,0.018480492813141684,5.370146896224925,5.741608163454895,4.1485370967431897e-5,0.00856204145743521,0.006093725961966819,SYT4/GRIK5/SYK/FOXO1/SPP1/CXCL12/GJA1/VIP/SLC18A3,9
GO:0070542,response to fatty acid,4/65,57/18888,0.07017543859649122,20.391902834008096,8.616182910625103,4.399160620539116e-5,0.00856204145743521,0.006093725961966819,AKR1C3/FOXO1/ASS1/AKR1C1,4
GO:0050804,modulation of chemical synaptic transmission,9/65,493/18888,0.018255578093306288,5.304790138867219,5.691402431811936,4.561709639066555e-5,0.00856204145743521,0.006093725961966819,APOE/SYT4/ACHE/NEFH/GRIK5/SHANK1/GRIN1/SLC18A3/RELN,9
GO:0099177,regulation of trans-synaptic signaling,9/65,494/18888,0.018218623481781375,5.294051697290564,5.683114414094285,4.633851212785085e-5,0.00856204145743521,0.006093725961966819,APOE/SYT4/ACHE/NEFH/GRIK5/SHANK1/GRIN1/SLC18A3/RELN,9
GO:0016049,cell growth,9/65,496/18888,0.018145161290322582,5.272704714640199,5.66660559864349,4.781037575115054e-5,0.00856204145743521,0.006093725961966819,APOE/SYT4/AKAP6/MAP2/SPP1/CXCL12/CXCR4/GJA1/CDKN2A,9
GO:0030100,regulation of endocytosis,7/65,291/18888,0.024054982817869417,6.990007930214116,6.051265299382409,6.216342062512624e-5,0.01006661667387883,0.007164553416348334,SERPINE1/APOE/SYT4/C3/SYK/PTPRC/RIT2,7
GO:2000311,regulation of AMPA receptor activity,3/65,23/18888,0.13043478260869565,37.90234113712375,10.4059846253058,6.558056465067641e-5,0.01006661667387883,0.007164553416348334,CNIH3/SHANK1/RELN,3
GO:0015850,organic hydroxy compound transport,7/65,311/18888,0.022508038585209004,6.540489735345041,5.789409986661327,9.424810008514496e-5,0.011789450665630736,0.008390718727026751,APOE/SYT4/SYK/SPP1/CXCL12/SLC18A3/AKR1C1,7
GO:0046629,gamma-delta T cell activation,3/65,26/18888,0.11538461538461539,33.52899408284024,9.753425804370194,9.557102994185872e-5,0.011789450665630736,0.008390718727026751,LEF1/SYK/PTPRC,3
GO:0051047,positive regulation of secretion,7/65,312/18888,0.022435897435897436,6.519526627218935,5.776925621277898,9.615203006088229e-5,0.011789450665630736,0.008390718727026751,SYT4/ACHE/SYK/SPP1/CXCL12/VIP/SLC18A3,7
GO:2000379,positive regulation of reactive oxygen species metabolic process,4/65,70/18888,0.05714285714285714,16.604835164835166,7.686262649927178,9.874830711091357e-5,0.011789450665630736,0.008390718727026751,GRIN1/AKR1C3/SYK/AKR1C1,4
GO:0019722,calcium-mediated signaling,6/65,232/18888,0.02586206896551724,7.515119363395225,5.867469626242751,1.4520138590855204e-4,0.01587872707500956,0.01130111456490847,AKAP6/GRIN1/SYK/CXCR4/PTPRC/RIT2,6
GO:0007271,"synaptic transmission, cholinergic",3/65,30/18888,0.1,29.05846153846154,9.03795997590899,1.477778229409917e-4,0.01587872707500956,0.01130111456490847,APOE/ACHE/SLC18A3,3
GO:2000377,regulation of reactive oxygen species metabolic process,5/65,149/18888,0.03355704697986577,9.751161590087763,6.302014224858672,1.6119048853506098e-4,0.01649515999342124,0.011739838588543541,GRIN1/AKR1C3/SYK/FOXO1/AKR1C1,5
GO:2000463,positive regulation of excitatory postsynaptic potential,3/65,32/18888,0.09375,27.24230769230769,8.730637873540866,1.796515089541666e-4,0.016833562638493702,0.011980684535637802,SHANK1/GRIN1/RELN,3
GO:0060560,developmental growth involved in morphogenesis,6/65,243/18888,0.024691358024691357,7.174928774928774,5.693084670065605,1.8672461565987669e-4,0.016833562638493702,0.011980684535637802,APOE/SYT4/MAP2/SPP1/CXCL12/CXCR4,6
GO:0045807,positive regulation of endocytosis,5/65,155/18888,0.03225806451612903,9.373697270471464,6.151388918213811,1.9379551708032942e-4,0.016833562638493702,0.011980684535637802,SERPINE1/APOE/C3/SYK/PTPRC,5
GO:0051960,regulation of nervous system development,8/65,468/18888,0.017094017094017096,4.967258382642998,5.106958719987162,1.9583018425423107e-4,0.016833562638493702,0.011980684535637802,LEF1/SYT4/MAP2/SPP1/CXCL12/CXCR4/TPPP/RELN,8
GO:0015844,monoamine transport,4/65,87/18888,0.04597701149425287,13.360212201591512,6.790297868485714,2.294592117526278e-4,0.017781484407594885,0.012655333861152248,SYT4/SYK/CXCL12/SLC18A3,4
GO:0071398,cellular response to fatty acid,3/65,35/18888,0.08571428571428572,24.90725274725275,8.318924996263913,2.353199771019374e-4,0.017781484407594885,0.012655333861152248,AKR1C3/ASS1/AKR1C1,3
GO:0001649,osteoblast differentiation,6/65,257/18888,0.023346303501945526,6.7840766237653405,5.486258461770593,2.525783221555236e-4,0.017781484407594885,0.012655333861152248,LEF1/ACHE/SPP1/GJA1/CEBPD/WWTR1,6
GO:0001894,tissue homeostasis,6/65,259/18888,0.023166023166023165,6.731689931689932,5.45797505313902,2.6331378587170234e-4,0.017781484407594885,0.012655333861152248,LDB2/SYK/SPP1/GJA1/WWTR1/PROM1,6
GO:0006898,receptor-mediated endocytosis,6/65,259/18888,0.023166023166023165,6.731689931689932,5.45797505313902,2.6331378587170234e-4,0.017781484407594885,0.012655333861152248,SERPINE1/APOE/ACHE/C3/SYK/LRP1B,6
GO:0060249,anatomical structure homeostasis,6/65,259/18888,0.023166023166023165,6.731689931689932,5.45797505313902,2.6331378587170234e-4,0.017781484407594885,0.012655333861152248,LDB2/SYK/SPP1/GJA1/WWTR1/PROM1,6
GO:0010001,glial cell differentiation,6/65,260/18888,0.023076923076923078,6.7057988165680475,5.443945406457696,2.6881458053564205e-4,0.017781484407594885,0.012655333861152248,LEF1/CXCR4/B4GALT6/TPPP/GAP43/RELN,6
GO:0050808,synapse organization,8/65,493/18888,0.016227180527383367,4.715369012326416,4.912123367156207,2.784318768385099e-4,0.017781484407594885,0.012655333861152248,APOE/ACHE/NEFH/SHANK1/C3/SLC18A3/GAP43/RELN,8
GO:0048639,positive regulation of developmental growth,5/65,169/18888,0.029585798816568046,8.597177969959034,5.829725121548498,2.893683749195931e-4,0.017781484407594885,0.012655333861152248,SYT4/AKAP6/BASP1/CXCL12/CXCR4,5
GO:0034391,regulation of smooth muscle cell apoptotic process,3/65,38/18888,0.07894736842105263,22.94089068825911,7.955804858722542,3.0108345224798234e-4,0.017781484407594885,0.012655333861152248,FOXO1/PDE1A/CDKN2A,3
GO:0007616,long-term memory,3/65,39/18888,0.07692307692307693,22.35266272189349,7.843934054827707,3.253741055224588e-4,0.017781484407594885,0.012655333861152248,APOE/SHANK1/RELN,3
GO:0034390,smooth muscle cell apoptotic process,3/65,39/18888,0.07692307692307693,22.35266272189349,7.843934054827707,3.253741055224588e-4,0.017781484407594885,0.012655333861152248,FOXO1/PDE1A/CDKN2A,3
GO:0051954,positive regulation of amine transport,3/65,39/18888,0.07692307692307693,22.35266272189349,7.843934054827707,3.253741055224588e-4,0.017781484407594885,0.012655333861152248,SYT4/CXCL12/SLC18A3,3
GO:0060999,positive regulation of dendritic spine development,3/65,39/18888,0.07692307692307693,22.35266272189349,7.843934054827707,3.253741055224588e-4,0.017781484407594885,0.012655333861152248,APOE/SHANK1/RELN,3
GO:0048660,regulation of smooth muscle cell proliferation,5/65,174/18888,0.028735632183908046,8.350132625994695,5.7237444379417,3.309722551436926e-4,0.017781484407594885,0.012655333861152248,APOE/VIPR2/GJA1/VIP/PDE1A,5
GO:1990138,neuron projection extension,5/65,177/18888,0.02824858757062147,8.208604954367667,5.662172643265254,3.5802088193192123e-4,0.018765533543212164,0.013355695544212622,APOE/SYT4/MAP2/CXCL12/CXCR4,5
GO:0048659,smooth muscle cell proliferation,5/65,178/18888,0.028089887640449437,8.162489196197061,5.641970806794474,3.6739883231932583e-4,0.018798573587005506,0.013379210610525827,APOE/VIPR2/GJA1/VIP/PDE1A,5
GO:0007611,learning or memory,6/65,278/18888,0.02158273381294964,6.271610403984505,5.203388648591963,3.8427576191825776e-4,0.018967643030346364,0.013499539723785002,APOE/SYT4/SHANK1/GRIN1/VIP/RELN,6
GO:0050767,regulation of neurogenesis,7/65,393/18888,0.017811704834605598,5.175807398708161,4.915903105360731,3.945170910761886e-4,0.018967643030346364,0.013499539723785002,LEF1/SYT4/MAP2/SPP1/CXCL12/CXCR4/RELN,7
GO:0006958,"complement activation, classical pathway",3/65,42/18888,0.07142857142857142,20.756043956043957,7.5319734928261335,4.057224074431478e-4,0.018967643030346364,0.013499539723785002,C3/CFI/C1S,3
GO:0120162,positive regulation of cold-induced thermogenesis,4/65,101/18888,0.039603960396039604,11.508301599390707,6.222404581530437,4.060081802680003e-4,0.018967643030346364,0.013499539723785002,ACHE/SYK/CXCR4/GJA1,4
GO:0001659,temperature homeostasis,5/65,183/18888,0.0273224043715847,7.939470365699874,5.543279303011709,4.1710884446418447e-4,0.019071636313904943,0.013573553214030462,ACHE/SYK/FOXO1/CXCR4/GJA1,5
GO:0010469,regulation of signaling receptor activity,4/65,104/18888,0.038461538461538464,11.176331360946746,6.115157079887634,4.53727831775534e-4,0.019782293703694828,0.014079338126163252,SERPINE1/CNIH3/SHANK1/RELN,4
GO:1903532,positive regulation of secretion by cell,6/65,288/18888,0.020833333333333332,6.053846153846154,5.078734809787248,4.633989508814754e-4,0.019782293703694828,0.014079338126163252,SYT4/ACHE/SYK/SPP1/CXCL12/SLC18A3,6
GO:0099084,postsynaptic specialization organization,3/65,45/18888,0.06666666666666667,19.372307692307693,7.2508461519833505,4.978213532429841e-4,0.019782293703694828,0.014079338126163252,SHANK1/GAP43/RELN,3
GO:0060079,excitatory postsynaptic potential,4/65,107/18888,0.037383177570093455,10.862976276060387,6.012211754516308,5.053211684126632e-4,0.019782293703694828,0.014079338126163252,GRIK5/SHANK1/GRIN1/RELN,4
GO:0030638,polyketide metabolic process,2/65,10/18888,0.2,58.11692307692308,10.616480348112352,5.154995101940021e-4,0.019782293703694828,0.014079338126163252,AKR1C3/AKR1C1,2
GO:0030647,aminoglycoside antibiotic metabolic process,2/65,10/18888,0.2,58.11692307692308,10.616480348112352,5.154995101940021e-4,0.019782293703694828,0.014079338126163252,AKR1C3/AKR1C1,2
GO:0044598,doxorubicin metabolic process,2/65,10/18888,0.2,58.11692307692308,10.616480348112352,5.154995101940021e-4,0.019782293703694828,0.014079338126163252,AKR1C3/AKR1C1,2
GO:1901329,regulation of odontoblast differentiation,2/65,10/18888,0.2,58.11692307692308,10.616480348112352,5.154995101940021e-4,0.019782293703694828,0.014079338126163252,SERPINE1/LEF1,2
GO:1902513,regulation of organelle transport along microtubule,2/65,10/18888,0.2,58.11692307692308,10.616480348112352,5.154995101940021e-4,0.019782293703694828,0.014079338126163252,NEFH/MAP2,2
GO:0099601,regulation of neurotransmitter receptor activity,3/65,46/18888,0.06521739130434782,18.951170568561874,7.163115221240428,5.312486543841144e-4,0.02002900628546424,0.014254926958820285,CNIH3/SHANK1/RELN,3
GO:0061387,regulation of extent of cell growth,4/65,109/18888,0.03669724770642202,10.663655610444602,5.945826190788209,5.419552736766704e-4,0.020080377295364906,0.014291488432889334,APOE/MAP2/SPP1/CXCL12,4
