from,to,combined_score
9606.ENSP00000223095,9606.ENSP00000266503,927
9606.ENSP00000223095,9606.ENSP00000266503,927
9606.ENSP00000239461,9606.ENSP00000266718,740
9606.ENSP00000239461,9606.ENSP00000266718,740
9606.ENSP00000248437,9606.ENSP00000282561,814
9606.ENSP00000248437,9606.ENSP00000282561,814
9606.ENSP00000265165,9606.ENSP00000282561,925
9606.ENSP00000265165,9606.ENSP00000282561,925
9606.ENSP00000252486,9606.ENSP00000303211,715
9606.ENSP00000252486,9606.ENSP00000303211,715
9606.ENSP00000266718,9606.ENSP00000306459,901
9606.ENSP00000266718,9606.ENSP00000306459,901
9606.ENSP00000257860,9606.ENSP00000311997,808
9606.ENSP00000257860,9606.ENSP00000311997,808
9606.ENSP00000252486,9606.ENSP00000317674,858
9606.ENSP00000252486,9606.ENSP00000317674,858
9606.ENSP00000255224,9606.ENSP00000321805,714
9606.ENSP00000255224,9606.ENSP00000321805,714
9606.ENSP00000303211,9606.ENSP00000337103,927
9606.ENSP00000303211,9606.ENSP00000337103,927
9606.ENSP00000280979,9606.ENSP00000348460,715
9606.ENSP00000280979,9606.ENSP00000348460,715
9606.ENSP00000337103,9606.ENSP00000350928,734
9606.ENSP00000337103,9606.ENSP00000350928,734
9606.ENSP00000252486,9606.ENSP00000353508,719
9606.ENSP00000252486,9606.ENSP00000353508,719
9606.ENSP00000311997,9606.ENSP00000353508,711
9606.ENSP00000311997,9606.ENSP00000353508,711
9606.ENSP00000248437,9606.ENSP00000353785,942
9606.ENSP00000248437,9606.ENSP00000353785,942
9606.ENSP00000262178,9606.ENSP00000356213,998
9606.ENSP00000262178,9606.ENSP00000356213,998
9606.ENSP00000306772,9606.ENSP00000359575,758
9606.ENSP00000306772,9606.ENSP00000359575,758
9606.ENSP00000359783,9606.ENSP00000359787,896
9606.ENSP00000359783,9606.ENSP00000359787,896
9606.ENSP00000262895,9606.ENSP00000360608,732
9606.ENSP00000262895,9606.ENSP00000360608,732
9606.ENSP00000272133,9606.ENSP00000360608,729
9606.ENSP00000272133,9606.ENSP00000360608,729
9606.ENSP00000293441,9606.ENSP00000360608,807
9606.ENSP00000293441,9606.ENSP00000360608,807
9606.ENSP00000359783,9606.ENSP00000360869,968
9606.ENSP00000359783,9606.ENSP00000360869,968
9606.ENSP00000359787,9606.ENSP00000360869,962
9606.ENSP00000359787,9606.ENSP00000360869,962
9606.ENSP00000350928,9606.ENSP00000361471,831
9606.ENSP00000350928,9606.ENSP00000361471,831
9606.ENSP00000303211,9606.ENSP00000363229,818
9606.ENSP00000303211,9606.ENSP00000363229,818
9606.ENSP00000337103,9606.ENSP00000363229,957
9606.ENSP00000337103,9606.ENSP00000363229,957
9606.ENSP00000350928,9606.ENSP00000363229,752
9606.ENSP00000350928,9606.ENSP00000363229,752
9606.ENSP00000262895,9606.ENSP00000363480,843
9606.ENSP00000262895,9606.ENSP00000363480,843
9606.ENSP00000293441,9606.ENSP00000363480,873
9606.ENSP00000293441,9606.ENSP00000363480,873
9606.ENSP00000360608,9606.ENSP00000363480,945
9606.ENSP00000360608,9606.ENSP00000363480,945
9606.ENSP00000365160,9606.ENSP00000365174,708
9606.ENSP00000365160,9606.ENSP00000365174,708
9606.ENSP00000359575,9606.ENSP00000368880,905
9606.ENSP00000359575,9606.ENSP00000368880,905
9606.ENSP00000363390,9606.ENSP00000368880,967
9606.ENSP00000363390,9606.ENSP00000368880,967
9606.ENSP00000369927,9606.ENSP00000370254,989
9606.ENSP00000369927,9606.ENSP00000370254,989
9606.ENSP00000223095,9606.ENSP00000374135,765
9606.ENSP00000223095,9606.ENSP00000374135,765
9606.ENSP00000252486,9606.ENSP00000374135,770
9606.ENSP00000252486,9606.ENSP00000374135,770
9606.ENSP00000313437,9606.ENSP00000375778,903
9606.ENSP00000313437,9606.ENSP00000375778,903
