gene	STRING_id
TFPI	9606.ENSP00000233156
PLXND1	9606.ENSP00000317128
CD38	9606.ENSP00000226279
PDK4	9606.ENSP00000005178
AASS	9606.ENSP00000377040
PLEKHG6	9606.ENSP00000380185
BTK	9606.ENSP00000483570
DCN	9606.ENSP00000052754
MTMR11	9606.ENSP00000391668
OSBPL5	9606.ENSP00000263650
CPS1	9606.ENSP00000402608
FHL1	9606.ENSP00000377710
BARX2	9606.ENSP00000281437
LAMC3	9606.ENSP00000354360
COL23A1	9606.ENSP00000375069
HEBP2	9606.ENSP00000475750
CBLN4	9606.ENSP00000064571
GYG2	9606.ENSP00000370555
PKP2	9606.ENSP00000070846
TMCC3	9606.ENSP00000261226
CROCC	9606.ENSP00000364691
DLX3	9606.ENSP00000389870
NGFR	9606.ENSP00000172229
SNCAIP	9606.ENSP00000261368
MPPED2	9606.ENSP00000350833
FGFR3	9606.ENSP00000339824
PLEKHH3	9606.ENSP00000468678
ABCC9	9606.ENSP00000261200
TGFBR3	9606.ENSP00000212355
SLC6A15	9606.ENSP00000266682
TRHDE	9606.ENSP00000261180
IGF2BP2	9606.ENSP00000371634
TEAD2	9606.ENSP00000472109
FOSL2	9606.ENSP00000264716
RGS11	9606.ENSP00000380876
IL4R	9606.ENSP00000379111
SLC25A43	9606.ENSP00000217909
ITM2A	9606.ENSP00000362395
MOXD1	9606.ENSP00000356940
TCF7	9606.ENSP00000340347
SEMA5B	9606.ENSP00000389588
SEPHS1	9606.ENSP00000367893
FTL	9606.ENSP00000366525
ANKRD10	9606.ENSP00000267339
PPP1R13B	9606.ENSP00000202556
KIZ	9606.ENSP00000479542
TESC	9606.ENSP00000334785
CHGB	9606.ENSP00000368244
TF	9606.ENSP00000385834
CPA1	9606.ENSP00000011292
TMEM38B	9606.ENSP00000363824
IL11	9606.ENSP00000264563
SEC23A	9606.ENSP00000306881
PNN	9606.ENSP00000216832
NFATC4	9606.ENSP00000388910
SALL4	9606.ENSP00000217086
ASB9	9606.ENSP00000369855
UGGT2	9606.ENSP00000365938
HSF4	9606.ENSP00000264009
WFDC1	9606.ENSP00000219454
DTWD1	9606.ENSP00000251250
GABPB1	9606.ENSP00000220429
EYA1	9606.ENSP00000342626
LAPTM4B	9606.ENSP00000402301
NIPAL2	9606.ENSP00000339256
STK3	9606.ENSP00000429744
IL7	9606.ENSP00000263851
CHRAC1	9606.ENSP00000220913
NCALD	9606.ENSP00000379256
FGL1	9606.ENSP00000381133
AMH	9606.ENSP00000221496
SHD	9606.ENSP00000446058
ITGB8	9606.ENSP00000222573
DLX5	9606.ENSP00000222598
PALS2	9606.ENSP00000222644
LFNG	9606.ENSP00000222725
NPTX2	9606.ENSP00000265634
MEST	9606.ENSP00000223215
NMRK1	9606.ENSP00000354387
PTGDS	9606.ENSP00000360687
DKK1	9606.ENSP00000363081
CDK5RAP3	9606.ENSP00000438886
SMARCD2	9606.ENSP00000392617
VTN	9606.ENSP00000226218
RAB34	9606.ENSP00000413156
UGDH	9606.ENSP00000319501
DTX4	9606.ENSP00000227451
ASIC1	9606.ENSP00000228468
GLI1	9606.ENSP00000228682
ELK3	9606.ENSP00000228741
TRPV4	9606.ENSP00000406191
CDKN1B	9606.ENSP00000228872
CHPT1	9606.ENSP00000229266
ST8SIA1	9606.ENSP00000379353
COL12A1	9606.ENSP00000325146
QKI	9606.ENSP00000355094
SPARC	9606.ENSP00000231061
PCDHB6	9606.ENSP00000231136
PPWD1	9606.ENSP00000261308
HRH2	9606.ENSP00000366506
CBLB	9606.ENSP00000264122
KCNIP3	9606.ENSP00000295225
EFHD1	9606.ENSP00000264059
PAPPA2	9606.ENSP00000356634
RHOU	9606.ENSP00000355652
KIF17	9606.ENSP00000247986
FAAH	9606.ENSP00000243167
CNN3	9606.ENSP00000359225
PTBP2	9606.ENSP00000359216
FBXO30	9606.ENSP00000237281
TGIF2	9606.ENSP00000362981
NR4A3	9606.ENSP00000482027
PPP4R4	9606.ENSP00000305924
BCL11A	9606.ENSP00000338774
MOB3B	9606.ENSP00000262244
PLXDC2	9606.ENSP00000366460
ENOX1	9606.ENSP00000261488
NR2C1	9606.ENSP00000333275
PDZRN3	9606.ENSP00000263666
XPNPEP2	9606.ENSP00000360147
TRMT13	9606.ENSP00000359160
NPY	9606.ENSP00000384364
NUDT10	9606.ENSP00000365174
USP45	9606.ENSP00000333376
PREX1	9606.ENSP00000361009
SDC4	9606.ENSP00000361818
SNAI1	9606.ENSP00000244050
PMEPA1	9606.ENSP00000345826
UNC5CL	9606.ENSP00000244565
DOK4	9606.ENSP00000344277
EFNB2	9606.ENSP00000245323
PTGER2	9606.ENSP00000245457
SOX9	9606.ENSP00000245479
BMP2	9606.ENSP00000368104
HSPA2	9606.ENSP00000378199
DYNC2I1	9606.ENSP00000384290
AIF1L	9606.ENSP00000361383
BAIAP2L2	9606.ENSP00000371085
SMO	9606.ENSP00000249373
HOXD13	9606.ENSP00000376322
TWSG1	9606.ENSP00000262120
AJUBA	9606.ENSP00000262713
HEATR5A	9606.ENSP00000437968
MIS18BP1	9606.ENSP00000309790
CDKN1C	9606.ENSP00000413720
CBFA2T3	9606.ENSP00000268679
PHF10	9606.ENSP00000341805
STARD8	9606.ENSP00000363727
DPP6	9606.ENSP00000367001
C1QL1	9606.ENSP00000253407
ABCB7	9606.ENSP00000253577
GFPT2	9606.ENSP00000253778
TMEM204	9606.ENSP00000454945
BRME1	9606.ENSP00000254336
RIDA	9606.ENSP00000254878
PDZD2	9606.ENSP00000402033
LARGE1	9606.ENSP00000347088
GSC	9606.ENSP00000238558
DGLUCY	9606.ENSP00000428263
MYCN	9606.ENSP00000281043
NREP	9606.ENSP00000378996
OSTF1	9606.ENSP00000340836
CEMIP2	9606.ENSP00000366243
HRK	9606.ENSP00000257572
NT5E	9606.ENSP00000257770
PRRG4	9606.ENSP00000257836
GLUL	9606.ENSP00000307900
SERPINE2	9606.ENSP00000415786
EDNRB	9606.ENSP00000366416
ENPP2	9606.ENSP00000259486
IER3	9606.ENSP00000259874
TGS1	9606.ENSP00000260129
FXYD6	9606.ENSP00000482442
ITGA11	9606.ENSP00000327290
ARHGAP29	9606.ENSP00000260526
PCDH10	9606.ENSP00000264360
CPNE8	9606.ENSP00000329748
ETNK1	9606.ENSP00000266517
ASCL1	9606.ENSP00000266744
CDH24	9606.ENSP00000380517
ARMH4	9606.ENSP00000267485
ADAMTS17	9606.ENSP00000268070
DET1	9606.ENSP00000456340
MYLK3	9606.ENSP00000378288
WTIP	9606.ENSP00000466953
CRABP2	9606.ENSP00000482841
HMCN1	9606.ENSP00000271588
SELENBP1	9606.ENSP00000397261
DUSP10	9606.ENSP00000355866
MEIS1	9606.ENSP00000272369
NXPH2	9606.ENSP00000272641
ZNF385B	9606.ENSP00000386845
GULP1	9606.ENSP00000386289
CCDC150	9606.ENSP00000373827
LPP	9606.ENSP00000482472
ADAMTS16	9606.ENSP00000274181
SKP2	9606.ENSP00000274255
ADAMTS19	9606.ENSP00000274487
MYLK4	9606.ENSP00000274643
ARHGAP18	9606.ENSP00000357131
PURB	9606.ENSP00000379051
GPC3	9606.ENSP00000377836
ST8SIA6	9606.ENSP00000366827
LRRC4C	9606.ENSP00000278198
ZNF214	9606.ENSP00000278314
SLC43A1	9606.ENSP00000278426
MIA2	9606.ENSP00000280082
PDCD4	9606.ENSP00000280154
VEGFC	9606.ENSP00000480043
CCDC3	9606.ENSP00000368102
ANO4	9606.ENSP00000376703
TCF7L1	9606.ENSP00000282111
SPOCK1	9606.ENSP00000378401
NMT2	9606.ENSP00000367407
CAMK4	9606.ENSP00000282356
NADK2	9606.ENSP00000371362
PRDM8	9606.ENSP00000339764
UTRN	9606.ENSP00000356515
PTPRK	9606.ENSP00000357196
CNTNAP4	9606.ENSP00000479811
ZNF117	9606.ENSP00000282869
MR1	9606.ENSP00000477563
BANK1	9606.ENSP00000320509
ANKRD29	9606.ENSP00000468354
PDLIM3	9606.ENSP00000284770
NCAM2	9606.ENSP00000383392
ADAMTS5	9606.ENSP00000284987
FGD5	9606.ENSP00000285046
ACSS1	9606.ENSP00000316924
PXYLP1	9606.ENSP00000286353
GRIP1	9606.ENSP00000381098
DPY19L4	9606.ENSP00000389630
NDUFAF6	9606.ENSP00000379430
GDF6	9606.ENSP00000287020
FRRS1	9606.ENSP00000287474
RBPMS	9606.ENSP00000340176
ARSL	9606.ENSP00000441417
CREB3L1	9606.ENSP00000481956
LDLRAP1	9606.ENSP00000363458
PAXBP1	9606.ENSP00000328992
MORC3	9606.ENSP00000383333
IRX6	9606.ENSP00000290552
SPON2	9606.ENSP00000483599
COL26A1	9606.ENSP00000318234
PRR35	9606.ENSP00000386499
SLC25A34	9606.ENSP00000294454
TMCO4	9606.ENSP00000294543
