gene	STRING_id
MTMR7	9606.ENSP00000180173
ITGA3	9606.ENSP00000007722
YBX2	9606.ENSP00000007699
CACNA1G	9606.ENSP00000352011
BAIAP2L1	9606.ENSP00000005260
TBXA2R	9606.ENSP00000393333
MYH13	9606.ENSP00000404570
SYN1	9606.ENSP00000295987
MMP25	9606.ENSP00000337816
MAPK8IP2	9606.ENSP00000330572
SEMA3G	9606.ENSP00000231721
PRSS3	9606.ENSP00000354280
SYT7	9606.ENSP00000444201
LTF	9606.ENSP00000231751
SLC7A14	9606.ENSP00000231706
CLDN11	9606.ENSP00000064724
MVP	9606.ENSP00000378760
STMN4	9606.ENSP00000342538
ISL1	9606.ENSP00000230658
RUFY3	9606.ENSP00000370394
WWTR1	9606.ENSP00000419465
CD74	9606.ENSP00000009530
PLEKHB1	9606.ENSP00000346127
GRAMD1B	9606.ENSP00000402457
BIRC3	9606.ENSP00000263464
RRAGD	9606.ENSP00000358423
TOMM34	9606.ENSP00000361900
CD44	9606.ENSP00000398632
MIPEP	9606.ENSP00000371607
PRKCH	9606.ENSP00000329127
SH2D2A	9606.ENSP00000376123
POU2F2	9606.ENSP00000431603
BMAL2	9606.ENSP00000266503
ANK1	9606.ENSP00000265709
ATP6V0A1	9606.ENSP00000264649
SLC18A1	9606.ENSP00000387549
C6	9606.ENSP00000263413
MYO16	9606.ENSP00000401633
USH2A	9606.ENSP00000305941
KITLG	9606.ENSP00000228280
NNAT	9606.ENSP00000062104
PTPRN	9606.ENSP00000295718
KCNH2	9606.ENSP00000262186
CYFIP2	9606.ENSP00000444645
PHF21B	9606.ENSP00000324403
TRAF1	9606.ENSP00000362994
DGKG	9606.ENSP00000265022
PSD	9606.ENSP00000020673
SEZ6	9606.ENSP00000312942
TM7SF3	9606.ENSP00000342322
DGKA	9606.ENSP00000328405
SNAP91	9606.ENSP00000400459
SEC61A2	9606.ENSP00000298428
ME1	9606.ENSP00000358719
SLC9A7	9606.ENSP00000480916
CTNNA2	9606.ENSP00000384638
PFKP	9606.ENSP00000370517
PDK3	9606.ENSP00000387536
IFI35	9606.ENSP00000395590
REEP1	9606.ENSP00000438346
RASGRP2	9606.ENSP00000338864
PPP2R5B	9606.ENSP00000164133
MAOB	9606.ENSP00000367309
CHAT	9606.ENSP00000337103
OSBPL3	9606.ENSP00000315410
SLC12A3	9606.ENSP00000402152
MGAT4A	9606.ENSP00000264968
P4HA2	9606.ENSP00000384999
CRMP1	9606.ENSP00000321606
PANX2	9606.ENSP00000379183
CLCN4	9606.ENSP00000370213
FRY	9606.ENSP00000445043
PPP2R2C	9606.ENSP00000335083
SNCB	9606.ENSP00000308057
ATP2A3	9606.ENSP00000353072
CA12	9606.ENSP00000178638
SEMA3A	9606.ENSP00000265362
ADD2	9606.ENSP00000264436
CACNG5	9606.ENSP00000436836
CACNG4	9606.ENSP00000262138
PLD1	9606.ENSP00000342793
RAP1GAP	9606.ENSP00000434033
ACTL6B	9606.ENSP00000160382
DCX	9606.ENSP00000337697
MAP2	9606.ENSP00000353508
ADCYAP1R1	9606.ENSP00000483721
BRINP1	9606.ENSP00000265922
FDFT1	9606.ENSP00000480828
PTPRH	9606.ENSP00000365528
ARG2	9606.ENSP00000261783
DLG3	9606.ENSP00000363480
TRPM3	9606.ENSP00000366314
PLOD1	9606.ENSP00000196061
SMAP2	9606.ENSP00000361803
FAM234B	9606.ENSP00000197268
COL16A1	9606.ENSP00000362776
MAPRE3	9606.ENSP00000233121
WDR47	9606.ENSP00000383599
ABCB1	9606.ENSP00000478255
TTC39A	9606.ENSP00000393952
LAT2	9606.ENSP00000420494
ACHE	9606.ENSP00000303211
GNAO1	9606.ENSP00000262494
LZTS3	9606.ENSP00000353496
OAS1	9606.ENSP00000388001
RPH3A	9606.ENSP00000374036
KCNH4	9606.ENSP00000264661
LTBP4	9606.ENSP00000311905
AARS1	9606.ENSP00000261772
NRCAM	9606.ENSP00000368314
RAPGEF4	9606.ENSP00000380271
SEL1L3	9606.ENSP00000382767
NLRP1	9606.ENSP00000478516
CD200	9606.ENSP00000420298
JPH4	9606.ENSP00000380307
UNC13D	9606.ENSP00000207549
SH2D3C	9606.ENSP00000317817
CRTAC1	9606.ENSP00000359629
SEZ6L	9606.ENSP00000248933
TIMP3	9606.ENSP00000266085
NEFH	9606.ENSP00000311997
APOL1	9606.ENSP00000317674
PYGL	9606.ENSP00000216392
TRIM9	9606.ENSP00000298355
SLC8A3	9606.ENSP00000370669
PCK2	9606.ENSP00000216780
MMP9	9606.ENSP00000361405
NDRG3	9606.ENSP00000345292
BMP7	9606.ENSP00000379204
HRH3	9606.ENSP00000342560
EEF1A2	9606.ENSP00000217182
PTK6	9606.ENSP00000442460
TRIB3	9606.ENSP00000217233
RASSF2	9606.ENSP00000368710
CELF4	9606.ENSP00000410584
SRPX	9606.ENSP00000367794
SYP	9606.ENSP00000263233
KCND1	9606.ENSP00000218176
PIM2	9606.ENSP00000365692
ZDHHC15	9606.ENSP00000362465
DRP2	9606.ENSP00000378635
PARD6A	9606.ENSP00000219255
SMPD3	9606.ENSP00000219334
SLC7A5	9606.ENSP00000261622
AP3B2	9606.ENSP00000440984
OCA2	9606.ENSP00000346659
SCG3	9606.ENSP00000220478
CALB1	9606.ENSP00000265431
GDAP1	9606.ENSP00000220822
ERICH1	9606.ENSP00000262109
NEFM	9606.ENSP00000221166
TUBB4A	9606.ENSP00000264071
NOVA2	9606.ENSP00000263257
IL27RA	9606.ENSP00000263379
OLFM2	9606.ENSP00000264833
GPI	9606.ENSP00000405573
APLP1	9606.ENSP00000221891
ICAM5	9606.ENSP00000221980
ATP1A3	9606.ENSP00000444688
PLA2G4C	9606.ENSP00000472546
PLPPR2	9606.ENSP00000466898
MAST1	9606.ENSP00000251472
RAB3A	9606.ENSP00000222256
GRIK5	9606.ENSP00000262895
TFPI2	9606.ENSP00000222543
HOXA13	9606.ENSP00000222753
STX1A	9606.ENSP00000222812
GARS1	9606.ENSP00000373918
TFR2	9606.ENSP00000420525
IMPDH1	9606.ENSP00000345096
SERPINE1	9606.ENSP00000223095
TMEM176B	9606.ENSP00000410269
SLC1A1	9606.ENSP00000262352
ELAVL2	9606.ENSP00000380479
NCS1	9606.ENSP00000361475
KCNT1	9606.ENSP00000360822
SHB	9606.ENSP00000366936
CXCL12	9606.ENSP00000379140
SPOCK2	9606.ENSP00000362201
ACTA2	9606.ENSP00000402373
SFXN3	9606.ENSP00000224807
VAT1	9606.ENSP00000347872
LRRC59	9606.ENSP00000225972
MPP2	9606.ENSP00000428182
ALDOC	9606.ENSP00000226253
PHOX2B	9606.ENSP00000226382
ODAM	9606.ENSP00000379401
MAPK10	9606.ENSP00000352157
CPE	9606.ENSP00000386104
LRP2BP	9606.ENSP00000332681
DDX25	9606.ENSP00000263576
B3GAT1	9606.ENSP00000433847
NRXN2	9606.ENSP00000265459
SLC35F2	9606.ENSP00000436785
PITPNM1	9606.ENSP00000348772
EXPH5	9606.ENSP00000265843
CUX2	9606.ENSP00000261726
MANSC1	9606.ENSP00000438205
COPS7A	9606.ENSP00000438115
ENO2	9606.ENSP00000437402
BTN3A3	9606.ENSP00000244519
NEDD9	9606.ENSP00000368759
FAM184A	9606.ENSP00000342604
OPRM1	9606.ENSP00000394624
PHACTR1	9606.ENSP00000329880
BACH2	9606.ENSP00000257749
COL9A1	9606.ENSP00000349790
FIG4	9606.ENSP00000230124
VEGFA	9606.ENSP00000478570
LAMA4	9606.ENSP00000230538
ARRDC3	9606.ENSP00000265138
SLC27A6	9606.ENSP00000262462
FGF1	9606.ENSP00000480791
STC2	9606.ENSP00000265087
UNC5A	9606.ENSP00000332737
FAM162A	9606.ENSP00000419088
PFKFB4	9606.ENSP00000232375
CSPG5	9606.ENSP00000373244
MAPKAPK3	9606.ENSP00000396467
ADAM23	9606.ENSP00000264377
OTOF	9606.ENSP00000272371
HPCAL1	9606.ENSP00000483786
SLC1A4	9606.ENSP00000234256
KISS1R	9606.ENSP00000234371
PRRX1	9606.ENSP00000239461
DHCR24	9606.ENSP00000360316
CHD5	9606.ENSP00000262450
QSOX1	9606.ENSP00000356574
ELAPOR1	9606.ENSP00000358955
DLGAP3	9606.ENSP00000362444
KIF21B	9606.ENSP00000411831
LGALS8	9606.ENSP00000435460
HPCAL4	9606.ENSP00000361935
BMP8B	9606.ENSP00000361915
GBP3	9606.ENSP00000359512
GBP1	9606.ENSP00000359504
HSD11B1	9606.ENSP00000355995
PLPPR4	9606.ENSP00000359204
SLC8A2	9606.ENSP00000236877
FILIP1	9606.ENSP00000237172
SGK1	9606.ENSP00000356832
PPL	9606.ENSP00000340510
TRIM67	9606.ENSP00000355613
DENND1A	9606.ENSP00000362727
MLH3	9606.ENSP00000348020
GPR68	9606.ENSP00000434045
SLC17A5	9606.ENSP00000348019
PPP1R3C	9606.ENSP00000238994
PRLHR	9606.ENSP00000239032
MSX2	9606.ENSP00000239243
CD274	9606.ENSP00000370989
IQSEC3	9606.ENSP00000437554
DUSP4	9606.ENSP00000240100
MAPK8IP1	9606.ENSP00000241014
ADGRB2	9606.ENSP00000362759
HPCA	9606.ENSP00000362566
CXCR4	9606.ENSP00000386884
SV2C	9606.ENSP00000423541
EEPD1	9606.ENSP00000242108
BHLHE41	9606.ENSP00000242728
ADGRE5	9606.ENSP00000242786
MMP19	9606.ENSP00000313437
LRP1	9606.ENSP00000243077
IL13RA2	9606.ENSP00000361004
TNFAIP6	9606.ENSP00000243347
RAB38	9606.ENSP00000243662
TOX2	9606.ENSP00000344724
GDAP1L1	9606.ENSP00000440498
NDP	9606.ENSP00000367301
MOCS1	9606.ENSP00000362282
CDKN1A	9606.ENSP00000384849
NRN1	9606.ENSP00000480483
SEPTIN6	9606.ENSP00000341524
GRIA3	9606.ENSP00000481554
C3	9606.ENSP00000245907
RTN2	9606.ENSP00000245923
EML2	9606.ENSP00000468312
NAPB	9606.ENSP00000482826
RRBP1	9606.ENSP00000367038
TCF15	9606.ENSP00000246080
MMP24	9606.ENSP00000246186
KIRREL2	9606.ENSP00000353331
PRKCG	9606.ENSP00000263431
RGS13	9606.ENSP00000442837
RAB3IP	9606.ENSP00000447300
SYNGR3	9606.ENSP00000248121
TUBA4A	9606.ENSP00000248437
TNFRSF19	9606.ENSP00000371693
LRFN1	9606.ENSP00000248668
GNAZ	9606.ENSP00000478892
LIF	9606.ENSP00000249075
VGF	9606.ENSP00000249330
FLNC	9606.ENSP00000327145
CHAC1	9606.ENSP00000398105
KCNC1	9606.ENSP00000265969
CDKN2D	9606.ENSP00000377224
EGLN3	9606.ENSP00000250457
RHBDF2	9606.ENSP00000322775
SYT5	9606.ENSP00000346265
CRACR2A	9606.ENSP00000409382
NCAN	9606.ENSP00000252575
KIF1A	9606.ENSP00000438388
UNC13A	9606.ENSP00000429562
GDF15	9606.ENSP00000252809
PGPEP1	9606.ENSP00000269919
SULT4A1	9606.ENSP00000332565
