from	to	combined_score
9606.ENSP00000064571	9606.ENSP00000173229	498
9606.ENSP00000064571	9606.ENSP00000173229	498
9606.ENSP00000219271	9606.ENSP00000220809	413
9606.ENSP00000219271	9606.ENSP00000220809	413
9606.ENSP00000220809	9606.ENSP00000233156	610
9606.ENSP00000220809	9606.ENSP00000233156	610
9606.ENSP00000011292	9606.ENSP00000238558	542
9606.ENSP00000011292	9606.ENSP00000238558	542
9606.ENSP00000173229	9606.ENSP00000245323	469
9606.ENSP00000173229	9606.ENSP00000245323	469
9606.ENSP00000222725	9606.ENSP00000245323	414
9606.ENSP00000222725	9606.ENSP00000245323	414
9606.ENSP00000172229	9606.ENSP00000257770	684
9606.ENSP00000172229	9606.ENSP00000257770	684
9606.ENSP00000235628	9606.ENSP00000257770	903
9606.ENSP00000235628	9606.ENSP00000257770	903
9606.ENSP00000228468	9606.ENSP00000262209	543
9606.ENSP00000228468	9606.ENSP00000262209	543
9606.ENSP00000216492	9606.ENSP00000262545	678
9606.ENSP00000216492	9606.ENSP00000262545	678
9606.ENSP00000245323	9606.ENSP00000264051	404
9606.ENSP00000245323	9606.ENSP00000264051	404
9606.ENSP00000216492	9606.ENSP00000266744	610
9606.ENSP00000216492	9606.ENSP00000266744	610
9606.ENSP00000268070	9606.ENSP00000274181	916
9606.ENSP00000268070	9606.ENSP00000274181	916
9606.ENSP00000264051	9606.ENSP00000278198	445
9606.ENSP00000264051	9606.ENSP00000278198	445
9606.ENSP00000216492	9606.ENSP00000281043	456
9606.ENSP00000216492	9606.ENSP00000281043	456
9606.ENSP00000266744	9606.ENSP00000281043	452
9606.ENSP00000266744	9606.ENSP00000281043	452
9606.ENSP00000235628	9606.ENSP00000286201	476
9606.ENSP00000235628	9606.ENSP00000286201	476
9606.ENSP00000258411	9606.ENSP00000286201	833
9606.ENSP00000258411	9606.ENSP00000286201	833
9606.ENSP00000216127	9606.ENSP00000295727	402
9606.ENSP00000216127	9606.ENSP00000295727	402
9606.ENSP00000245323	9606.ENSP00000311165	435
9606.ENSP00000245323	9606.ENSP00000311165	435
9606.ENSP00000282356	9606.ENSP00000312411	968
9606.ENSP00000282356	9606.ENSP00000312411	968
9606.ENSP00000011292	9606.ENSP00000315465	539
9606.ENSP00000011292	9606.ENSP00000315465	539
9606.ENSP00000173229	9606.ENSP00000315465	787
9606.ENSP00000173229	9606.ENSP00000315465	787
9606.ENSP00000246841	9606.ENSP00000315465	499
9606.ENSP00000246841	9606.ENSP00000315465	499
9606.ENSP00000295225	9606.ENSP00000315465	463
9606.ENSP00000295225	9606.ENSP00000315465	463
9606.ENSP00000295550	9606.ENSP00000325146	603
9606.ENSP00000295550	9606.ENSP00000325146	603
9606.ENSP00000262209	9606.ENSP00000326627	430
9606.ENSP00000262209	9606.ENSP00000326627	430
9606.ENSP00000231121	9606.ENSP00000327758	972
9606.ENSP00000231121	9606.ENSP00000327758	972
9606.ENSP00000278198	9606.ENSP00000329797	463
9606.ENSP00000278198	9606.ENSP00000329797	463
9606.ENSP00000295057	9606.ENSP00000329797	412
9606.ENSP00000295057	9606.ENSP00000329797	412
9606.ENSP00000295550	9606.ENSP00000332371	488
9606.ENSP00000295550	9606.ENSP00000332371	488
9606.ENSP00000325146	9606.ENSP00000332371	847
9606.ENSP00000325146	9606.ENSP00000332371	847
9606.ENSP00000064571	9606.ENSP00000332773	422
9606.ENSP00000064571	9606.ENSP00000332773	422
9606.ENSP00000173229	9606.ENSP00000332773	434
9606.ENSP00000173229	9606.ENSP00000332773	434
9606.ENSP00000220809	9606.ENSP00000333203	678
9606.ENSP00000220809	9606.ENSP00000333203	678
9606.ENSP00000220809	9606.ENSP00000333568	492
9606.ENSP00000220809	9606.ENSP00000333568	492
9606.ENSP00000264360	9606.ENSP00000333591	469
9606.ENSP00000264360	9606.ENSP00000333591	469
9606.ENSP00000314976	9606.ENSP00000333591	634
9606.ENSP00000314976	9606.ENSP00000333591	634
9606.ENSP00000172229	9606.ENSP00000333685	464
9606.ENSP00000172229	9606.ENSP00000333685	464
9606.ENSP00000264716	9606.ENSP00000333685	757
9606.ENSP00000264716	9606.ENSP00000333685	757
9606.ENSP00000282356	9606.ENSP00000334785	532
9606.ENSP00000282356	9606.ENSP00000334785	532
9606.ENSP00000312700	9606.ENSP00000336729	508
9606.ENSP00000312700	9606.ENSP00000336729	508
9606.ENSP00000327025	9606.ENSP00000338283	779
9606.ENSP00000327025	9606.ENSP00000338283	779
9606.ENSP00000062104	9606.ENSP00000340292	611
9606.ENSP00000062104	9606.ENSP00000340292	611
9606.ENSP00000312129	9606.ENSP00000340292	511
9606.ENSP00000312129	9606.ENSP00000340292	511
9606.ENSP00000258411	9606.ENSP00000340347	518
9606.ENSP00000258411	9606.ENSP00000340347	518
9606.ENSP00000284770	9606.ENSP00000340347	616
9606.ENSP00000284770	9606.ENSP00000340347	616
9606.ENSP00000286201	9606.ENSP00000340347	453
9606.ENSP00000286201	9606.ENSP00000340347	453
9606.ENSP00000327025	9606.ENSP00000340347	466
9606.ENSP00000327025	9606.ENSP00000340347	466
9606.ENSP00000245323	9606.ENSP00000341815	612
9606.ENSP00000245323	9606.ENSP00000341815	612
9606.ENSP00000295057	9606.ENSP00000345192	411
9606.ENSP00000295057	9606.ENSP00000345192	411
9606.ENSP00000268070	9606.ENSP00000346478	932
9606.ENSP00000268070	9606.ENSP00000346478	932
9606.ENSP00000274181	9606.ENSP00000346478	916
9606.ENSP00000274181	9606.ENSP00000346478	916
9606.ENSP00000316924	9606.ENSP00000348069	421
9606.ENSP00000316924	9606.ENSP00000348069	421
9606.ENSP00000064571	9606.ENSP00000349336	507
9606.ENSP00000064571	9606.ENSP00000349336	507
9606.ENSP00000321951	9606.ENSP00000349336	499
9606.ENSP00000321951	9606.ENSP00000349336	499
9606.ENSP00000345192	9606.ENSP00000349336	418
9606.ENSP00000345192	9606.ENSP00000349336	418
9606.ENSP00000346478	9606.ENSP00000349336	547
9606.ENSP00000346478	9606.ENSP00000349336	547
9606.ENSP00000336729	9606.ENSP00000349677	470
9606.ENSP00000336729	9606.ENSP00000349677	470
9606.ENSP00000345192	9606.ENSP00000349677	544
9606.ENSP00000345192	9606.ENSP00000349677	544
9606.ENSP00000216492	9606.ENSP00000350198	628
9606.ENSP00000216492	9606.ENSP00000350198	628
9606.ENSP00000246841	9606.ENSP00000350198	480
9606.ENSP00000246841	9606.ENSP00000350198	480
9606.ENSP00000262545	9606.ENSP00000350198	476
9606.ENSP00000262545	9606.ENSP00000350198	476
9606.ENSP00000333685	9606.ENSP00000351908	861
9606.ENSP00000333685	9606.ENSP00000351908	861
9606.ENSP00000258411	9606.ENSP00000354607	870
9606.ENSP00000258411	9606.ENSP00000354607	870
9606.ENSP00000286201	9606.ENSP00000354607	667
9606.ENSP00000286201	9606.ENSP00000354607	667
9606.ENSP00000295550	9606.ENSP00000354923	446
9606.ENSP00000295550	9606.ENSP00000354923	446
9606.ENSP00000354923	9606.ENSP00000356515	939
9606.ENSP00000354923	9606.ENSP00000356515	939
9606.ENSP00000239462	9606.ENSP00000356646	629
9606.ENSP00000239462	9606.ENSP00000356646	629
9606.ENSP00000173229	9606.ENSP00000357909	770
9606.ENSP00000173229	9606.ENSP00000357909	770
9606.ENSP00000245323	9606.ENSP00000357909	499
9606.ENSP00000245323	9606.ENSP00000357909	499
9606.ENSP00000295550	9606.ENSP00000359603	412
9606.ENSP00000295550	9606.ENSP00000359603	412
9606.ENSP00000325146	9606.ENSP00000359603	468
9606.ENSP00000325146	9606.ENSP00000359603	468
9606.ENSP00000268679	9606.ENSP00000360371	465
9606.ENSP00000268679	9606.ENSP00000360371	465
9606.ENSP00000311165	9606.ENSP00000360687	477
9606.ENSP00000311165	9606.ENSP00000360687	477
9606.ENSP00000345192	9606.ENSP00000360687	626
9606.ENSP00000345192	9606.ENSP00000360687	626
9606.ENSP00000321951	9606.ENSP00000361769	735
9606.ENSP00000321951	9606.ENSP00000361769	735
9606.ENSP00000064571	9606.ENSP00000364502	620
9606.ENSP00000064571	9606.ENSP00000364502	620
9606.ENSP00000064571	9606.ENSP00000367001	511
9606.ENSP00000064571	9606.ENSP00000367001	511
9606.ENSP00000295225	9606.ENSP00000367001	749
9606.ENSP00000295225	9606.ENSP00000367001	749
9606.ENSP00000344801	9606.ENSP00000367001	414
9606.ENSP00000344801	9606.ENSP00000367001	414
9606.ENSP00000257770	9606.ENSP00000368104	534
9606.ENSP00000257770	9606.ENSP00000368104	534
9606.ENSP00000258411	9606.ENSP00000368104	523
9606.ENSP00000258411	9606.ENSP00000368104	523
9606.ENSP00000266744	9606.ENSP00000368104	506
9606.ENSP00000266744	9606.ENSP00000368104	506
9606.ENSP00000298925	9606.ENSP00000368104	569
9606.ENSP00000298925	9606.ENSP00000368104	569
9606.ENSP00000327758	9606.ENSP00000368104	969
9606.ENSP00000327758	9606.ENSP00000368104	969
9606.ENSP00000354080	9606.ENSP00000368104	464
9606.ENSP00000354080	9606.ENSP00000368104	464
9606.ENSP00000216492	9606.ENSP00000368244	982
9606.ENSP00000216492	9606.ENSP00000368244	982
9606.ENSP00000262545	9606.ENSP00000368244	666
9606.ENSP00000262545	9606.ENSP00000368244	666
9606.ENSP00000367013	9606.ENSP00000368538	470
9606.ENSP00000367013	9606.ENSP00000368538	470
9606.ENSP00000216492	9606.ENSP00000369045	552
9606.ENSP00000216492	9606.ENSP00000369045	552
9606.ENSP00000368244	9606.ENSP00000369045	422
9606.ENSP00000368244	9606.ENSP00000369045	422
9606.ENSP00000278198	9606.ENSP00000370593	441
9606.ENSP00000278198	9606.ENSP00000370593	441
9606.ENSP00000295057	9606.ENSP00000370593	452
9606.ENSP00000295057	9606.ENSP00000370593	452
9606.ENSP00000298925	9606.ENSP00000370593	430
9606.ENSP00000298925	9606.ENSP00000370593	430
9606.ENSP00000321951	9606.ENSP00000370593	418
9606.ENSP00000321951	9606.ENSP00000370593	418
9606.ENSP00000322804	9606.ENSP00000370593	614
9606.ENSP00000322804	9606.ENSP00000370593	614
9606.ENSP00000334941	9606.ENSP00000370593	404
9606.ENSP00000334941	9606.ENSP00000370593	404
9606.ENSP00000220809	9606.ENSP00000371532	476
9606.ENSP00000220809	9606.ENSP00000371532	476
9606.ENSP00000278198	9606.ENSP00000371532	503
9606.ENSP00000278198	9606.ENSP00000371532	503
9606.ENSP00000330572	9606.ENSP00000371532	450
9606.ENSP00000330572	9606.ENSP00000371532	450
9606.ENSP00000348069	9606.ENSP00000371532	501
9606.ENSP00000348069	9606.ENSP00000371532	501
9606.ENSP00000245323	9606.ENSP00000373574	484
9606.ENSP00000245323	9606.ENSP00000373574	484
9606.ENSP00000313670	9606.ENSP00000373574	583
9606.ENSP00000313670	9606.ENSP00000373574	583
9606.ENSP00000344277	9606.ENSP00000373574	526
9606.ENSP00000344277	9606.ENSP00000373574	526
9606.ENSP00000368104	9606.ENSP00000373574	767
9606.ENSP00000368104	9606.ENSP00000373574	767
9606.ENSP00000216492	9606.ENSP00000376776	703
9606.ENSP00000216492	9606.ENSP00000376776	703
9606.ENSP00000266744	9606.ENSP00000376776	415
9606.ENSP00000266744	9606.ENSP00000376776	415
9606.ENSP00000281043	9606.ENSP00000376776	513
9606.ENSP00000281043	9606.ENSP00000376776	513
9606.ENSP00000340684	9606.ENSP00000376776	962
9606.ENSP00000340684	9606.ENSP00000376776	962
9606.ENSP00000368244	9606.ENSP00000376776	471
9606.ENSP00000368244	9606.ENSP00000376776	471
9606.ENSP00000376702	9606.ENSP00000376776	656
9606.ENSP00000376702	9606.ENSP00000376776	656
9606.ENSP00000295225	9606.ENSP00000376855	644
9606.ENSP00000295225	9606.ENSP00000376855	644
9606.ENSP00000367001	9606.ENSP00000376855	444
