from	to	combined_score
9606.ENSP00000052754	9606.ENSP00000223095	409
9606.ENSP00000052754	9606.ENSP00000223095	409
9606.ENSP00000052754	9606.ENSP00000225964	959
9606.ENSP00000052754	9606.ENSP00000225964	959
9606.ENSP00000223095	9606.ENSP00000225964	647
9606.ENSP00000223095	9606.ENSP00000225964	647
9606.ENSP00000223095	9606.ENSP00000230990	445
9606.ENSP00000223095	9606.ENSP00000230990	445
9606.ENSP00000052754	9606.ENSP00000231004	559
9606.ENSP00000052754	9606.ENSP00000231004	559
9606.ENSP00000223095	9606.ENSP00000231004	610
9606.ENSP00000223095	9606.ENSP00000231004	610
9606.ENSP00000225964	9606.ENSP00000231004	809
9606.ENSP00000225964	9606.ENSP00000231004	809
9606.ENSP00000230990	9606.ENSP00000231004	425
9606.ENSP00000230990	9606.ENSP00000231004	425
9606.ENSP00000225964	9606.ENSP00000239461	513
9606.ENSP00000225964	9606.ENSP00000239461	513
9606.ENSP00000227266	9606.ENSP00000243662	506
9606.ENSP00000227266	9606.ENSP00000243662	506
9606.ENSP00000052754	9606.ENSP00000245907	461
9606.ENSP00000052754	9606.ENSP00000245907	461
9606.ENSP00000225964	9606.ENSP00000251582	970
9606.ENSP00000225964	9606.ENSP00000251582	970
9606.ENSP00000231004	9606.ENSP00000251582	526
9606.ENSP00000231004	9606.ENSP00000251582	526
9606.ENSP00000223095	9606.ENSP00000252486	601
9606.ENSP00000223095	9606.ENSP00000252486	601
9606.ENSP00000231004	9606.ENSP00000252486	400
9606.ENSP00000231004	9606.ENSP00000252486	400
9606.ENSP00000245907	9606.ENSP00000252486	607
9606.ENSP00000245907	9606.ENSP00000252486	607
9606.ENSP00000052754	9606.ENSP00000252575	692
9606.ENSP00000052754	9606.ENSP00000252575	692
9606.ENSP00000248933	9606.ENSP00000252575	405
9606.ENSP00000248933	9606.ENSP00000252575	405
9606.ENSP00000223095	9606.ENSP00000252809	454
9606.ENSP00000223095	9606.ENSP00000252809	454
9606.ENSP00000231004	9606.ENSP00000252809	467
9606.ENSP00000231004	9606.ENSP00000252809	467
9606.ENSP00000248933	9606.ENSP00000255224	416
9606.ENSP00000248933	9606.ENSP00000255224	416
9606.ENSP00000242728	9606.ENSP00000256495	935
9606.ENSP00000242728	9606.ENSP00000256495	935
9606.ENSP00000252575	9606.ENSP00000256509	845
9606.ENSP00000252575	9606.ENSP00000256509	845
9606.ENSP00000178638	9606.ENSP00000259727	459
9606.ENSP00000178638	9606.ENSP00000259727	459
9606.ENSP00000173527	9606.ENSP00000262462	465
9606.ENSP00000173527	9606.ENSP00000262462	465
9606.ENSP00000255224	9606.ENSP00000264377	652
9606.ENSP00000255224	9606.ENSP00000264377	652
9606.ENSP00000262895	9606.ENSP00000264833	596
9606.ENSP00000262895	9606.ENSP00000264833	596
9606.ENSP00000207549	9606.ENSP00000265843	479
9606.ENSP00000207549	9606.ENSP00000265843	479
9606.ENSP00000248933	9606.ENSP00000265922	440
9606.ENSP00000248933	9606.ENSP00000265922	440
9606.ENSP00000052754	9606.ENSP00000266085	605
9606.ENSP00000052754	9606.ENSP00000266085	605
9606.ENSP00000223095	9606.ENSP00000266085	477
9606.ENSP00000223095	9606.ENSP00000266085	477
9606.ENSP00000225964	9606.ENSP00000266085	624
9606.ENSP00000225964	9606.ENSP00000266085	624
9606.ENSP00000231004	9606.ENSP00000266085	503
9606.ENSP00000231004	9606.ENSP00000266085	503
9606.ENSP00000251582	9606.ENSP00000266085	463
9606.ENSP00000251582	9606.ENSP00000266085	463
9606.ENSP00000252486	9606.ENSP00000266085	444
9606.ENSP00000252486	9606.ENSP00000266085	444
9606.ENSP00000248437	9606.ENSP00000266458	663
9606.ENSP00000248437	9606.ENSP00000266458	663
9606.ENSP00000258534	9606.ENSP00000266458	509
9606.ENSP00000258534	9606.ENSP00000266458	509
9606.ENSP00000223095	9606.ENSP00000266503	927
9606.ENSP00000223095	9606.ENSP00000266503	927
9606.ENSP00000242728	9606.ENSP00000266503	603
9606.ENSP00000242728	9606.ENSP00000266503	603
9606.ENSP00000256495	9606.ENSP00000266503	550
9606.ENSP00000256495	9606.ENSP00000266503	550
9606.ENSP00000245907	9606.ENSP00000266542	444
9606.ENSP00000245907	9606.ENSP00000266542	444
9606.ENSP00000233712	9606.ENSP00000266659	614
9606.ENSP00000233712	9606.ENSP00000266659	614
9606.ENSP00000052754	9606.ENSP00000266718	942
9606.ENSP00000052754	9606.ENSP00000266718	942
9606.ENSP00000225964	9606.ENSP00000266718	980
9606.ENSP00000225964	9606.ENSP00000266718	980
9606.ENSP00000231004	9606.ENSP00000266718	594
9606.ENSP00000231004	9606.ENSP00000266718	594
9606.ENSP00000239461	9606.ENSP00000266718	740
9606.ENSP00000239461	9606.ENSP00000266718	740
9606.ENSP00000251582	9606.ENSP00000266718	432
9606.ENSP00000251582	9606.ENSP00000266718	432
9606.ENSP00000252575	9606.ENSP00000266718	450
9606.ENSP00000252575	9606.ENSP00000266718	450
9606.ENSP00000266085	9606.ENSP00000266718	542
9606.ENSP00000266085	9606.ENSP00000266718	542
9606.ENSP00000248933	9606.ENSP00000267484	534
9606.ENSP00000248933	9606.ENSP00000267484	534
9606.ENSP00000255224	9606.ENSP00000267484	426
9606.ENSP00000255224	9606.ENSP00000267484	426
9606.ENSP00000251582	9606.ENSP00000270328	918
9606.ENSP00000251582	9606.ENSP00000270328	918
9606.ENSP00000227266	9606.ENSP00000272133	600
9606.ENSP00000227266	9606.ENSP00000272133	600
9606.ENSP00000230990	9606.ENSP00000272133	416
9606.ENSP00000230990	9606.ENSP00000272133	416
9606.ENSP00000251582	9606.ENSP00000272133	519
9606.ENSP00000251582	9606.ENSP00000272133	519
9606.ENSP00000262895	9606.ENSP00000272133	667
9606.ENSP00000262895	9606.ENSP00000272133	667
9606.ENSP00000264833	9606.ENSP00000272133	799
9606.ENSP00000264833	9606.ENSP00000272133	799
9606.ENSP00000250457	9606.ENSP00000280979	471
9606.ENSP00000250457	9606.ENSP00000280979	471
9606.ENSP00000252729	9606.ENSP00000282018	503
9606.ENSP00000252729	9606.ENSP00000282018	503
9606.ENSP00000262178	9606.ENSP00000282018	517
9606.ENSP00000262178	9606.ENSP00000282018	517
9606.ENSP00000225964	9606.ENSP00000282561	451
9606.ENSP00000225964	9606.ENSP00000282561	451
9606.ENSP00000248437	9606.ENSP00000282561	814
9606.ENSP00000248437	9606.ENSP00000282561	814
9606.ENSP00000265165	9606.ENSP00000282561	925
9606.ENSP00000265165	9606.ENSP00000282561	925
9606.ENSP00000264377	9606.ENSP00000287097	410
9606.ENSP00000264377	9606.ENSP00000287097	410
9606.ENSP00000265723	9606.ENSP00000289575	408
9606.ENSP00000265723	9606.ENSP00000289575	408
9606.ENSP00000285238	9606.ENSP00000289575	717
9606.ENSP00000285238	9606.ENSP00000289575	717
9606.ENSP00000262895	9606.ENSP00000293441	642
9606.ENSP00000262895	9606.ENSP00000293441	642
9606.ENSP00000264833	9606.ENSP00000293441	443
9606.ENSP00000264833	9606.ENSP00000293441	443
9606.ENSP00000265361	9606.ENSP00000294485	557
9606.ENSP00000265361	9606.ENSP00000294485	557
9606.ENSP00000255224	9606.ENSP00000295718	535
9606.ENSP00000255224	9606.ENSP00000295718	535
9606.ENSP00000265922	9606.ENSP00000296658	539
9606.ENSP00000265922	9606.ENSP00000296658	539
9606.ENSP00000242728	9606.ENSP00000297689	953
9606.ENSP00000242728	9606.ENSP00000297689	953
9606.ENSP00000243440	9606.ENSP00000297689	544
9606.ENSP00000243440	9606.ENSP00000297689	544
9606.ENSP00000256495	9606.ENSP00000297689	841
9606.ENSP00000256495	9606.ENSP00000297689	841
9606.ENSP00000266503	9606.ENSP00000297689	530
9606.ENSP00000266503	9606.ENSP00000297689	530
9606.ENSP00000296545	9606.ENSP00000297689	514
9606.ENSP00000296545	9606.ENSP00000297689	514
9606.ENSP00000256367	9606.ENSP00000298295	619
9606.ENSP00000256367	9606.ENSP00000298295	619
9606.ENSP00000252486	9606.ENSP00000303211	715
9606.ENSP00000252486	9606.ENSP00000303211	715
9606.ENSP00000300060	9606.ENSP00000304277	868
9606.ENSP00000300060	9606.ENSP00000304277	868
9606.ENSP00000265165	9606.ENSP00000304930	464
9606.ENSP00000265165	9606.ENSP00000304930	464
9606.ENSP00000304930	9606.ENSP00000305334	674
9606.ENSP00000304930	9606.ENSP00000305334	674
9606.ENSP00000255224	9606.ENSP00000305613	863
9606.ENSP00000255224	9606.ENSP00000305613	863
9606.ENSP00000266718	9606.ENSP00000306459	901
9606.ENSP00000266718	9606.ENSP00000306459	901
9606.ENSP00000265922	9606.ENSP00000306772	492
9606.ENSP00000265922	9606.ENSP00000306772	492
9606.ENSP00000052754	9606.ENSP00000306991	515
9606.ENSP00000052754	9606.ENSP00000306991	515
9606.ENSP00000225964	9606.ENSP00000306991	530
9606.ENSP00000225964	9606.ENSP00000306991	530
9606.ENSP00000296591	9606.ENSP00000311648	483
9606.ENSP00000296591	9606.ENSP00000311648	483
9606.ENSP00000306459	9606.ENSP00000311648	459
9606.ENSP00000306459	9606.ENSP00000311648	459
9606.ENSP00000292408	9606.ENSP00000311697	931
9606.ENSP00000292408	9606.ENSP00000311697	931
9606.ENSP00000248437	9606.ENSP00000311997	437
9606.ENSP00000248437	9606.ENSP00000311997	437
9606.ENSP00000257860	9606.ENSP00000311997	808
9606.ENSP00000257860	9606.ENSP00000311997	808
9606.ENSP00000234816	9606.ENSP00000312767	414
9606.ENSP00000234816	9606.ENSP00000312767	414
9606.ENSP00000249330	9606.ENSP00000313437	647
9606.ENSP00000249330	9606.ENSP00000313437	647
9606.ENSP00000266085	9606.ENSP00000313437	629
9606.ENSP00000266085	9606.ENSP00000313437	629
9606.ENSP00000052754	9606.ENSP00000317404	904
9606.ENSP00000052754	9606.ENSP00000317404	904
9606.ENSP00000252575	9606.ENSP00000317404	904
9606.ENSP00000252575	9606.ENSP00000317404	904
9606.ENSP00000252486	9606.ENSP00000317674	858
9606.ENSP00000252486	9606.ENSP00000317674	858
9606.ENSP00000304930	9606.ENSP00000318650	556
9606.ENSP00000304930	9606.ENSP00000318650	556
9606.ENSP00000221980	9606.ENSP00000320130	521
9606.ENSP00000221980	9606.ENSP00000320130	521
9606.ENSP00000248437	9606.ENSP00000320130	690
9606.ENSP00000248437	9606.ENSP00000320130	690
9606.ENSP00000255224	9606.ENSP00000321805	714
9606.ENSP00000255224	9606.ENSP00000321805	714
9606.ENSP00000284262	9606.ENSP00000321805	421
9606.ENSP00000284262	9606.ENSP00000321805	421
9606.ENSP00000305334	9606.ENSP00000321805	466
9606.ENSP00000305334	9606.ENSP00000321805	466
9606.ENSP00000225964	9606.ENSP00000322273	554
9606.ENSP00000225964	9606.ENSP00000322273	554
9606.ENSP00000173527	9606.ENSP00000324527	418
9606.ENSP00000173527	9606.ENSP00000324527	418
9606.ENSP00000223095	9606.ENSP00000326737	479
9606.ENSP00000223095	9606.ENSP00000326737	479
9606.ENSP00000311697	9606.ENSP00000326737	461
9606.ENSP00000311697	9606.ENSP00000326737	461
9606.ENSP00000296545	9606.ENSP00000330341	466
9606.ENSP00000296545	9606.ENSP00000330341	466
9606.ENSP00000325663	9606.ENSP00000330341	491
9606.ENSP00000325663	9606.ENSP00000330341	491
9606.ENSP00000319231	9606.ENSP00000332643	612
9606.ENSP00000319231	9606.ENSP00000332643	612
9606.ENSP00000294485	9606.ENSP00000332737	507
9606.ENSP00000294485	9606.ENSP00000332737	507
9606.ENSP00000332643	9606.ENSP00000332737	465
9606.ENSP00000332643	9606.ENSP00000332737	465
9606.ENSP00000252729	9606.ENSP00000335083	600
9606.ENSP00000252729	9606.ENSP00000335083	600
9606.ENSP00000250457	9606.ENSP00000335147	495
9606.ENSP00000250457	9606.ENSP00000335147	495
9606.ENSP00000319009	9606.ENSP00000335147	512
9606.ENSP00000319009	9606.ENSP00000335147	512
9606.ENSP00000226382	9606.ENSP00000337103	492
9606.ENSP00000226382	9606.ENSP00000337103	492
9606.ENSP00000252486	9606.ENSP00000337103	468
9606.ENSP00000252486	9606.ENSP00000337103	468
9606.ENSP00000303211	9606.ENSP00000337103	927
9606.ENSP00000303211	9606.ENSP00000337103	927
9606.ENSP00000311997	9606.ENSP00000337103	463
9606.ENSP00000311997	9606.ENSP00000337103	463
9606.ENSP00000223095	9606.ENSP00000337816	417
9606.ENSP00000223095	9606.ENSP00000337816	417
9606.ENSP00000230990	9606.ENSP00000337816	840
9606.ENSP00000230990	9606.ENSP00000337816	840
9606.ENSP00000266085	9606.ENSP00000337816	628
9606.ENSP00000266085	9606.ENSP00000337816	628
9606.ENSP00000252729	9606.ENSP00000338864	600
9606.ENSP00000252729	9606.ENSP00000338864	600
9606.ENSP00000329880	9606.ENSP00000338864	574
9606.ENSP00000329880	9606.ENSP00000338864	574
9606.ENSP00000325663	9606.ENSP00000338927	459
9606.ENSP00000325663	9606.ENSP00000338927	459
9606.ENSP00000337816	9606.ENSP00000343027	618
9606.ENSP00000337816	9606.ENSP00000343027	618
9606.ENSP00000259727	9606.ENSP00000345096	919
9606.ENSP00000259727	9606.ENSP00000345096	919
9606.ENSP00000334153	9606.ENSP00000345133	709
9606.ENSP00000334153	9606.ENSP00000345133	709
9606.ENSP00000285238	9606.ENSP00000345708	488
9606.ENSP00000285238	9606.ENSP00000345708	488
9606.ENSP00000293441	9606.ENSP00000346127	446
9606.ENSP00000293441	9606.ENSP00000346127	446
9606.ENSP00000252486	9606.ENSP00000347379	486
9606.ENSP00000252486	9606.ENSP00000347379	486
9606.ENSP00000271636	9606.ENSP00000347379	948
9606.ENSP00000271636	9606.ENSP00000347379	948
9606.ENSP00000282561	9606.ENSP00000347379	874
9606.ENSP00000282561	9606.ENSP00000347379	874
9606.ENSP00000335083	9606.ENSP00000347379	800
9606.ENSP00000335083	9606.ENSP00000347379	800
9606.ENSP00000252575	9606.ENSP00000347451	504
9606.ENSP00000252575	9606.ENSP00000347451	504
9606.ENSP00000256509	9606.ENSP00000347451	460
9606.ENSP00000256509	9606.ENSP00000347451	460
9606.ENSP00000267484	9606.ENSP00000347451	436
9606.ENSP00000267484	9606.ENSP00000347451	436
9606.ENSP00000332737	9606.ENSP00000347451	434
9606.ENSP00000332737	9606.ENSP00000347451	434
9606.ENSP00000320130	9606.ENSP00000348163	439
9606.ENSP00000320130	9606.ENSP00000348163	439
9606.ENSP00000250457	9606.ENSP00000348460	480
9606.ENSP00000250457	9606.ENSP00000348460	480
9606.ENSP00000280979	9606.ENSP00000348460	715
9606.ENSP00000280979	9606.ENSP00000348460	715
9606.ENSP00000244519	9606.ENSP00000348751	914
9606.ENSP00000244519	9606.ENSP00000348751	914
9606.ENSP00000266458	9606.ENSP00000349477	463
9606.ENSP00000266458	9606.ENSP00000349477	463
9606.ENSP00000296545	9606.ENSP00000349477	657
9606.ENSP00000296545	9606.ENSP00000349477	657
9606.ENSP00000297689	9606.ENSP00000349477	422
