"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"TSPAN6",1624.83191388381,0.0194694724969012,0.190836916605341,0.10202152100982,0.918739592915205,0.999907609585234,"TSPAN6"
"DPM1",1624.09976661756,0.186467329928859,0.41146657025444,0.453177350017894,0.650421040818594,0.999907609585234,"DPM1"
"SCYL3",478.29858638506,0.0058635989084202,0.216965432287603,0.0270254982399574,0.978439396801717,0.999907609585234,"SCYL3"
"FIRRM",726.590323522328,-0.253276322444104,0.239473985409228,-1.05763606018119,0.290221395911228,0.999907609585234,"FIRRM"
"FUCA2",832.74722969395,-0.006684451643289,0.170413648630984,-0.0392248607842651,0.968711112846192,0.999907609585234,"FUCA2"
"GCLC",1661.79446491229,0.0366061955553799,0.187476345591361,0.195257676054609,0.845191228910403,0.999907609585234,"GCLC"
"NFYA",3628.53747336991,-0.176240926147516,0.231257574484772,-0.762097961721559,0.446001539286175,0.999907609585234,"NFYA"
"STPG1",571.200986353083,0.260563375086549,0.180442806106672,1.44402196301754,0.148732797400978,0.902893153188276,"STPG1"
"NIPAL3",606.719445825568,0.315018514378013,0.24253818901548,1.29884087803553,0.193998542748698,0.981117479635256,"NIPAL3"
"LAS1L",3019.79046199501,-0.0320029977832744,0.149123039180306,-0.21460800396228,0.830072953074862,0.999907609585234,"LAS1L"
"SEMA3F",2512.65170315102,-0.133995030545302,0.166861303788499,-0.803032383800283,0.421956017241446,0.999907609585234,"SEMA3F"
"ANKIB1",3812.8967244017,-0.0929995962718164,0.319381305127727,-0.291186725017058,0.77090851480001,0.999907609585234,"ANKIB1"
"CYP51A1",95.7550758954494,-0.44305192685034,0.536984221289153,-0.825074386332419,0.40932936040674,0.999907609585234,"CYP51A1"
"KRIT1",452.16222871355,0.0142773628717133,0.282035320141291,0.0506226059365926,0.959626248985202,0.999907609585234,"KRIT1"
"RAD52",316.666529499801,-0.124707251158352,0.16975393574677,-0.734635403943647,0.462561570231798,0.999907609585234,"RAD52"
