"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"TSPAN6",1621.55048987598,0.0175351406025523,0.190456428206923,0.09206904050254,0.926643186048945,0.999782329142832,"TSPAN6"
"DPM1",1620.17720004467,0.184559130941382,0.408508048334496,0.451788236960906,0.651421544644665,0.999782329142832,"DPM1"
"SCYL3",477.63265506454,0.00392601027605559,0.219127840589183,0.0179165288422479,0.985705443021259,0.999782329142832,"SCYL3"
"FIRRM",725.579918129485,-0.255269213981191,0.240923320383947,-1.05954547519261,0.28935143032366,0.999782329142832,"FIRRM"
"FUCA2",831.313057468156,-0.00856312330228888,0.17146854449766,-0.0499399077969413,0.960170275140353,0.999782329142832,"FUCA2"
"GCLC",1659.00613364244,0.0348179896028971,0.188812303393033,0.184405300805106,0.853695511689628,0.999782329142832,"GCLC"
"NFYA",3623.95724253632,-0.178079013983409,0.232988797034683,-0.76432436344525,0.444673970051157,0.999782329142832,"NFYA"
"STPG1",570.49403467356,0.258509806698711,0.183511488951894,1.40868459067692,0.158928453344194,0.943672253416379,"STPG1"
"NIPAL3",606.056769462834,0.313104742608628,0.244924359574057,1.27837322164746,0.201117861321657,0.999782329142832,"NIPAL3"
"LAS1L",3014.86603062084,-0.0339699251981578,0.150254391697036,-0.226082744167989,0.821137065315138,0.999782329142832,"LAS1L"
"SEMA3F",2508.4609896288,-0.13596654046744,0.169937337778883,-0.800098096419256,0.423653963988937,0.999782329142832,"SEMA3F"
"ANKIB1",3808.55618317986,-0.0946378521706652,0.319897515510296,-0.295838034314522,0.767353775190245,0.999782329142832,"ANKIB1"
"CYP51A1",95.7135304217009,-0.444454171940427,0.53822674893681,-0.825774959751411,0.40893176104675,0.999782329142832,"CYP51A1"
"KRIT1",451.160070364807,0.0121477769352842,0.281016264856024,0.0432280207749116,0.965519768612344,0.999782329142832,"KRIT1"
"RAD52",316.162621306523,-0.126474109962877,0.17265297409897,-0.732533630671073,0.463842923607663,0.999782329142832,"RAD52"
"BAD",797.382468801443,0.168427498463697,0.321591971692418,0.523730420188434,0.600466054285131,0.999782329142832,"BAD"
"LAP3",2316.23299090393,-0.0858662071853845,0.132142503658103,-0.649800062874163,0.515821378333869,0.999782329142832,"LAP3"
"CD99",5008.32168779011,0.145481602678933,0.263267507413048,0.552599916748114,0.580537399014977,0.999782329142832,"CD99"
"MAD1L1",13.0633297600897,0.570243971889106,0.592658941210863,0.962178973836181,0.335959709127615,0.999782329142832,"MAD1L1"
"LASP1",4456.15378306826,-0.218319248131897,0.203303440729579,-1.07385909135838,0.282885840721316,0.999782329142832,"LASP1"
"SNX11",1932.49019973505,0.0616696210353412,0.131318178171864,0.469619834008287,0.638626651665426,0.999782329142832,"SNX11"
"M6PR",3141.7104899979,-0.0622057284383401,0.249724834050564,-0.249097085897932,0.803285683544323,0.999782329142832,"M6PR"
"KLHL13",13336.9611064149,0.331542064525701,0.196705470746324,1.68547454866299,0.0918970512291069,0.740426430228853,"KLHL13"
"ICA1",2212.06056290207,-0.493255894524673,0.180812417665765,-2.72799789357645,0.00637200149186698,0.128532157752612,"ICA1"
"DBNDD1",2477.0914453584,-0.213198171845893,0.167850459948628,-1.27016733770729,0.204025029507092,0.999782329142832,"DBNDD1"
"ALS2",1970.16056827888,-0.120927254886942,0.292069154024996,-0.414036378783748,0.678847464834715,0.999782329142832,"ALS2"
"CFLAR",913.731998546041,-0.0250247064297728,0.18917979728077,-0.132280015041101,0.894762814144911,0.999782329142832,"CFLAR"
"TFPI",476.637125762396,-1.34837900235141,0.279876453887269,-4.81776506606205,1.45175162196336e-06,0.000109137186911034,"TFPI"
"NDUFAF7",563.249172746912,0.0148347704256446,0.199473746990076,0.0743695380945677,0.940716346740654,0.999782329142832,"NDUFAF7"
