"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ranking_metric","GeneSymbol"
"PRUNE2",6.03387753386506,6.55119030794979,1.55268507807084,4.21926532332585,2.4509969742683e-05,0.00201651874658246,2.69539773621551,"PRUNE2"
"EFCC1",5.758001110183,5.86197874197074,1.50364637715076,3.89850887219807,9.67868551930133e-05,0.00623494676840153,2.20516725001032,"EFCC1"
"PON1",3.89242124041372,5.31369024015033,1.63615044817761,3.24767825970335,0.00116350755812461,0.0479526651582052,1.31918725019642,"PON1"
"SLFN5",4.74164976922544,5.25023726735191,1.54997440231708,3.38730579002032,0.000705826695418866,0.0322347089776845,1.49167624634496,"SLFN5"
"CCNO",8.01895932634952,4.79654879866081,1.45430242739043,3.29817836257595,0.000973142974384893,0.04175201507483,1.37932255934779,"CCNO"
"PTPRC",12.7758336348707,4.24553299545863,1.07529142336228,3.94826267858015,7.87204014606619e-05,0.00520858752676615,2.28328003341817,"PTPRC"
"C3",1411.38967703152,4.03817435966723,0.217285359898056,18.5846591853304,4.27708287887337e-77,9.39546796002114e-73,72.0270815841219,"C3"
"ERP27",14.7683143850632,3.86289516710583,0.815245010831989,4.73832420411085,2.15492856306244e-06,0.00023204566541565,3.63442653973643,"ERP27"
"SPINK5",47.9913975623755,3.55643964074439,0.580796248608373,6.12338603988209,9.16073823502346e-10,2.18732540009522e-07,6.66008660381492,"SPINK5"
"AKR1C3",166.742709090993,3.49897544985434,0.359080959941301,9.74425224446967,1.95210692909187e-22,3.57349440928009e-19,18.4469068930145,"AKR1C3"
"PRRX1",24.0139718608058,3.48368539712844,0.771192002784659,4.5172737587389,6.26408986164257e-06,0.000600887606946299,3.22120675303509,"PRRX1"
"FDCSP",12.4861091669639,3.30510199872916,0.820253134230597,4.02936832643666,5.59269315624986e-05,0.00397587995350617,2.40056673703049,"FDCSP"
"CFI",39.2662841728074,3.30355647234456,0.619589858229158,5.33184400691518,9.7220437826052e-08,1.52545811266063e-05,4.81659971308883,"CFI"
"HTR1D",24.253341293417,3.2794528052341,0.871074276703235,3.76483715906052,0.000166657656216333,0.0099213244826672,2.00343034628163,"HTR1D"
"SPP1",31.7418644944432,3.24009807243568,0.907412178563031,3.57070154994686,0.000356026378118985,0.0186210272574756,1.72999636417384,"SPP1"
"SPINK2",9.88220694316367,3.20258365864596,0.922038907986927,3.47337149322485,0.000513963421432512,0.0248683578823965,1.60435289129457,"SPINK2"
"GLIPR1",13.8168972373537,3.19232680376506,0.853661795660099,3.73956855044283,0.000184336374799223,0.0106842141034684,1.97125741763464,"GLIPR1"
"NDN",92.8941210038041,3.18390268152843,0.421881888219696,7.54690535534533,4.45722247930874e-14,2.51055913340962e-11,10.6002295448489,"NDN"
"CEP295NL",33.5060433268702,3.13116468902054,0.555945987339867,5.63213830178499,1.77988855543159e-08,3.17876519489152e-06,5.49774155082983,"CEP295NL"
