"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005501","retinoid binding",0.0336134453781513,"38/18522",0.105263157894737,16.3839009287926,7.63346425551374,0.000100987135482957,0.0135115791308055,0.0123263528912612,"PTGDS/CRABP2/NR2F2/SERPINA5",4
"GO:0019840","isoprenoid binding",0.0336134453781513,"38/18522",0.105263157894737,16.3839009287926,7.63346425551374,0.000100987135482957,0.0135115791308055,0.0123263528912612,"PTGDS/CRABP2/NR2F2/SERPINA5",4
"GO:0030414","peptidase inhibitor activity",0.0588235294117647,"176/18522",0.0397727272727273,6.19050802139037,5.56361269423787,0.000142227148745322,0.0135115791308055,0.0123263528912612,"TFPI/SPINK4/SPOCK1/COL6A3/UMODL1/SERPINA5/SPOCK3",7
"GO:0001972","retinoic acid binding",0.0252100840336134,"20/18522",0.15,23.3470588235294,8.04058070138668,0.000272167615178747,0.0193919425814858,0.0176908949866186,"CRABP2/NR2F2/SERPINA5",3
"GO:0004867","serine-type endopeptidase inhibitor activity",0.0420168067226891,"101/18522",0.0495049504950495,7.70529994175888,5.43355013499729,0.000487508310554314,0.0277879737015959,0.0253504321488243,"TFPI/SPINK4/SPOCK1/COL6A3/SERPINA5",5
"GO:0061134","peptidase regulator activity",0.0588235294117647,"232/18522",0.0301724137931034,4.69624746450304,4.55574663262261,0.000754585880580304,0.0318777829288193,0.0290814861806773,"TFPI/SPINK4/SPOCK1/COL6A3/UMODL1/SERPINA5/SPOCK3",7
"GO:0004866","endopeptidase inhibitor activity",0.0504201680672269,"169/18522",0.0355029585798817,5.52593108249217,4.75290506855196,0.000782963089479773,0.0318777829288193,0.0290814861806773,"TFPI/SPINK4/SPOCK1/COL6A3/SERPINA5/SPOCK3",6
"GO:0004857","enzyme inhibitor activity",0.0756302521008403,"389/18522",0.0231362467866324,3.60108876455466,4.16923645541686,0.000919383625791539,0.0327530416688236,0.029879967838225,"TFPI/SPINK4/CDKN1C/SPOCK1/COL6A3/UMODL1/SERPINA5/SPOCK3/ELFN1",9
"GO:0061135","endopeptidase regulator activity",0.0504201680672269,"186/18522",0.032258064516129,5.02087286527514,4.43185861372535,0.00128489255436431,0.0406882642215366,0.0371191182371912,"TFPI/SPINK4/SPOCK1/COL6A3/SERPINA5/SPOCK3",6
"GO:0048306","calcium-dependent protein binding",0.0336134453781513,"79/18522",0.0506329113924051,7.88086373790022,4.9283563634649,0.00167908147820787,0.0477007630976579,0.0435164856329511,"VLDLR/S100A16/S100A13/CD177",4
