"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043025","neuronal cell body",0.0884955752212389,"488/19894",0.040983606557377,3.60764543740026,6.25193851731197,8.31931611924269e-07,0.00023959630423419,0.000208420761724185,"PTPRN/MAOB/MAP2/SEZ6L/ATP1A3/PDE1A/VGF/APOE/ASS1/SYT4/PRPH/KCNK1/ADAM21/HMCN2/SERPINI1/GAP43/CHRM2/NDN/KCNJ11/GABRD",20
"GO:0062023","collagen-containing extracellular matrix",0.0752212389380531,"428/19894",0.0397196261682243,3.49638160615334,5.59652901927659,8.6048048528129e-06,0.00123909189880506,0.0010778650289313,"ACHE/SERPINE1/CXCL12/LOX/ANGPTL1/TGFBI/NDP/APOE/GDF15/MATN3/LUM/ADAMTS10/ECM1/HMCN2/EDIL3/HTRA1/LAMB3",17
"GO:0098984","neuron to neuron synapse",0.0619469026548673,"360/19894",0.0388888888888889,3.4232546705998,4.97369303671976,6.82152588035139e-05,0.00654866484513734,0.0056965724895566,"DLG3/NEFH/ZDHHC15/ATP1A3/GRIK5/PLPPR4/TNIK/SHANK1/GAP43/SYT12/GRIN1/CHRM2/GRM7/INSYN2B",14
"GO:0043083","synaptic cleft",0.0176991150442478,"22/19894",0.181818181818182,16.0048270313757,7.54824183139057,0.000101015481538946,0.00727311467080409,0.00632675910691291,"ACHE/LGI1/APOE/GRIN1",4
"GO:0032279","asymmetric synapse",0.0530973451327434,"329/19894",0.0364741641337386,3.21069478440972,4.33422118501834,0.000403009395131006,0.0232133411595459,0.020192891798143,"DLG3/NEFH/ZDHHC15/GRIK5/PLPPR4/TNIK/SHANK1/GAP43/GRIN1/CHRM2/GRM7/INSYN2B",12
"GO:0098978","glutamatergic synapse",0.0575221238938053,"409/19894",0.0317848410757946,2.79790986000822,3.93825310584459,0.000849585950146135,0.0407801256070145,0.0354739396727685,"DLG3/ICAM5/LGI1/PLPPR4/FILIP1/VGF/APOE/SYT4/TNIK/SHANK1/ABLIM3/CHRM2/KCNJ11",13
"GO:0008328","ionotropic glutamate receptor complex",0.0176991150442478,"41/19894",0.0975609756097561,8.58795596805526,5.21348250149757,0.00118123340062369,0.0459506266072765,0.0399716708060373,"DLG3/GRIK5/CNIH3/GRIN1",4
"GO:0045211","postsynaptic membrane",0.0442477876106195,"276/19894",0.036231884057971,3.18936770552777,3.92617944206758,0.00127640629464657,0.0459506266072765,0.0399716708060373,"DLG3/RPH3A/GRIK5/PLPPR4/CNIH3/SHANK1/GRIN1/CHRM2/GABRD/GRM7",10
"GO:0043204","perikaryon",0.0309734513274336,"151/19894",0.0463576158940397,4.08070093184083,4.07338727083919,0.00172359278765578,0.0476787510966685,0.0414749369919851,"PTPRN/ASS1/PRPH/KCNK1/SERPINI1/GAP43/NDN",7
"GO:0043679","axon terminus",0.0265486725663717,"112/19894",0.0535714285714286,4.71570796460177,4.22707299044497,0.00176919938910762,0.0476787510966685,0.0414749369919851,"PTPRN/SCGN/GAD1/GRIN1/CHRM2/SLC18A3",6
"GO:0098878","neurotransmitter receptor complex",0.0176991150442478,"46/19894",0.0869565217391304,7.65448249326664,4.84349759177812,0.0018210634099422,0.0476787510966685,0.0414749369919851,"DLG3/GRIK5/CNIH3/GRIN1",4
"GO:0097060","synaptic membrane",0.0530973451327434,"397/19894",0.0302267002518892,2.660752100934,3.58294737235812,0.00203279336904157,0.0487870408569978,0.0424390194589381,"DLG3/RPH3A/GRIK5/PLPPR4/KCNK1/CNIH3/SHANK1/GRIN1/CHRM2/KCNJ11/GABRD/GRM7",12
"GO:0005788","endoplasmic reticulum lumen",0.0442477876106195,"313/19894",0.0319488817891374,2.81234979784557,3.46434408050034,0.0031924878698794,0.0656740361803763,0.0571287303031051,"APOL1/EVA1A/SPP1/C3/VGF/APOE/MATN3/ERP27/PDGFC/IGFBP3",10
"GO:0014069","postsynaptic density",0.0442477876106195,"313/19894",0.0319488817891374,2.81234979784557,3.46434408050034,0.0031924878698794,0.0656740361803763,0.0571287303031051,"DLG3/NEFH/ZDHHC15/GRIK5/PLPPR4/TNIK/SHANK1/GAP43/GRIN1/INSYN2B",10
"GO:0044306","neuron projection terminus",0.0265486725663717,"128/19894",0.046875,4.12624446902655,3.80358202879931,0.00345449847602848,0.0663263707397467,0.0576961850733177,"PTPRN/SCGN/GAD1/GRIN1/CHRM2/SLC18A3",6
"GO:0150034","distal axon",0.0398230088495575,"272/19894",0.0330882352941176,2.91264315460698,3.40463867230864,0.00403349303052472,0.0707168096136485,0.0615153533919896,"PTPRN/MAP2/SCGN/GAD1/GAP43/BASP1/GRIN1/CHRM2/SLC18A3",9
"GO:0030133","transport vesicle",0.0530973451327434,"434/19894",0.0276497695852535,2.43391378818156,3.23758179030586,0.00417425612302786,0.0707168096136485,0.0615153533919896,"PTPRN/SCGN/RPH3A/UNC13D/VGF/SYT4/IL33/MYOF/CNIH3/SYT12/GRIN1/SLC18A3",12
"GO:0098981","cholinergic synapse",0.00884955752212389,"10/19894",0.2,17.6053097345133,5.63014220922748,0.00544482311537179,0.0843812665758546,0.0734018327670081,"PLD1/CHRM2",2
"GO:0099572","postsynaptic specialization",0.0442477876106195,"341/19894",0.0293255131964809,2.58142371473802,3.15749737045817,0.00579664688922312,0.0843812665758546,0.0734018327670081,"DLG3/NEFH/ZDHHC15/GRIK5/PLPPR4/TNIK/SHANK1/GAP43/GRIN1/INSYN2B",10
"GO:0030658","transport vesicle membrane",0.0353982300884956,"238/19894",0.0336134453781513,2.95887558563248,3.25890740691178,0.00599065445873256,0.0843812665758546,0.0734018327670081,"PTPRN/SCGN/RPH3A/SYT4/MYOF/CNIH3/SYT12/SLC18A3",8
"GO:0034702","monoatomic ion channel complex",0.0442477876106195,"344/19894",0.0290697674418605,2.55891129862112,3.12645013419263,0.00615280068782273,0.0843812665758546,0.0734018327670081,"CACNA1G/DLG3/GRIK5/CACNG6/KCNK1/CNIH3/AKAP6/GRIN1/KCNJ11/GABRD",10
"GO:0016324","apical plasma membrane",0.0486725663716814,"402/19894",0.027363184079602,2.40868665521948,3.05860565201194,0.00645905727790746,0.0845549316380614,0.0735529010594247,"PROM1/SLC12A3/CA12/PLD1/CRB1/KCNK1/SLCO2B1/GJA1/TNIK/PALM2AKAP2/P2RY6",11
