"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"PTPRC",12.8240977808909,4.24492913632038,1.05514980165445,4.02305827064976,5.74472760042036e-05,0.00248927528000388,"PTPRC"
"HSD11B1",70.3136317581748,4.11575166331253,1.33384321395659,3.0856337688325,0.00203118834624193,0.0485710200194012,"HSD11B1"
"C3",1412.21129412831,4.04114312915891,0.202209989573681,19.9848837225047,7.45607210204764e-89,1.15986657619453e-84,"C3"
"ERP27",14.8327234710651,3.86990761478005,0.750419082588982,5.15699521050115,2.50944219318022e-07,2.04216610787833e-05,"ERP27"
"PRDM6-AS1",12.5708992399987,3.72436839412181,1.01317218654392,3.67594811976252,0.000236967680640053,0.00831287937892077,"PRDM6-AS1"
"SPINK5",48.2489705087546,3.56232788287299,0.58250698261395,6.11551103969149,9.62480189857958e-10,1.31336331872197e-07,"SPINK5"
"AKR1C3",167.618445196478,3.50242831466511,0.3592272088209,9.74989708090658,1.84655379351919e-22,1.59583282288803e-19,"AKR1C3"
"PRRX1",24.1255420309009,3.48533138034196,0.769539782083564,4.52911137473005,5.92322722253818e-06,0.000345100084920614,"PRRX1"
"CFI",39.4782285034517,3.30717305488702,0.621580645959281,5.3205856333945,1.03433747738135e-07,9.09048237183295e-06,"CFI"
"FDCSP",12.5442585954669,3.30649352679175,0.751647944165089,4.39899231077458,1.08754679320061e-05,0.000587426316494053,"FDCSP"
"HTR1D",24.3310480319788,3.28621201337066,0.898613712855049,3.65697959686127,0.000255204685480486,0.0088417908403885,"HTR1D"
"LINC01735",10.8555616001241,3.25389962297997,1.00415979373218,3.24042014357711,0.00119353697693708,0.0315759544442741,"LINC01735"
"SPP1",31.9992441381286,3.24817428795217,0.956345176087802,3.39644551901202,0.000682671457950593,0.0203052336517771,"SPP1"
"GLIPR1",13.8724638836655,3.19419754942111,0.803027492687946,3.97769388782604,6.95868757051021e-05,0.00296573544785909,"GLIPR1"
"NDN",93.4763345185133,3.18672508040489,0.421543049323707,7.55966700320985,4.04102550822921e-14,1.12253915725024e-11,"NDN"
"CEP295NL",33.7289466620441,3.13353274675897,0.530840671153337,5.90296282300838,3.57030752409155e-09,4.51542307681041e-07,"CEP295NL"
"GPNMB",307.368422987194,3.08679177456983,0.236469859819391,13.0536372666158,6.05844152752075e-39,3.14150388007043e-35,"GPNMB"
"BHLHE41",22.127805117974,2.9338721883314,0.75499941505798,3.88592643890472,0.000101940374181412,0.00411892067731439,"BHLHE41"
"OR10AC1",65.1258061434436,2.92125189982062,0.45251503005975,6.45559087713593,1.07797468594221e-10,1.72876022830072e-08,"OR10AC1"
"APOL1",25.471464200655,2.89283525167556,0.659073786215915,4.38924337786947,1.13745715494873e-05,0.000601905997697145,"APOL1"
"ZDHHC15",148.870462825101,2.88746151784413,0.382299667425547,7.55287478351383,4.25754285502938e-14,1.16193573075153e-11,"ZDHHC15"
"RCSD1",13.0063366380847,2.80001081832383,0.865018346271917,3.23693807234424,0.00120819627532869,0.0319095097776114,"RCSD1"
"INKILN",27.6941812092384,2.7543141843606,0.652655319350117,4.22016660662969,2.44121836149785e-05,0.00119796822812178,"INKILN"
"MMP19",25.6612181656959,2.73031721829514,0.607071762398291,4.49751971251104,6.87507884587098e-06,0.000393780975216361,"MMP19"
"PNMA3",26.5161917564136,2.69408793436445,0.584712542765839,4.60754257403259,4.07455795542375e-06,0.000246629663636466,"PNMA3"
"TRPM3",29.1251638926624,2.68317460537033,0.527541443855973,5.086187325413,3.65333226340294e-07,2.81342755888595e-05,"TRPM3"
