"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","11/100","298/8546",0.0369127516778524,3.15456375838926,4.11930217570828,0.000688145655090269,0.0859746241952106,0.0819214428599911,"53832/4804/3566/655/650/94/392255/7293/8718/4050/7124",11
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","5/100","63/8546",0.0793650793650794,6.78253968253968,5.0123877277944,0.000814925347821901,0.0859746241952106,0.0819214428599911,"6932/650/80326/8324/7855",5
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","7/100","157/8546",0.0445859872611465,3.81031847133758,3.86705867662915,0.00236986033401676,0.166680176825845,0.158822218876211,"6932/655/650/80326/8324/392255/7855",7
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","7/100","184/8546",0.0380434782608696,3.25119565217391,3.35890380390708,0.00568916228181101,0.200572126168081,0.19111636866103,"9423/25791/54437/655/1948/10500/57689",7
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","6/100","144/8546",0.0416666666666667,3.56083333333333,3.37210987220573,0.00671891429602232,0.200572126168081,0.19111636866103,"6932/9421/80326/8324/7855/5600",6
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","5/100","105/8546",0.0476190476190476,4.06952380952381,3.44349297103202,0.00761661835699813,0.200572126168081,0.19111636866103,"1357/1303/1294/1293/255631",5
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","2/100","12/8546",0.166666666666667,14.2433333333333,4.99507609990347,0.0082889594878736,0.200572126168081,0.19111636866103,"4804/4685",2
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","3/100","36/8546",0.0833333333333333,7.12166666666667,4.00485358608206,0.00839124822875237,0.200572126168081,0.19111636866103,"1621/1644/4128",3
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","5/100","108/8546",0.0462962962962963,3.95648148148148,3.36432370210126,0.00855520917304612,0.200572126168081,0.19111636866103,"7018/655/650/392255/7124",5
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","7/100","204/8546",0.0343137254901961,2.93245098039216,3.03961775133615,0.00981345405230969,0.207063880503735,0.197302076209595,"80326/8324/7855/3481/5600/7124/117581",7
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","2/100","16/8546",0.125,10.6825,4.21796990151036,0.0146197158549749,0.276493791403925,0.263458788516586,"1644/4128",2
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/100","333/8546",0.027027027027027,2.30972972972973,2.65267097871141,0.0157247653879009,0.276493791403925,0.263458788516586,"6932/3955/7143/63923/80326/8324/7855/1293/7124",9
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","4/100","88/8546",0.0454545454545455,3.88454545454545,2.95947978340766,0.0194680774788216,0.315981872925488,0.301085246838455,"7035/5327/5270/5104",4
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","5/100","144/8546",0.0347222222222222,2.96736111111111,2.59062459810143,0.0266252993629737,0.401094560246537,0.382185387912639,"6720/6932/5600/4217/7124",5
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","4/100","99/8546",0.0404040404040404,3.45292929292929,2.67104912074348,0.0285368229421992,0.401094560246537,0.382185387912639,"55515/8989/41/5600",4
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","4/100","101/8546",0.0396039603960396,3.38455445544554,2.62300186676846,0.0304147533836237,0.401094560246537,0.382185387912639,"6932/80326/8324/7855",4
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","3/100","66/8546",0.0454545454545455,3.88454545454545,2.55965788896687,0.0418705647561336,0.45992006512655,0.438237627533904,"3566/6097/7124",3
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/100","28/8546",0.0714285714285714,6.10428571428571,2.94357881727616,0.0420673189825928,0.45992006512655,0.438237627533904,"6489/79369",2
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","3/100","69/8546",0.0434782608695652,3.71565217391304,2.46438236674847,0.0467665752782178,0.45992006512655,0.438237627533904,"1644/814/4128",3
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","5/100","170/8546",0.0294117647058824,2.51352941176471,2.16883985923851,0.0488406255157249,0.45992006512655,0.438237627533904,"6932/80326/8324/7855/3481",5
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","4/100","119/8546",0.0336134453781513,2.87260504201681,2.23827615007626,0.0505645321297642,0.45992006512655,0.438237627533904,"7424/5600/4217/7124",4
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","4/100","120/8546",0.0333333333333333,2.84866666666667,2.21905977560248,0.0518559753463769,0.45992006512655,0.438237627533904,"4804/814/5600/4217",4
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","5/100","174/8546",0.028735632183908,2.45574712643678,2.11094272886808,0.0530042346617876,0.45992006512655,0.438237627533904,"6932/80326/8324/7855/164284",5
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","4/100","122/8546",0.0327868852459016,2.80196721311475,2.18121319349189,0.0544928987116765,0.45992006512655,0.438237627533904,"4985/5600/4217/7124",4
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","4/100","122/8546",0.0327868852459016,2.80196721311475,2.18121319349189,0.0544928987116765,0.45992006512655,0.438237627533904,"868/5600/84433/7124",4
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","2/100","34/8546",0.0588235294117647,5.02705882352941,2.56001269787128,0.0596938175902609,0.480769966802445,0.45810458298462,"6097/4862",2
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","7/100","300/8546",0.0233333333333333,1.99406666666667,1.9071505094397,0.0615203275055262,0.480769966802445,0.45810458298462,"23542/4804/7424/3481/5600/4217/7124",7
"hsa00250","Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","2/100","37/8546",0.0540540540540541,4.61945945945946,2.40068849832693,0.0693009918356106,0.52223247418978,0.497612384985023,"1373/339983",2
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","2/100","38/8546",0.0526315789473684,4.49789473684211,2.3513392242286,0.0726094336641017,0.528296224245705,0.503390266056023,"84618/4907",2
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","5/100","198/8546",0.0252525252525253,2.15808080808081,1.79395165199878,0.0822144113720328,0.53640651955159,0.511118210198821,"4804/5327/8013/4613/54738",5
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","4/100","141/8546",0.0283687943262411,2.42439716312057,1.85567660479915,0.0830671101869811,0.53640651955159,0.511118210198821,"5327/5600/4217/7124",4
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","3/100","89/8546",0.0337078651685393,2.88067415730337,1.94057704528376,0.086019387404997,0.53640651955159,0.511118210198821,"7143/63923/1293",3
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","2/100","42/8546",0.0476190476190476,4.06952380952381,2.16977410014245,0.0863301197688141,0.53640651955159,0.511118210198821,"1644/4128",2
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","4/100","143/8546",0.027972027972028,2.39048951048951,1.8245217668892,0.0864351737666069,0.53640651955159,0.511118210198821,"2355/814/5600/7124",4
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","4/100","148/8546",0.027027027027027,2.30972972972973,1.74886023598048,0.0951426088412929,0.5618487482299,0.535360992326819,"6932/80326/8324/7855",4
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","4/100","150/8546",0.0266666666666667,2.27893333333333,1.71944313001275,0.0987383432392022,0.5618487482299,0.535360992326819,"6932/80326/8324/7855",4
"hsa00514","Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","2/100","47/8546",0.0425531914893617,3.63659574468085,1.97214596859394,0.104461898959459,0.5618487482299,0.535360992326819,"57452/3955",2
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","3/100","98/8546",0.0306122448979592,2.61612244897959,1.75081735604884,0.107072106832917,0.5618487482299,0.535360992326819,"814/4881/5587",3
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","4/100","155/8546",0.0258064516129032,2.20541935483871,1.6478878207896,0.108001894717087,0.5618487482299,0.535360992326819,"6932/80326/8324/7855",4
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","4/100","157/8546",0.0254777070063694,2.17732484076433,1.62002430938791,0.11181455176024,0.5618487482299,0.535360992326819,"6720/5600/4217/7124",4
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","2/100","49/8546",0.0408163265306122,3.48816326530612,1.90052943318785,0.111982729665369,0.5618487482299,0.535360992326819,"1644/4128",2
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","4/100","158/8546",0.0253164556962025,2.16354430379747,1.60624856230507,0.113743374735431,0.5618487482299,0.535360992326819,"80326/8324/7855/7124",4
