"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04082",NA,NA,"hsa04082","Neuroactive ligand signaling","26/385","199/8546",0.130653266331658,2.90016315342949,5.89070037246909,8.64712426822224e-07,0.000262007865327134,0.000226645678188141,"6570/1103/43/2775/11255/2901/6505/4988/2892/5582/1131/3357/1813/1141/2912/3359/2786/1128/5031/2902/3352/1132/1129/6572/2563/2917",26
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","15/385","86/8546",0.174418604651163,3.87163998791906,5.81311273971945,5.656428599541e-06,0.000856948932830461,0.000741289853308267,"3675/1496/489/27091/27092/6547/6543/3679/51176/59283/775/2697/55799/3673/10369",15
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","18/385","132/8546",0.136363636363636,3.02691853600945,5.09725916492237,2.39059389076092e-05,0.00241449982966853,0.00208862413613849,"6570/5526/4129/5522/2775/5602/2892/5582/406/774/1813/775/3798/5521/3765/2786/3800/2353",18
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","25/385","254/8546",0.0984251968503937,2.18478372021679,4.16333156304469,0.000187535465742368,0.00900152890002879,0.00778662739658561,"8913/6915/489/6547/7422/2246/6543/7852/5582/1131/8536/3357/2250/56034/774/775/57105/491/2264/113026/624/1128/2902/1129/4914",25
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","12/385","79/8546",0.151898734177215,3.37175735656748,4.59974473989935,0.00019529422554304,0.00900152890002879,0.00778662739658561,"535/6570/5864/6804/6505/23025/6616/10814/526/774/10815/6572",12
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","15/385","116/8546",0.129310344827586,2.87035378414689,4.40507877623126,0.000207956113201985,0.00900152890002879,0.00778662739658561,"5337/2775/9762/8605/2901/6505/2892/5582/775/50944/22941/2912/2786/2902/2917",15
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","15/385","116/8546",0.129310344827586,2.87035378414689,4.40507877623126,0.000207956113201985,0.00900152890002879,0.00778662739658561,"1103/43/2775/5582/1131/774/775/1141/2786/1128/2353/5293/1132/1129/6572",15
"hsa00730","Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","5/385","15/8546",0.333333333333333,7.3991341991342,5.38742932551457,0.000373180545308094,0.0141342131535441,0.0122265731291731,"84284/122481/26289/205/249",5
"hsa04260","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","12/385","87/8546",0.137931034482759,3.06171070309001,4.19800110630948,0.000488861302388852,0.016458330513758,0.0142370133678157,"84679/489/27091/27092/6547/478/6543/59283/481/775/55799/10369",12
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","17/385","154/8546",0.11038961038961,2.4503626243886,3.94474497585405,0.000545415624990409,0.0165260934372094,0.0142956305918539,"5526/5522/489/27091/27092/11069/6547/478/6543/64208/59283/481/775/5521/491/55799/10369",17
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","7/385","34/8546",0.205882352941176,4.57005347593583,4.53015521015145,0.000667117434795213,0.0183760529766318,0.015895908254929,"5214/230/5210/3795/226/3098/4351",7
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","26/385","300/8546",0.0866666666666667,1.92377489177489,3.53769041908425,0.00100470723246819,0.0253688576198218,0.0219449211302262,"8913/23542/4254/10235/27091/27092/8605/5602/7422/2246/7867/1846/9479/5582/2250/59283/84451/56034/774/775/55799/2264/10369/2353/4137/4914",26
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","30/385","370/8546",0.0810810810810811,1.7997893997894,3.41602290306311,0.00124194814291555,0.0289469451771855,0.0250400880636415,"6915/5646/117/11255/2901/4988/84634/2834/2892/718/7425/1131/3357/7432/1813/57105/5739/1141/2912/2150/624/1128/5031/2902/3352/1132/1129/283869/2563/2917",30
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","12/385","99/8546",0.121212121212121,2.69059425423062,3.6746878057416,0.00156761468087263,0.0317066360291447,0.0274273141263054,"3675/489/27091/27092/6547/6543/3679/59283/775/55799/3673/10369",12
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","11/385","86/8546",0.127906976744186,2.83920265780731,3.72313118845137,0.00156963544698736,0.0317066360291447,0.0274273141263054,"117/11069/478/5864/6804/5582/6616/1131/481/775/9699",11
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","13/385","115/8546",0.11304347826087,2.50927159796725,3.5390889999989,0.00193169623381185,0.0365814974278119,0.031644234356523,"6570/4129/2775/8605/5582/1573/3357/774/775/3765/3359/2786/3352",13
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","8/385","53/8546",0.150943396226415,3.350551335457,3.72813665129628,0.00235715163150399,0.0420127614321005,0.0363424616869656,"6547/793/478/6543/5582/481/491/624",8
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","12/385","105/8546",0.114285714285714,2.53684601113173,3.44146029223347,0.00259794952068646,0.0437321502648888,0.0378297912661362,"3675/489/27091/27092/6547/6543/3679/59283/775/55799/3673/10369",12
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","28/385","362/8546",0.0773480662983425,1.7169261677549,3.0273359391007,0.00353929546198208,0.0544248134769183,0.0470793071243796,"3675/4254/5526/5522/5106/1297/7422/3910/2246/6446/1026/3679/7097/2250/56034/118788/5521/2264/3673/6850/54541/2786/1128/5293/1129/2057/3914/4914",28
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","9/385","69/8546",0.130434782608696,2.8953133822699,3.43320069833994,0.00359239692916953,0.0544248134769183,0.0470793071243796,"6570/4129/6804/2892/5582/775/2353/2902/23237",9
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","12/385","110/8546",0.109090909090909,2.42153482880756,3.25911939787403,0.00382797065346288,0.0547517116285929,0.0473620850982096,"5214/5054/230/2026/7422/1026/5582/112399/3939/226/3098/5293",12
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","20/385","232/8546",0.0862068965517241,1.91356918943126,3.0640449774931,0.00397537180141599,0.0547517116285929,0.0473620850982096,"3675/729/26999/6387/2246/7852/1131/3679/56924/2250/56034/10788/2934/2264/3673/624/1128/5293/1132/1129",20
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","20/385","238/8546",0.0840336134453782,1.86532794936156,2.9405981199798,0.00528826538784822,0.0696671483703483,0.0602644430926411,"4254/10235/5337/8605/5602/7422/2246/5582/56924/2250/56034/2114/2264/2786/5293/11145/2902/399694/4914/83593",20
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","19/385","226/8546",0.084070796460177,1.86615331571084,2.86617060758103,0.00644878091283819,0.0814158590245821,0.0704274757586276,"489/5337/117/11069/478/5602/2892/64208/481/7432/1813/775/491/1128/2353/5293/2902/3352/1129",19
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","18/385","212/8546",0.0849056603773585,1.88468512619456,2.83298723392883,0.00715939710564494,0.0867718929204167,0.0750606264970775,"4254/10235/5909/2775/11069/50855/7422/2246/5582/2250/56034/1813/2264/10636/5293/2902/26037/83593",18
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","8/385","67/8546",0.119402985074627,2.65043613103315,2.94563217954445,0.010052143272562,0.117146131214857,0.101335371452143,"5214/5106/2821/230/2026/3939/226/3098",8
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","10/385","97/8546",0.103092783505155,2.28839202035078,2.7716982510469,0.0117155394395806,0.131474387044182,0.113729798068443,"8913/117/2775/2892/5582/775/3765/2786/2353/2902",10
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","10/385","98/8546",0.102040816326531,2.26504108136761,2.73561781796779,0.0125419100302124,0.135455693924785,0.117173763374228,"8913/478/5582/8536/481/775/491/51305/3777/5138",10
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","10/385","99/8546",0.101010101010101,2.24216187852551,2.69997197515148,0.0134114548440381,0.135455693924785,0.117173763374228,"5583/8605/5602/5582/1573/3357/2150/624/5293/4914",10
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","10/385","99/8546",0.101010101010101,2.24216187852551,2.69997197515148,0.0134114548440381,0.135455693924785,0.117173763374228,"1608/1606/5337/8605/5602/5582/204962/56034/2353/5293",10
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","11/385","116/8546",0.0948275862068965,2.10492610837438,2.60233469761652,0.0152170476494703,0.148734368960951,0.128660267053246,"5010/1496/11069/4318/6387/7852/5582/7412/5293/1364/83593",11
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","5/385","34/8546",0.147058823529412,3.26432391138273,2.87327314107868,0.0171255650294665,0.154744056138472,0.133858850020773,"79365/406/8553/4783/6096",5
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","10/385","103/8546",0.0970873786407767,2.15508763081579,2.56153244031949,0.017347618819873,0.154744056138472,0.133858850020773,"5522/2775/5054/5602/718/7097/5521/624/2353/5293",10
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","6/385","47/8546",0.127659574468085,2.83371096988118,2.73785602839289,0.0181018484218789,0.154744056138472,0.133858850020773,"8913/5602/774/775/3098/5293",6
