"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","14/184","157/8546",0.089171974522293,4.14165051232346,5.89335311149596,6.65391546105376e-06,0.00157032404880869,0.00148487376604568,"8463/6932/6788/268/650/84962/126374/83439/392255/7855/8322/84552/2535/6657",14
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","8/184","63/8546",0.126984126984127,5.89786059351277,5.78777746348063,5.58318648409868e-05,0.00658816005123644,0.00622966070857326,"6932/2735/650/6608/83439/7855/8322/2535",8
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","8/184","105/8546",0.0761904761904762,3.53871635610766,3.88259189731291,0.00186642795811949,0.146825666038734,0.138836044603976,"91522/1357/1303/7512/136227/1281/255631/80781",8
"hsa04392","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","4/184","29/8546",0.137931034482759,6.40629685157421,4.32578994907747,0.00324184307310401,0.17805472703519,0.168365754377611,"8463/6788/84962/126374",4
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","10/184","174/8546",0.0574712643678161,2.66929035482259,3.29990746552958,0.00429173653529209,0.17805472703519,0.168365754377611,"6932/4776/22943/83439/7855/8322/1488/79718/2535/164284",10
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","11/184","204/8546",0.053921568627451,2.50442242114237,3.2259650034947,0.004526815094115,0.17805472703519,0.168365754377611,"1634/7448/6385/6608/2719/27250/7855/3481/6383/8322/2535",11
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","7/184","101/8546",0.0693069306930693,3.2190055962118,3.32758471601086,0.00600447565820644,0.202436607905246,0.191420878126281,"6932/1910/83439/90993/7855/8322/2535",7
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","4/184","38/8546",0.105263157894737,4.88901601830664,3.563917589712,0.00867129426791026,0.24848643146288,0.234964868287826,"952/54981/4907/133686",4
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","6/184","86/8546",0.0697674418604651,3.24039433771486,3.0974077018296,0.0104033738729973,0.24848643146288,0.234964868287826,"5318/6932/3696/22801/83439/1756",6
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","11/184","232/8546",0.0474137931034483,2.20216454272864,2.75367549815583,0.0114909239558427,0.24848643146288,0.234964868287826,"1634/2273/5318/3696/6385/22801/27295/1281/6383/255631/1756",11
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","8/184","144/8546",0.0555555555555556,2.58031400966184,2.83689434159817,0.0124329810211153,0.24848643146288,0.234964868287826,"2261/6932/1749/4211/7855/8322/2535/6657",8
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","14/184","333/8546",0.042042042042042,1.95267006136571,2.63041084268816,0.0126349032947227,0.24848643146288,0.234964868287826,"10319/6932/3696/3955/7448/1027/22801/83439/90993/7855/8322/84552/2535/3133",14
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","8/184","155/8546",0.0516129032258065,2.39719495091164,2.60390934077731,0.018648412020081,0.338540402826087,0.320118489737424,"952/4776/91807/340156/814/3761/4881/3768",8
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","3/184","28/8546",0.107142857142857,4.9763198757764,3.12608926633055,0.0216658179417826,0.365223788161477,0.345349879974278,"6489/8707/8708",3
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","14/184","362/8546",0.0386740331491713,1.79624069180879,2.29628456564457,0.0242486218240502,0.381511650031724,0.360751426434993,"10319/4804/2261/3566/3574/3696/7448/1027/22801/7424/90993/3481/23566/627",14
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","2/184","12/8546",0.166666666666667,7.74094202898551,3.4661292995218,0.026406348893909,0.382840106620346,0.362007594128071,"4804/4685",2
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","6/184","108/8546",0.0555555555555556,2.58031400966184,2.45157605484097,0.0288428744154576,0.382840106620346,0.362007594128071,"1634/7018/268/60436/650/392255",6
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","8/184","170/8546",0.0470588235294118,2.18567774936061,2.31623521249068,0.0303425591876363,0.382840106620346,0.362007594128071,"6932/6603/55274/83439/7855/3481/8322/2535",8
"hsa04215","Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","3/184","32/8546",0.09375,4.35427989130435,2.81979365065878,0.0308218729906211,0.382840106620346,0.362007594128071,"4804/666/56616",3
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","5/184","89/8546",0.0561797752808989,2.60930630190523,2.26378622740853,0.0426518381728603,0.462801620960091,0.437617946670559,"10319/3696/7448/6385/22801",5
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","4/184","62/8546",0.0645161290322581,2.99649368863955,2.34030963111468,0.0441397530610762,0.462801620960091,0.437617946670559,"3955/23220/1488/441478",4
"hsa00250","Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","3/184","37/8546",0.0810810810810811,3.76586368977673,2.50093403329582,0.0446843606313269,0.462801620960091,0.437617946670559,"1373/9945/2752",3
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","8/184","184/8546",0.0434782608695652,2.01937618147448,2.07347200000582,0.0451035478054326,0.462801620960091,0.437617946670559,"54437/4776/1948/6608/57689/84552/2049/2050",8
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","7/184","155/8546",0.0451612903225806,2.09754558204769,2.04546201026429,0.0498603117648332,0.478930344077836,0.452869014025429,"6932/1027/83439/90993/7855/8322/2535",7
