"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"A1BG",23.1942538395885,-1.03319982932701,0.493561699914838,-2.09335495340356,0.0363174804586856,0.545308334405979,"A1BG"
"A1BG-AS1",94.3731376063576,-0.336785430038031,0.362955023022714,-0.927898523715854,0.353460210280361,0.999819998228587,"A1BG-AS1"
"A2M",29.0000220659126,-0.380413609103958,0.43225212094353,-0.880073435553265,0.3788195287476,0.999819998228587,"A2M"
"A2ML1",2.57408216951059,-4.52990680308773,2.19752908718837,-2.06136375145028,0.0392683503395045,0.570885408277893,"A2ML1"
"A4GALT",35.0625631551663,1.30808929006557,0.494301729460344,2.6463376761673,0.00813685465145185,0.204043705626076,"A4GALT"
"AAAS",2168.02719128495,-0.156404597130325,0.182482735564634,-0.857092571778812,0.391393726114364,0.999819998228587,"AAAS"
"AACS",978.572638197697,-0.143959986360929,0.199400869142619,-0.72196268240919,0.470317421258417,0.999819998228587,"AACS"
"AADAT",909.383085297915,-0.0815991917866912,0.200714466629364,-0.406543649578437,0.684343191746238,0.999819998228587,"AADAT"
"AAGAB",2641.73367678043,0.0758122802737967,0.14257168853615,0.531748491248133,0.594900201995257,0.999819998228587,"AAGAB"
"AAK1",2005.27206928215,0.178249028734992,0.305038923141324,0.584348472317449,0.558985886578936,0.999819998228587,"AAK1"
"AAMDC",144.103045806216,0.186876245555385,0.347889754704981,0.537170879647952,0.59114958418025,0.999819998228587,"AAMDC"
"AAMP",5437.15972051012,-0.0726806187671671,0.189030385363063,-0.384491724055752,0.700614028647843,0.999819998228587,"AAMP"
"AANAT",17.2376158438581,0.606550318174519,0.64262030690514,0.943870449870571,0.345235854183788,0.999819998228587,"AANAT"
"AAR2",2134.57339546144,-0.112270113605189,0.149559229045366,-0.750673257155758,0.452849321278596,0.999819998228587,"AAR2"
"AARD",41.6844689753958,0.111223875815042,0.423812521740418,0.262436502249374,0.79298493383906,0.999819998228587,"AARD"
"AARS1",5771.73248928975,-0.00230607317231017,0.172793188887448,-0.0133458569007154,0.989351862922488,0.999819998228587,"AARS1"
"AARS2",1908.83429432789,-0.147795378166572,0.167492187564499,-0.882401623118443,0.377559658293844,0.999819998228587,"AARS2"
"AARSD1",38.3440153094572,0.731382850515534,0.388522402229816,1.8824727900321,0.0597718509425781,0.717883118589436,"AARSD1"
"AARSD1P1",5.607855193158,-0.392001936849356,1.26113884998742,-0.310831703307901,0.75592856692224,0.999819998228587,"AARSD1P1"
"AASDH",536.108584616837,0.0107231722747406,0.216754057793305,0.0494716102845285,0.960543461198701,0.999819998228587,"AASDH"
"AASDHPPT",2262.67432529407,-0.113964537955204,0.255358251779614,-0.446292756004456,0.655385788250861,0.999819998228587,"AASDHPPT"
"AASS",122.247074405051,-0.847359595407606,0.266073974204027,-3.1846767348912,0.00144915790914402,0.0571730458670034,"AASS"
"AATBC",7.98350420436795,0.678760620446582,1.22819185428003,0.552650319313893,0.58050287851089,0.999819998228587,"AATBC"
"AATF",2012.5949356752,-0.0303779775117499,0.240250471295352,-0.126442946596366,0.899381308465211,0.999819998228587,"AATF"
"AATK",927.410559873708,-0.000217031898854329,0.244831552078317,-0.000886453959924676,0.999292712164145,0.999819998228587,"AATK"
"ABAT",1928.48609952754,-0.283967382574529,0.255671527937987,-1.11067268563203,0.266709263481633,0.999819998228587,"ABAT"
"ABCA1",33.21420558061,0.521155034850463,0.550723994350815,0.946308931872114,0.343991038997457,0.999819998228587,"ABCA1"
"ABCA10",115.643609219181,-0.0300750873082084,0.370903893169509,-0.0810859305120951,0.935373614666311,0.999819998228587,"ABCA10"
"ABCA11P",32.457179571457,0.274530169543819,1.42335750493193,0.192875063778828,0.847056814555078,0.999819998228587,"ABCA11P"
"ABCA12",272.044604705127,-0.346129764283727,0.415668262452875,-0.832706741287395,0.405010141634092,0.999819998228587,"ABCA12"
"ABCA17P",11.662776593015,-0.415033918493189,0.659054697614998,-0.629741233914458,0.52886389987006,0.999819998228587,"ABCA17P"
"ABCA2",6682.32538337364,-0.189116132171118,0.294732742450766,-0.641652944964908,0.521098548021007,0.999819998228587,"ABCA2"
"ABCA3",5856.08862582898,-0.117104039423643,0.227168112050518,-0.515495059436866,0.606207121130075,0.999819998228587,"ABCA3"
"ABCA4",2.75239013014711,-1.49778209308236,1.56384649417741,-0.957755188030908,0.338186220673997,0.999819998228587,"ABCA4"
"ABCA5",154.746513496121,-0.203057975325251,0.291535151698007,-0.696512836076772,0.486107721464766,0.999819998228587,"ABCA5"
"ABCA7",671.30112886908,-0.0548872054520528,0.248799055805959,-0.220608576163006,0.825397222769317,0.999819998228587,"ABCA7"
"ABCB1",5190.78267551495,0.751098092933756,0.186964838690845,4.01732271261834,5.88630890583916e-05,0.00413113571036961,"ABCB1"
"ABCB10",1152.53579165374,-0.20892469009563,0.195015722274885,-1.07132228960053,0.284024540914203,0.999819998228587,"ABCB10"
"ABCB10P4",4.49252798262235,-1.31112904613157,1.66914092908266,-0.785511291040088,0.432153852880691,0.999819998228587,"ABCB10P4"
"ABCB4",527.42182783684,0.776678832290269,0.20964130979448,3.70479860601749,0.000211558753468429,0.0119776060243324,"ABCB4"
