"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"CCL7",5.12646976765505,5.80208722625262,1.56834085608865,3.69950652227647,0.000216019089110247,0.00630184771644727,"CCL7"
"C3",1411.38967703152,5.59875689084017,0.216253584216445,25.8897761677626,8.68166095931994e-148,1.90710046293381e-143,"C3"
"CXCL11",5.27047286902526,5.59208751617725,1.65597001720377,3.3769255832421,0.000733008786219562,0.0173139828031023,"CXCL11"
"LOC105370670",11.2364148451292,5.55098028184986,1.3112949980334,4.23320480149385,2.30384525078132e-05,0.000894144321977266,"LOC105370670"
"TWIST2",48.1159617762696,5.47877042350353,0.611094345287771,8.96550666153442,3.08857610044552e-19,9.8328624925343e-17,"TWIST2"
"TREM1",3.62051389716012,5.45833950619257,1.76139616368722,3.09887100853356,0.0019425957698831,0.0385135390586842,"TREM1"
"HOXA13",25.9067397898914,5.27885900665002,0.820327024711993,6.4350665620255,1.2341923305004e-10,1.22676483819467e-08,"HOXA13"
"LOC101927692",13.513967189628,5.24781536005205,1.05509306780658,4.97379380092191,6.56551447178156e-07,3.61465304264726e-05,"LOC101927692"
"SLFN5",4.74164976922544,5.15700409590182,1.54965673683999,3.32783639970347,0.000875232483293412,0.0201321800633575,"SLFN5"
"CREB3L3",4.32917535832642,5.03358599606612,1.66207546686423,3.02849425096369,0.00245775753558911,0.046784713851201,"CREB3L3"
"F2RL2",10.3468021589725,4.99018122042821,1.23027156081921,4.05616237857711,4.98855849460315e-05,0.00174218862402142,"F2RL2"
"EFCC1",5.758001110183,4.95637976157695,1.51860971684694,3.26376139082514,0.00109943715276129,0.0241755114461533,"EFCC1"
"LCN2",8.56055481065269,4.74723000269686,1.32611155319735,3.57981196321752,0.000343841541113543,0.00929048847926346,"LCN2"
"BGN",390.376135346538,4.42914934756906,0.281634904540703,15.7265639881968,9.94641289220931e-56,4.36985704006324e-52,"BGN"
"TPH2",9.49148003847595,4.38868825673285,1.13602717028213,3.86318951829552,0.000111916112972033,0.00352215079320436,"TPH2"
"ABLIM3",49.1191445091948,4.28488016282079,0.575894578622437,7.44038982459324,1.00388613485208e-13,1.53141435585387e-11,"ABLIM3"
"HSD11B1",70.0917858177115,4.15930130182178,1.33033998861509,3.12649498430225,0.00176903522047431,0.035684478134214,"HSD11B1"
"OSCAR",8.73593380033017,4.07669436699285,1.14362295071052,3.56471891759435,0.000364246326465223,0.00974591845732222,"OSCAR"
"NLRP1",16.7987289400194,4.03824587850168,0.836824128147506,4.82568050163805,1.39526031829972e-06,7.28020983660094e-05,"NLRP1"
"CASP1",10.0818125203076,3.89782357240249,1.20434809444748,3.23645928479732,0.00121022489690173,0.0261663487305516,"CASP1"
"ZDHHC15",148.657776403043,3.83333652824754,0.382433680213937,10.0235327759394,1.20130530424943e-23,6.43635941913345e-21,"ZDHHC15"
"BSX",8.75452677577518,3.80204800581982,1.20447768845505,3.15659479811253,0.00159622991860949,0.0326180303461345,"BSX"
"ARMC3",9.2455459928588,3.79023597204337,1.13996063239734,3.32488321467074,0.000884555787181519,0.0202617695276501,"ARMC3"
"COL9A1",33.0131506995253,3.75598028591182,0.605640744009504,6.2016638131811,5.58693249182764e-10,5.05054098962872e-08,"COL9A1"
"SOHLH1",15.9559044275508,3.75223502869465,0.896208858361094,4.18678636535283,2.82931900903923e-05,0.0010715801839925,"SOHLH1"
"BHLHE41",22.0949677343769,3.70178554421128,0.773900067815549,4.78328623831256,1.72452273622976e-06,8.71299441994427e-05,"BHLHE41"
"LINC01404",29.4300479136265,3.61466126528762,0.682015336766762,5.29997064644277,1.15821300323754e-07,7.16689156116032e-06,"LINC01404"
"SYN3",15.5003172482589,3.60470209095859,0.806521401369638,4.46944381740779,7.84232545580978e-06,0.000348024976338936,"SYN3"
"NNAT",919.75151647296,3.57410436709694,0.304537342002345,11.7361777166539,8.31606227731162e-32,8.30358818389565e-29,"NNAT"
"SPIB",9.96654124028124,3.4897100408028,1.06009783479336,3.29187545363022,0.000995216751416356,0.0223537079533365,"SPIB"
"HTR1D",24.253341293417,3.4569374566563,0.86889517469852,3.97854373843858,6.93386569806573e-05,0.00233256091561118,"HTR1D"
"SHANK1",263.124517309922,3.35046570542437,0.469867889810069,7.13065476080669,9.98925876454015e-13,1.31397633102188e-10,"SHANK1"
"LTF",271.165549425307,3.33252621709704,0.311316204603948,10.7046346056307,9.6811838755824e-27,6.64583019359121e-24,"LTF"
"CHAT",21.2442818718548,3.25933458003603,0.722929445250256,4.50850992645313,6.52845151725607e-06,0.000293272994845735,"CHAT"
"SLCO2B1",96.1114241808903,3.22776224068331,0.482095560618975,6.69527476365702,2.15266773311313e-11,2.43750783986063e-09,"SLCO2B1"
"CD74",10.3818965563394,3.22620684130596,0.921996842869064,3.49915172297843,0.000466740911283425,0.0119916930972667,"CD74"
"UNC13D",2670.98535931329,3.22182766699093,0.200366210671644,16.0796955544106,3.54114891313026e-58,1.94471045436831e-54,"UNC13D"
"MIR124-1HG",40.2997575107572,3.20518948177391,0.487298668390385,6.57746406810651,4.78539448227549e-11,5.1529784603993e-09,"MIR124-1HG"
"SEZ6",453.398325404629,3.20271788399127,0.267974609502577,11.9515721654983,6.37085020770355e-33,6.66421269107732e-30,"SEZ6"
"MMP19",25.610738783681,3.19236607683223,0.643091101522302,4.96409617436064,6.90217367526647e-07,3.79050122811446e-05,"MMP19"
"GRAMD2A",14.5640785955746,3.15984166106454,0.940050524619231,3.36135301062083,0.000775616270054482,0.0182029515003064,"GRAMD2A"
"GABRD",56.2222987083577,3.14734475002615,0.399253196908052,7.88307964569907,3.19409332069424e-15,5.84705399797419e-13,"GABRD"
"PPP2R2C",329.533964972355,3.13447928397526,0.298361154010722,10.5056547805906,8.13562278448159e-26,5.10614930590592e-23,"PPP2R2C"
"NFASC",501.097822878391,3.13444207285494,0.319914217904949,9.79775795330931,1.15112285457062e-22,5.74698085144383e-20,"NFASC"
"KCNT1",734.045411429244,3.10539123508777,0.267820420284524,11.595050264609,4.36609237768727e-31,3.99624796919401e-28,"KCNT1"
"TBXT",7.57295139248913,3.09587938275322,1.00640889023541,3.07616458160367,0.00209682070618272,0.0411625205118104,"TBXT"
"EPHA10",35.1821155964814,3.06944212658207,0.4656854548476,6.59123469421344,4.36183723318902e-11,4.72002357150065e-09,"EPHA10"
"SVOP",204.399817615226,3.05990511626863,0.287792552823298,10.6323290378795,2.10781755243653e-26,1.40310388407192e-23,"SVOP"
"CACNG5",15.1634823801542,3.0525296965799,0.850003327822097,3.59119734789884,0.000329162266190049,0.0089599845122637,"CACNG5"
"MARCHF4",535.693494620715,3.05081760423097,0.227177342526548,13.4292336123901,4.07607983801862e-41,5.96928305345033e-38,"MARCHF4"
