"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","axonogenesis",0.09,"455/18888",0.0395604395604396,3.73608791208791,6.11157026832461,1.77123497001909e-06,0.00524462674622652,0.00442808742504772,"SPP1/NDN/NDP/CHL1/HMCN2/LGI1/RELN/GAP43/UNC5D/APOE/PLPPR4/SEMA3C/NEFH/LMO4/MAP2/DRAXIN/B4GALT6/CXCL12",18
"GO:0060560","developmental growth involved in morphogenesis",0.06,"243/18888",0.0493827160493827,4.6637037037037,5.94644438939779,1.1357934195425e-05,0.0158137600351097,0.0133517055345404,"SPP1/NDN/FGF1/NRN1/SYT4/APOE/CXCR4/SEMA3C/MAP2/DRAXIN/SPRY1/CXCL12",12
"GO:0050804","modulation of chemical synaptic transmission",0.085,"493/18888",0.0344827586206897,3.25655172413793,5.25211142985846,2.08194216303357e-05,0.0158137600351097,0.0133517055345404,"MYOF/SLC18A3/SCGN/SHANK1/LGI1/GRIN1/RELN/CHRM2/SYT4/APOE/GRIK5/PLPPR4/SYT12/VGF/NEFH/GRM7/ACHE",17
"GO:0099177","regulation of trans-synaptic signaling",0.085,"494/18888",0.034412955465587,3.24995951417004,5.24221902383612,2.13627288552647e-05,0.0158137600351097,0.0133517055345404,"MYOF/SLC18A3/SCGN/SHANK1/LGI1/GRIN1/RELN/CHRM2/SYT4/APOE/GRIK5/PLPPR4/SYT12/VGF/NEFH/GRM7/ACHE",17
"GO:0007411","axon guidance",0.055,"234/18888",0.047008547008547,4.43948717948718,5.4768483115674,4.1582880734937e-05,0.0205152833137277,0.0173212456211817,"NDP/CHL1/HMCN2/LGI1/RELN/GAP43/UNC5D/SEMA3C/LMO4/DRAXIN/CXCL12",11
"GO:0097485","neuron projection guidance",0.055,"234/18888",0.047008547008547,4.43948717948718,5.4768483115674,4.1582880734937e-05,0.0205152833137277,0.0173212456211817,"NDP/CHL1/HMCN2/LGI1/RELN/GAP43/UNC5D/SEMA3C/LMO4/DRAXIN/CXCL12",11
"GO:0048588","developmental cell growth",0.055,"238/18888",0.046218487394958,4.36487394957983,5.40421894555947,4.84994877393089e-05,0.0205152833137277,0.0173212456211817,"SPP1/NDN/NRN1/SYT4/APOE/CXCR4/SEMA3C/AKAP6/MAP2/DRAXIN/CXCL12",11
"GO:0023061","signal release",0.08,"487/18888",0.0328542094455852,3.10275154004107,4.86347628953552,6.50930189344881e-05,0.0238802300759273,0.0201623016514077,"SPP1/VIP/MYOF/GJA1/SLC18A3/MAOB/SYK/SYT4/GRIK5/SYT12/VGF/FOXO1/RPH3A/PTPRN/C1QTNF1/CXCL12",16
"GO:0021700","developmental maturation",0.065,"341/18888",0.0381231671554252,3.60035190615836,5.01288283309581,7.36849698577451e-05,0.0238802300759273,0.0201623016514077,"C3/SPINK5/ZDHHC15/GJA1/SHANK1/L3MBTL3/IL15/RELN/SIX3/RAB38/PTPRN/SEZ6L/B4GALT6",13
"GO:0016049","cell growth",0.08,"496/18888",0.032258064516129,3.04645161290323,4.77796445843807,8.0649206605631e-05,0.0238802300759273,0.0201623016514077,"SPP1/NDN/GJA1/LGI1/NRN1/CDKN2A/SYT4/APOE/CXCR4/SEMA3C/AKAP6/IGFBP3/MAP2/DRAXIN/CXCL12/OSGIN1",16
