"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043025","neuronal cell body",0.121951219512195,"488/19894",0.122950819672131,4.97151139544182,14.1451368362182,4.80934895143584e-25,2.00549851274875e-22,1.4984918838158e-22,"SEZ6/GABRD/PTPRN/BRINP2/OPRM1/ATP1A3/SEZ6L/SHANK2/CPLX2/SLC8A2/ATP2B2/S100B/GAP43/SNCB/CPLX1/HPCA/CACNA1B/VGF/DRD2/ASS1/SYT5/NRSN1/SLC8A3/MAP2/HMCN2/ASTN1/MAOB/TUBB4A/SLC1A1/ARC/DPYSL5/CALB1/UNC5A/L1CAM/MAPT/DNER/KCNC1/CACNA1C/CHRM2/KIF5C/DRP2/GRIP2/GFRA1/TTBK1/ELAVL4/ENC1/CD200/SPTBN4/ENO2/OLFM1/ADAM21/AKAP12/MAP1A/KCNC3/MYO1D/MAP1B/RTN1/PRPH/KIF5A/MAPK8IP1",60
"GO:0097060","synaptic membrane",0.0914634146341463,"397/19894",0.113350125944584,4.58330773484057,11.4843100023866,1.34833009122119e-17,2.81126824019618e-15,2.10055635263932e-15,"SHANK1/GABRD/CACNG5/RPH3A/CNTN2/SHANK2/NRXN2/IQSEC3/CACNG2/ATP2B2/UNC13A/DRD2/GRIN1/SYT7/PLPPR4/CHRM1/PDE2A/ANK1/NRCAM/KCNJ9/CHRM4/GRM2/SNAP91/GRIK5/CSPG5/DLG3/ARC/HTR3A/LHFPL4/KCNC1/STX1A/CACNA1C/CHRM2/LRFN2/PRKCG/SYP/GRIP2/CLSTN2/CHRNB2/OTOF/CHRM3/KCNC3/SCN2A/GRIA3/ERC2",45
"GO:0098984","neuron to neuron synapse",0.0853658536585366,"360/19894",0.116666666666667,4.71741192411924,11.3345893132221,6.01032174859616e-17,8.35434723054866e-15,6.24229907924373e-15,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/ATP1A3/SHANK2/NEFH/TNIK/SLC8A2/IQSEC3/CACNG2/ATP2B2/GAP43/SYN1/GRIN1/SYT7/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/DLG3/SLC1A1/ARC/CALB1/CACNA1C/CHRM2/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/PLXNA4/PAK6/MAP1B/GRIA3/RTN1/PSD",42
"GO:0150034","distal axon",0.0731707317073171,"272/19894",0.132352941176471,5.35168579626973,11.5074683599427,1.98316602105642e-16,2.06745057695131e-14,1.54478195324395e-14,"PTPRN/SHANK2/CPLX2/STMN4/SLC8A2/UNC13A/GAP43/SNCB/CPLX1/DRD2/KIF21B/BASP1/GRIN1/BRSK2/NRSN1/SLC8A3/SLC18A3/MAP2/CHRM1/SLC1A1/CALB1/L1CAM/MAPT/ITGA2/KCNC1/CHRM2/KIF5C/PRKCG/SYP/CDK5R2/ELAVL4/SLC18A1/OLFM1/KCNC3/MAP1B/ERC2",36
"GO:0032279","asymmetric synapse",0.0792682926829268,"329/19894",0.11854103343465,4.79320186818889,11.0477393972679,4.74346535805385e-16,3.95605010861691e-14,2.95592788628198e-14,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/SHANK2/NEFH/TNIK/SLC8A2/IQSEC3/CACNG2/ATP2B2/GAP43/SYN1/GRIN1/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/DLG3/SLC1A1/ARC/CACNA1C/CHRM2/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/PLXNA4/PAK6/MAP1B/GRIA3/RTN1/PSD",39
"GO:0099572","postsynaptic specialization",0.0772357723577236,"341/19894",0.111436950146628,4.50594854922156,10.3988537508522,8.67640326176192e-15,6.03010026692454e-13,4.50564099207286e-13,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/SHANK2/NEFH/TNIK/SLC8A2/IQSEC3/CACNG2/ATP2B2/GAP43/SYN1/GRIN1/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/DLG3/ARC/LHFPL4/CACNA1C/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/CHRNB2/PAK6/MAP1B/GRIA3/RTN1/PSD",38
"GO:0014069","postsynaptic density",0.0731707317073171,"313/19894",0.115015974440895,4.65066625107146,10.3665992170245,1.70076054885218e-14,1.01316735553051e-12,7.57030259338713e-13,"ZDHHC15/SYN3/SHANK1/CACNG5/INSYN2B/SHANK2/NEFH/TNIK/SLC8A2/IQSEC3/CACNG2/ATP2B2/GAP43/SYN1/GRIN1/SLC8A3/PLPPR4/CHRM1/NRCAM/DMTN/GRIK5/DLGAP3/DLG3/ARC/CACNA1C/BSN/PRKCG/DRP2/GRIP2/ADGRB1/CLSTN2/PAK6/MAP1B/GRIA3/RTN1/PSD",36
"GO:0045211","postsynaptic membrane",0.0650406504065041,"276/19894",0.115942028985507,4.68811122893838,9.82518256468951,4.07087482301161e-13,2.1219435014948e-11,1.58549861527821e-11,"SHANK1/GABRD/CACNG5/RPH3A/CNTN2/SHANK2/IQSEC3/CACNG2/ATP2B2/DRD2/GRIN1/PLPPR4/CHRM1/ANK1/NRCAM/CHRM4/GRIK5/CSPG5/DLG3/ARC/HTR3A/LHFPL4/KCNC1/CACNA1C/CHRM2/LRFN2/GRIP2/CLSTN2/CHRNB2/CHRM3/KCNC3/GRIA3",32
"GO:0043679","axon terminus",0.040650406504065,"112/19894",0.178571428571429,7.22052845528455,10.5126120112993,3.97956841854542e-12,1.84386670059271e-10,1.37772193203444e-10,"PTPRN/CPLX2/SLC8A2/UNC13A/SNCB/CPLX1/DRD2/GRIN1/SLC8A3/SLC18A3/CHRM1/SLC1A1/CALB1/ITGA2/KCNC1/CHRM2/PRKCG/SYP/SLC18A1/KCNC3",20
"GO:0044306","neuron projection terminus",0.0426829268292683,"128/19894",0.1640625,6.63386051829268,10.1826571779421,6.31926752928204e-12,2.63513455971061e-10,1.96895072491314e-10,"PTPRN/CPLX2/SLC8A2/UNC13A/SNCB/CPLX1/DRD2/GRIN1/SLC8A3/SLC18A3/CHRM1/SLC1A1/CALB1/ITGA2/KCNC1/CHRM2/BSN/PRKCG/SYP/SLC18A1/KCNC3",21
"GO:0098978","glutamatergic synapse",0.0752032520325203,"409/19894",0.0904645476772616,3.65793030790944,8.64897179577649,1.15119496348927e-11,4.36407545250025e-10,3.26080104490742e-10,"ABLIM3/SYN3/SHANK1/CACNG5/SHANK2/CPLX2/TNIK/NRXN2/CACNG2/ATP2B2/CPLX1/HPCA/VGF/DRD2/FILIP1/PLPPR4/CHRM1/NRCAM/GRM2/CSPG5/DLGAP3/DLG3/ARC/CALB1/CHRM2/BSN/DRP2/GRIP2/ELAVL4/ICAM5/CLSTN2/PLXNA4/NAPB/SCN2A/BCAN/CAMKV/ERC2",37
"GO:0043204","perikaryon",0.0447154471544715,"151/19894",0.145695364238411,5.89118613040435,9.60739249191422,2.26870363595955e-11,7.88374513495943e-10,5.89066908985988e-10,"PTPRN/OPRM1/CPLX2/SLC8A2/GAP43/CPLX1/HPCA/DRD2/ASS1/SLC8A3/ASTN1/SLC1A1/CACNA1C/DRP2/ELAVL4/ENO2/OLFM1/KCNC3/MYO1D/MAP1B/PRPH/KIF5A",22
"GO:0070382","exocytic vesicle",0.0528455284552846,"235/19894",0.11063829787234,4.4736550769763,8.53000635154671,1.91272066775974e-10,6.135419372737e-09,4.58433455592617e-09,"SYN3/UNC13D/SVOP/RPH3A/UNC13A/SYN1/KCNK9/DRD2/GRIN1/SYT5/SYT7/SLC18A3/LGI3/SNAP91/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/SYT3/STON2/RAB3B/TRIM9/CLCN4/RAB3IP",26
"GO:0044304","main axon",0.0284552845528455,"68/19894",0.205882352941176,8.32484457197513,9.63484565108336,9.67441385713238e-10,2.881593270303e-08,2.15310263286555e-08,"NFASC/CNTN2/MAP2/ANK1/NRCAM/LGI3/TUBB4A/MAPT/KCNC1/SPTBN4/MAP1A/SCN2A/MYO1D/MAP1B",14
"GO:0030133","transport vesicle",0.0691056910569106,"434/19894",0.0783410138248848,3.16771570941516,7.27085048906805,3.52285421841475e-09,9.793534727193e-08,7.31764806070713e-08,"BGN/SYN3/CD74/UNC13D/SVOP/RPH3A/PTPRN/UNC13A/SYN1/KCNK9/VGF/DRD2/GRIN1/SYT5/SYT7/NRSN1/SLC18A3/LGI3/SNAP91/HLA-B/STX1A/BSN/MAP6/SYP/PTPRN2/SLC18A1/SCG3/OTOF/SYT3/STON2/RAB3B/TRIM9/CLCN4/RAB3IP",34
"GO:0008021","synaptic vesicle",0.0467479674796748,"216/19894",0.106481481481481,4.3055743751882,7.77844478499344,4.54764256406354e-09,1.18522934325906e-07,8.85593551949216e-08,"SYN3/SVOP/RPH3A/UNC13A/SYN1/KCNK9/DRD2/GRIN1/SYT5/SYT7/SLC18A3/LGI3/SNAP91/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/STON2/RAB3B/TRIM9/CLCN4",23
"GO:0042734","presynaptic membrane",0.040650406504065,"167/19894",0.119760479041916,4.84251010174772,7.9405790532401,6.21217194745041e-09,1.52380923652166e-07,1.13857764485778e-07,"NRXN2/ATP2B2/UNC13A/DRD2/SYT7/CHRM1/PDE2A/KCNJ9/GRM2/SNAP91/GRIK5/KCNC1/STX1A/CHRM2/SYP/CHRNB2/OTOF/KCNC3/SCN2A/ERC2",20
"GO:0044309","neuron spine",0.040650406504065,"173/19894",0.115606936416185,4.67456177451948,7.72989474729258,1.1453005152322e-08,2.65327952695459e-07,1.9825084942031e-07,"SHANK1/SEZ6/RPH3A/SHANK2/SLC8A2/ATP2B2/HPCA/DRD2/GRIN1/SLC8A3/SLC1A1/ARC/CALB1/MAPT/GRIP2/ADGRB1/KCNC3/MAP1B/GRIA3/PSD",20
"GO:0043197","dendritic spine",0.0386178861788618,"171/19894",0.111111111111111,4.49277326106594,7.30451531611816,5.07966182169582e-08,1.11485209455114e-06,8.330082544166e-07,"SHANK1/SEZ6/RPH3A/SHANK2/SLC8A2/ATP2B2/HPCA/DRD2/GRIN1/SLC8A3/SLC1A1/ARC/CALB1/MAPT/ADGRB1/KCNC3/MAP1B/GRIA3/PSD",19
"GO:0030672","synaptic vesicle membrane",0.032520325203252,"128/19894",0.125,5.05436991869919,7.32788091232081,1.12531794186766e-07,2.23455991313722e-06,1.66964466562821e-06,"SYN3/SVOP/RPH3A/UNC13A/SYN1/DRD2/SYT5/SYT7/SLC18A3/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/RAB3B",16
"GO:0099501","exocytic vesicle membrane",0.032520325203252,"128/19894",0.125,5.05436991869919,7.32788091232081,1.12531794186766e-07,2.23455991313722e-06,1.66964466562821e-06,"SYN3/SVOP/RPH3A/UNC13A/SYN1/DRD2/SYT5/SYT7/SLC18A3/STX1A/BSN/SYP/PTPRN2/SLC18A1/OTOF/RAB3B",16
"GO:0030658","transport vesicle membrane",0.0447154471544715,"238/19894",0.092436974789916,3.73768531802965,6.76602933281147,1.26650214460346e-07,2.40059724681655e-06,1.79370638661542e-06,"SYN3/CD74/SVOP/RPH3A/PTPRN/UNC13A/SYN1/DRD2/SYT5/SYT7/SLC18A3/HLA-B/STX1A/BSN/MAP6/SYP/PTPRN2/SLC18A1/SCG3/OTOF/SYT3/RAB3B",22
"GO:0034702","monoatomic ion channel complex",0.0508130081300813,"344/19894",0.0726744186046512,2.93858716203441,5.77564664761004,1.71153840665189e-06,3.10309354597321e-05,2.31860580489226e-05,"GABRD/CACNG5/CACNG2/CACNA1B/KCNH4/GRIN1/KCNH6/CACNA2D3/CACNA1G/STAC3/KCNJ9/SCN3B/UNC80/GRIK5/DLG3/HTR3A/KCNC1/STX1A/CACNA1C/PKD1L1/AKAP6/CHRNB2/KCNC3/SCN2A/GRIA3",25
"GO:0098981","cholinergic synapse",0.0101626016260163,"10/19894",0.5,20.2174796747967,9.67952388353898,2.06187735736092e-06,3.5825119084146e-05,2.67682323587207e-05,"PLD1/CHRM1/DLGAP3/CHRM2/CHRNB2",5
"GO:0097440","apical dendrite",0.0121951219512195,"17/19894",0.352941176470588,14.2711621233859,8.71700788935358,2.17849918499932e-06,3.63373664057886e-05,2.7150979316202e-05,"SEZ6/MAP2/SLC1A1/ELAVL4/MYO1D/MAP1B",6
"GO:0098685","Schaffer collateral - CA1 synapse",0.024390243902439,"93/19894",0.129032258064516,5.21741410962497,6.49162765355193,3.10275347140637e-06,4.97633922144791e-05,3.71827946370966e-05,"SHANK1/NEFH/CACNG2/SYN1/CPLX1/CHRM1/SLC1A1/INA/LRFN2/BSN/SYP/AKAP12",12
"GO:0030427","site of polarized growth",0.032520325203252,"169/19894",0.0946745562130177,3.82816183191418,5.8796103509476,4.84396819820611e-06,7.48123977278499e-05,5.58992041586358e-05,"SHANK2/STMN4/GAP43/KIF21B/BASP1/NRSN1/MAP2/L1CAM/MAPT/FRY/KIF5C/CDK5R2/ELAVL4/OLFM1/MAP1B/ERC2",16
