"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","3/78","28/8542",0.107142857142857,11.7335164835165,5.4609481775987,0.0020359389041761,0.309462713434767,0.309462713434767,"8708/8707/6489",3
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","3/78","38/8542",0.0789473684210526,8.64574898785425,4.53433959825591,0.00491089233686637,0.320514011350305,0.320514011350305,"952/54981/4907",3
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","9/78","370/8542",0.0243243243243243,2.66382536382536,3.14093000620171,0.0063259344345455,0.320514011350305,0.320514011350305,"8862/1910/2562/3274/23566/4852/5443/84109/53637",9
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","4/78","98/8542",0.0408163265306122,4.46991104133961,3.31643203322475,0.0121636221216985,0.462217640624544,0.462217640624544,"814/4881/5443/5587",4
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","3/78","86/8542",0.0348837209302326,3.82021466905188,2.52326428495031,0.0436837847833691,0.669912244486229,0.669912244486229,"1756/22801/5318",3
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","2/78","38/8542",0.0526315789473684,5.7638326585695,2.82520850442915,0.0468311658724553,0.669912244486229,0.669912244486229,"695/7535",2
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","4/78","155/8542",0.0258064516129032,2.82613730355666,2.20246893038311,0.0529746966863321,0.669912244486229,0.669912244486229,"814/952/3768/4881",4
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","2/78","41/8542",0.0487804878048781,5.34208880550344,2.67528131748017,0.0536829171728208,0.669912244486229,0.669912244486229,"2628/4128",2
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","5/78","226/8542",0.0221238938053097,2.42285001134559,2.08098972493521,0.0552452240129866,0.669912244486229,0.669912244486229,"627/814/4881/4852/5443",5
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/78","42/8542",0.0476190476190476,5.21489621489622,2.62854794229058,0.0560415208826768,0.669912244486229,0.669912244486229,"2512/7018",2
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","5/78","232/8542",0.021551724137931,2.36019009725906,2.01630823638401,0.0604923095614323,0.669912244486229,0.669912244486229,"255631/1756/22801/5318/6383",5
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","3/78","100/8542",0.03,3.28538461538462,2.20673640908,0.0631239762403304,0.669912244486229,0.669912244486229,"952/3589/3566",3
"hsa00514","Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","2/78","47/8542",0.0425531914893617,4.66012002182215,2.41532957505162,0.0683569039834737,0.669912244486229,0.669912244486229,"442117/3955",2
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","3/78","105/8542",0.0285714285714286,3.12893772893773,2.10706250287789,0.0708920923549186,0.669912244486229,0.669912244486229,"695/4050/7535",3
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","3/78","105/8542",0.0285714285714286,3.12893772893773,2.10706250287789,0.0708920923549186,0.669912244486229,0.669912244486229,"1303/91522/255631",3
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","2/78","49/8542",0.0408163265306122,4.46991104133961,2.33829689928887,0.0735117604449409,0.669912244486229,0.669912244486229,"627/4128",2
"hsa00330","Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","2/78","50/8542",0.04,4.38051282051282,2.30131692601241,0.0761350712369188,0.669912244486229,0.669912244486229,"2628/4128",2
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","5/78","254/8542",0.0196850393700787,2.15576418332324,1.79504381534287,0.082089619021681,0.669912244486229,0.669912244486229,"814/952/1910/3274/7424",5
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","4/78","188/8542",0.0212765957446809,2.33006001091107,1.77017727220135,0.0926232954930407,0.669912244486229,0.669912244486229,"627/814/4128/4852",4
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","3/78","120/8542",0.025,2.73782051282051,1.84035564920378,0.0965944225371034,0.669912244486229,0.669912244486229,"627/814/4217",3
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","2/78","59/8542",0.0338983050847458,3.71229900043459,2.00679343293542,0.100989118362762,0.669912244486229,0.669912244486229,"4881/4852",2
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","1/78","12/8542",0.0833333333333333,9.12606837606837,2.70402320785522,0.10430097830947,0.669912244486229,0.669912244486229,"4685",1
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","2/78","61/8542",0.0327868852459016,3.59058427910887,1.94918448802932,0.106785684226382,0.669912244486229,0.669912244486229,"2512/7018",2
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","2/78","62/8542",0.032258064516129,3.53267162944582,1.921279898976,0.1097172651582,0.669912244486229,0.669912244486229,"23220/3955",2
"hsa00604","Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","1/78","15/8542",0.0666666666666667,7.3008547008547,2.34455701166362,0.128651151430632,0.669912244486229,0.669912244486229,"6489",1
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","2/78","69/8542",0.0289855072463768,3.17428465254552,1.74074909252818,0.130802100262558,0.669912244486229,0.669912244486229,"358/4881",2
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","2/78","69/8542",0.0289855072463768,3.17428465254552,1.74074909252818,0.130802100262558,0.669912244486229,0.669912244486229,"814/4128",2
"hsa04920","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","2/78","70/8542",0.0285714285714286,3.12893772893773,1.71685192586437,0.13388762974179,0.669912244486229,0.669912244486229,"4852/5443",2
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","1/78","16/8542",0.0625,6.84455128205128,2.24622023749646,0.136621740170917,0.669912244486229,0.669912244486229,"4128",1
"hsa00603","Metabolism","Glycan biosynthesis and metabolism","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","1/78","16/8542",0.0625,6.84455128205128,2.24622023749646,0.136621740170917,0.669912244486229,0.669912244486229,"6489",1
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","3/78","141/8542",0.0212765957446809,2.33006001091107,1.5287241810947,0.137885720000774,0.669912244486229,0.669912244486229,"4217/6383/59341",3
"hsa00910","Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","1/78","17/8542",0.0588235294117647,6.44193061840121,2.15597689464044,0.144520344940641,0.669912244486229,0.669912244486229,"1373",1
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","2/78","76/8542",0.0263157894736842,2.88191632928475,1.58191013909497,0.152731226220978,0.669912244486229,0.669912244486229,"3274/115111",2
"hsa05208","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","4/78","227/8542",0.0176211453744493,1.92974133062239,1.36288048900811,0.153067955014099,0.669912244486229,0.669912244486229,"4509/4217/4536/5587",4
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","5/78","311/8542",0.0160771704180064,1.76065627834117,1.31176543426766,0.15425610892775,0.669912244486229,0.669912244486229,"4509/627/493869/4217/4536",5
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","4/78","235/8542",0.0170212765957447,1.86404800872886,1.28932835707718,0.167000486329804,0.705113164503616,0.705113164503616,"4509/4217/4536/4881",4
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","3/78","160/8542",0.01875,2.05336538461538,1.29115695986919,0.179515983069958,0.719609558257026,0.719609558257026,"57689/4685/6383",3
"hsa00340","Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","1/78","22/8542",0.0454545454545455,4.97785547785548,1.79330590441914,0.182955873320475,0.719609558257026,0.719609558257026,"4128",1
"hsa00220","Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","1/78","23/8542",0.0434782608695652,4.76142697881828,1.73394803956243,0.190435854761907,0.719609558257026,0.719609558257026,"1373",1
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","1/78","23/8542",0.0434782608695652,4.76142697881828,1.73394803956243,0.190435854761907,0.719609558257026,0.719609558257026,"358",1
"hsa00534","Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/78","24/8542",0.0416666666666667,4.56303418803419,1.67791759213518,0.197848227496802,0.719609558257026,0.719609558257026,"266722",1
