"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","15/99","370/8542",0.0405405405405405,3.4979524979525,5.31917675483105,2.06664556464982e-05,0.0044432879639971,0.00435083276768382,"718/1129/57105/2563/2901/2902/2917/3352/3357/283869/5031/5618/7425/7432/7434",15
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","8/99","157/8542",0.0509554140127389,4.39657723734157,4.65118218637337,0.000452765888463044,0.0486723330097772,0.0476595672066362,"23418/1741/2246/51176/5521/5522/5054/25937",8
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","10/99","254/8542",0.0393700787401575,3.39696174341844,4.19929759533602,0.000688760945092583,0.0493612010649684,0.0483341014100058,"8913/1129/7852/57105/2246/2250/2902/3357/5136/56034",10
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","12/99","362/8542",0.0331491712707182,2.86020425246945,3.91617264851164,0.000926258896043832,0.049786415662356,0.0487504682128333,"1129/2246/2250/3679/3914/56034/5521/5522/5618/5649/6696/6850",12
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","8/99","232/8542",0.0344827586206897,2.97526994078718,3.30288535188159,0.00537495292820801,0.231122975912944,0.226313807503495,"1129/6387/7852/2246/2250/10788/3679/56034",8
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","4/99","73/8542",0.0547945205479452,4.72782620727826,3.46357490542513,0.0100358678583787,0.338134822945741,0.331098969836711,"1029/2246/2250/56034",4
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","5/99","116/8542",0.0431034482758621,3.71908742598398,3.19275065277567,0.0110090407470706,0.338134822945741,0.331098969836711,"2901/2902/2917/5337/50944",5
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/99","333/8542",0.027027027027027,2.33196833196833,2.68469189673912,0.0148396295681023,0.357889716358423,0.350442806715715,"1741/2308/84667/3679/3914/5521/5522/5649/6696",9
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","7/99","226/8542",0.0309734513274336,2.6724769822115,2.75918418605893,0.0157331395236741,0.357889716358423,0.350442806715715,"478/1129/2902/3352/5337/7432/7434",7
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","4/99","88/8542",0.0454545454545455,3.92194674012856,2.98336282291604,0.0188625695222724,0.357889716358423,0.350442806715715,"716/718/3426/5054",4
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","4/99","89/8542",0.0449438202247191,3.87787992282374,2.95519267643617,0.0195790717934501,0.357889716358423,0.350442806715715,"3679/3914/5649/6696",4
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/99","50/8542",0.06,5.1769696969697,3.20748694631517,0.0199752399827957,0.357889716358423,0.350442806715715,"6387/7852/3600",3
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","4/99","92/8542",0.0434782608695652,3.75142731664471,2.87307635191983,0.0218289224552786,0.361016794452685,0.353504817089533,"2697/3357/56034/7277",4
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","4/99","103/8542",0.0388349514563107,3.35078944787683,2.59902474933259,0.0313971673421076,0.482170784182367,0.472137854768536,"718/5521/5522/5054",4
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","4/99","115/8542",0.0347826086956522,3.00114185331577,2.33945050834987,0.0442613182391444,0.634412228094403,0.621211484058167,"1573/3352/3357/4129",4
