Geneid	Ch_A1_featurecounts.txt	Ch_A2_featurecounts.txt	Ch_A3_featurecounts.txt	Ch_B1_featurecounts.txt	Ch_B2_featurecounts.txt	Ch_B3_featurecounts.txt	Ch_C1_featurecounts.txt	Ch_C2_featurecounts.txt	Ch_C3_featurecounts.txt	external_gene_name
ENSG00000000003	1937	1365	1712	1993	1535	1864	1310	1521	1468	TSPAN6
ENSG00000000005	1	0	0	0	0	0	0	0	0	TNMD
ENSG00000000419	2051	1362	1340	2271	1585	1928	591	1358	2094	DPM1
ENSG00000000457	390	442	519	465	486	473	548	709	360	SCYL3
ENSG00000000460	538	887	843	644	779	567	754	951	662	FIRRM
ENSG00000000938	0	0	8	0	0	5	0	0	0	FGR
ENSG00000000971	0	0	0	0	0	2	0	0	0	CFH
ENSG00000001036	858	824	773	854	733	1009	816	870	827	FUCA2
ENSG00000001084	1393	1755	1768	1574	1849	1876	1375	1940	1566	GCLC
ENSG00000001167	2819	3913	4156	3091	3903	3076	4478	4994	2801	NFYA
ENSG00000001460	391	436	569	584	543	629	813	763	540	STPG1
ENSG00000001461	369	516	563	590	702	592	946	811	506	NIPAL3
ENSG00000001497	3196	2623	2996	3309	2664	3166	3503	3137	2914	LAS1L
ENSG00000001561	0	0	0	0	0	0	0	0	0	ENPP4
ENSG00000001617	2405	2675	3094	2559	2479	2800	2764	2288	1749	SEMA3F
ENSG00000001626	0	0	0	0	0	0	0	0	0	CFTR
ENSG00000001629	2253	4333	4464	2749	4854	3127	4506	5544	3103	ANKIB1
ENSG00000001630	46	122	123	44	116	60	197	126	50	CYP51A1
ENSG00000001631	512	476	436	606	456	467	239	423	456	KRIT1
ENSG00000002016	350	286	329	304	305	326	359	325	294	RAD52
ENSG00000002079	10	6	3	8	7	5	9	10	9	MYH16
ENSG00000002330	974	517	636	1056	539	975	886	713	975	BAD
ENSG00000002549	2319	2119	2340	2434	2005	2331	2646	2490	2455	LAP3
ENSG00000002586	6161	3957	4413	7185	3993	6060	4495	4212	4991	CD99
ENSG00000002587	0	0	0	0	0	0	0	0	0	HS3ST1
ENSG00000002726	19	2	2	2	8	14	15	7	2	AOC1
ENSG00000002745	12	5	2	8	3	9	14	12	8	WNT16
ENSG00000002746	0	1	0	2	10	3	1	20	0	HECW1
